epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))","val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))"
11,2.820098886006335,0.30673596262931824,0.029998716805655107,0.02696185224046451,inf,2.9081211181498308,0.2851239740848541,0.027792758846938655,0.030453652257314615,inf
12,2.855174390044117,0.2690078914165497,inf,0.024891815140910288,inf,2.8046421663359933,0.33332082629203796,0.0348268079794118,0.03849988424477457,inf
13,2.8626943736934582,0.2820430397987366,0.024391358670059687,0.024197055772195997,inf,2.879025799338852,0.3132231533527374,0.01748217964463784,0.020404134477887834,inf
14,2.8499736085564114,0.2673904001712799,0.02641016084902584,0.02680609904657361,inf,2.7573836144155157,0.29958677291870117,0.02061114081724442,0.027024916422285133,inf
15,2.8077902610284595,0.2770410180091858,0.024237166116954787,0.02621425545219023,inf,2.8190148358845066,0.25026294589042664,0.02418484334457549,0.024574248457428515,inf
16,2.760830725373673,0.26654765009880066,0.024684286559364815,0.024218993469800883,inf,2.830972069605048,0.24222388863563538,0.03141601418975294,0.02555821450089935,inf
17,2.7786879014953265,0.26966485381126404,0.02450979056564668,0.02354644442347039,inf,2.8345774359434577,0.22513148188591003,0.03639975196992832,0.02227989820417691,inf
18,2.736605729681828,0.27612125873565674,0.026455397694258215,0.024598700802765053,inf,2.7586131890270655,0.21979714930057526,0.020453500601970303,0.02132413913677265,inf
19,2.7372933957866974,0.27976855635643005,0.026140214253865677,0.02536409185203489,inf,2.807933023300923,0.21419985592365265,0.019615833407781613,0.026942556190345014,inf
20,2.7268314437421695,0.2863835394382477,inf,0.025607848124149273,inf,2.760923176868015,0.33302029967308044,0.0283967747407801,0.03239158494860458,inf
21,2.7425585785602067,0.2706752121448517,inf,0.026621223782750617,inf,2.8032409076693168,0.2050713747739792,0.013600851307396128,0.01677474181464467,inf
22,2.740063071645368,0.27419567108154297,inf,0.022947919073823597,inf,2.7134833771669875,0.37764838337898254,0.01791006595328894,0.027022146832587794,inf
23,2.7317274177464315,0.27947404980659485,inf,0.022485168766572305,inf,2.7497089459064656,0.33050337433815,inf,0.0243152027552687,inf
