epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6264858096079025,0.41956523060798645,0.8247602630305935,0.5454545617103577
2,0.5223165467153785,0.5482608675956726,0.7154690075565029,0.5681818127632141
3,0.4667414128274383,0.5899999737739563,0.6732195503002888,0.5584415793418884
4,0.44245555465614045,0.6091304421424866,0.6528668870797029,0.5584415793418884
5,0.4221897287158286,0.6095651984214783,0.6367000438071586,0.5584415793418884
6,0.42805423118262625,0.602173924446106,0.6170177499990206,0.5584415793418884
7,0.4248414742926385,0.6108695864677429,0.6053652368687295,0.5584415793418884
8,0.40189598386882724,0.6108695864677429,0.5971050645048553,0.5584415793418884
9,0.40271972223534447,0.6100000143051147,0.5882188701951826,0.5584415793418884
10,0.38711443715467925,0.6039130687713623,0.578759141467713,0.5584415793418884
11,0.3594747270206037,0.6121739149093628,0.5718998675410812,0.5584415793418884
12,0.34889124723464404,0.604347825050354,0.5677706758315498,0.5584415793418884
13,0.3728654920700653,0.6082608699798584,0.5593249930723293,0.5616883039474487
14,0.371017517961549,0.6108695864677429,0.5518835484981537,0.5616883039474487
15,0.34596766673142315,0.6091304421424866,0.5480871929510219,0.5649350881576538
16,0.3586195563622363,0.606521725654602,0.5415690992329572,0.5616883039474487
17,0.3421151215536283,0.6056521534919739,0.5373421172435219,0.5616883039474487
18,0.3571793882773971,0.6082608699798584,0.5330626636340812,0.5454545617103577
19,0.3375660835279876,0.5991304516792297,0.5296540101234978,0.5649350881576538
20,0.3544162644392768,0.6082608699798584,0.5261251527715374,0.548701286315918
21,0.3348013327056969,0.6047825813293457,0.522612400957056,0.551948070526123
22,0.33790245472575287,0.6034782528877258,0.5195069778207186,0.5584415793418884
23,0.3437890357421695,0.6056521534919739,0.5166953912860638,0.5714285969734192
24,0.3483008271642978,0.6069565415382385,0.5131801976948172,0.5584415793418884
25,0.3106432715351796,0.6052173972129822,0.510400522198226,0.5584415793418884
26,0.33963078017550535,0.6086956262588501,0.5081616311862662,0.5584415793418884
27,0.34215807912203977,0.6078261137008667,0.5065025062979879,0.5584415793418884
28,0.33718599709215713,0.6052173972129822,0.5045429834642926,0.5584415793418884
29,0.3367607281978143,0.6026086807250977,0.5035322451510945,0.5584415793418884
30,0.3296828484241748,0.6095651984214783,0.5018687453624364,0.5584415793418884
31,0.3338805028634282,0.6047825813293457,0.4992590321076883,0.5584415793418884
32,0.3538181445417461,0.606521725654602,0.4974558649433626,0.5584415793418884
33,0.31340443698376264,0.6082608699798584,0.49619284634654587,0.5584415793418884
