epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))"
1,1.3126849939425786,0.222089946269989,0.04824287361568875,inf,1.401872542169359,0.0,1.406127917766571,0.17830687761306763,0.14004944695366753,inf,0.5435020446777343,0.0
2,1.364395875732104,0.29828041791915894,0.3505159510506524,inf,inf,0.0,1.4242086860868666,0.33174604177474976,0.47153841654459633,inf,0.2204787360297309,0.0
3,1.3610296034150653,0.3193783164024353,0.4410364972220527,inf,0.1913957887225681,0.0,1.423164619339837,0.33174604177474976,0.4930257585313585,1.2352534823947483,0.17640868292914497,0.0
4,1.3644783443874784,0.31183862686157227,0.4567707750532362,inf,0.16037594742245145,0.0,1.4188417368465,0.3037036955356598,0.4784438239203559,1.1345012664794922,0.14156337314181858,0.0
5,1.3624175724056031,0.3136904835700989,0.4664647579193115,inf,0.1450388272603353,0.0,1.4130311714278327,0.33174604177474976,0.5172858344184028,1.0385692596435547,0.12055596245659722,0.0
6,1.3592597052454949,0.3134920597076416,0.46381393803490534,1.0828220393922594,0.12808587286207412,0.0,1.4179744746949938,0.33068782091140747,0.5297825283474392,0.9832984076605903,0.10665143330891927,0.0
7,1.3609722837805749,0.31395503878593445,0.49163088003794353,1.0196544726689656,0.12346842818790012,0.0,1.4134186135398017,0.33174604177474976,0.509424802992079,1.0129513210720487,0.11419457329644098,0.0
8,1.3597542330622674,0.31798940896987915,0.47487083541022407,1.0365885416666667,0.1166151523590088,0.0,1.4169713576634726,0.31587302684783936,0.538062243991428,0.9450494130452474,0.10122091505262587,0.0
9,1.358051629861196,0.3174603283405304,0.4823629856109619,0.9776941802766588,0.11341690222422282,0.0,1.4064388884438408,0.33068782091140747,0.53205812242296,0.9524668375651042,0.1094170888264974,0.0
10,1.3597806028193897,0.3135581910610199,0.48586926195356583,1.0218910720613268,0.11701580418480767,0.0,1.4177771117952136,0.31216931343078613,0.5248739030626085,0.9977331797281901,0.10626491970486111,0.0
11,1.3593210783269671,0.3181878328323364,0.48403267860412597,0.9870837767918904,0.11101751327514649,0.0,1.4099846071667141,0.31587302684783936,0.5256849500868056,0.9831257714165582,0.10552279154459636,0.0
12,1.3607358710633384,0.3173280358314514,0.4843072838253445,1.0124405648973254,0.10964295069376627,0.0,1.4168596704800924,0.307407408952713,0.5395599789089627,0.9233206431070964,0.09524430168999566,0.0
