epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))"
1,0.6268043471516089,0.4069565236568451,0.2979371333162732,0.5168157716760814,0.19987125408872078,0.8245226628071552,0.5422077775001526,0.28437200752464503,0.6124321318961479,0.27652770844665736
2,0.5325622571749274,0.5299999713897705,0.26038146079699737,0.37136127021802506,0.36085147768613235,0.732745969617689,0.5357142686843872,0.24107060400215355,0.44327940811982025,0.5699384051400262
3,0.4878401477996684,0.5430434942245483,inf,0.3384254266126856,inf,0.7028905999016117,0.5324675440788269,inf,0.47732589051530167,inf
4,0.4738656720605083,0.5439130663871765,0.2692808934909581,0.3168189958724587,inf,0.687645440166061,0.5357142686843872,0.20252449770231504,0.44694456538638555,0.5157211084623594
5,0.4565101942910808,0.5417391061782837,0.2744694462453975,0.30221272648291597,inf,0.6781329818674036,0.5357142686843872,0.27319816318718165,0.4930586814880371,0.4511952239113885
6,0.46607377968336405,0.5421739220619202,0.25673333837544776,0.33208027274580276,inf,0.6648226621988658,0.5324675440788269,0.23611155152320862,0.3730354373519485,0.757006567072224
7,0.4688553716007032,0.5547826290130615,0.19717084774541935,0.31746808458467496,0.48721799583305525,0.6571532189846039,0.5324675440788269,0.18857972605808362,0.45413636516880346,0.586167587621792
8,0.44980994256526385,0.5530434846878052,0.23840334723072668,0.33998574708637436,inf,0.6505855442704381,0.5324675440788269,0.2502723287891697,0.42000579833984375,0.5781190483956724
9,0.45104493264026674,0.5578261017799377,0.21686272588771957,0.2879441258053221,inf,0.6468707230445501,0.5357142686843872,0.19890699032190684,0.5018169299976246,0.5492162881670771
10,0.43585974812912415,0.5517391562461853,0.21355199834082042,0.3306216934540883,inf,0.6392203911736205,0.5324675440788269,0.15134636010672595,0.48346652211369695,0.5761317175787848
11,0.41586795692128115,0.554347813129425,0.1767093888365352,0.30303575308496966,inf,0.636969655752182,0.5324675440788269,0.20032206258258303,0.44337905419839396,0.5697210350552121
12,0.40577277075657414,0.5569565296173096,0.19356131067907467,0.334360573611559,inf,0.6317117097409995,0.5357142686843872,0.18852573190186475,0.4966351792619035,0.5598103049639109
13,0.4282338702719159,0.5595652461051941,0.18294365984879446,0.3603700263795707,0.4968149245088898,0.6241723363463944,0.5357142686843872,0.192286043553739,0.4671866120518865,0.6867574582228789
14,0.4281896733266186,0.5586956739425659,0.1883504069924152,0.35587831992649666,inf,0.6226681430597563,0.5324675440788269,0.13318572737075188,0.4460320343842378,0.5396816923811629
15,0.40637159802917716,0.5617391467094421,0.17504343810429598,0.3165608610078718,0.4765313888041394,0.6200475471245276,0.5422077775001526,0.14613906032330282,0.5125754459484203,0.5430893511385531
16,0.4162471556501599,0.5582608580589294,0.14791663777848457,0.3605459525751137,0.4329096271145728,0.6123353625471527,0.5357142686843872,0.16784873926961744,0.4434040559304727,inf
17,0.40470383380791125,0.5586956739425659,0.16292571879809498,0.336018514957007,inf,0.6109121252556104,0.5357142686843872,0.12798475937263384,0.4707585669852592,0.6408140514348004
18,0.41821919146337005,0.5547826290130615,0.1626251903576033,0.33166573043590086,inf,0.6053826410222698,0.5324675440788269,0.1331831063773181,0.48092432279844544,0.5697717183345073
19,0.4004398434848251,0.5534782409667969,0.14193423550278708,0.34987190907191745,inf,0.6056210700724576,0.5324675440788269,0.09126616208939939,0.48658497913463694,inf
20,0.4164248534394444,0.5560869574546814,0.13094696164738343,0.3617311616907298,inf,0.6016584133376947,0.5389610528945923,0.10711885062423912,0.5450046062469482,0.5814358285955481
21,0.3974284723223976,0.5582608580589294,0.13724550220274156,0.3171517691102214,inf,0.5970405110636273,0.5324675440788269,0.12664852754489794,0.5153833466607172,0.5930716411487477
22,0.39978400032164085,0.554347813129425,0.16369801304336315,0.37770761415387655,inf,0.5928761957062257,0.5422077775001526,0.16214083980869604,0.506453140361889,0.4667080592464756
23,0.4051056351190107,0.5565217137336731,0.15779541971728028,0.3434761651303044,inf,0.5911905018461717,0.5389610528945923,0.11569753893323846,0.4969248964979842,0.6094192040933145
24,0.4122189751657039,0.5569565296173096,0.13275623999548686,0.34764355835971283,inf,0.5878207901039639,0.5357142686843872,0.15841426881583962,0.4758054307989172,0.637764619814383
25,0.3730134121276729,0.5526086688041687,0.15725186907374797,0.35728532470547686,inf,0.5838593941282582,0.551948070526123,0.09633407480007894,0.5448001139872783,0.6738887880299542
26,0.4024099280807887,0.5534782409667969,0.1262001788879291,0.3481832275163945,inf,0.5822382919691704,0.551948070526123,0.11827323001784247,0.5076693457526129,inf
