epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))"
1,0.9840889619161709,0.5269793272018433,0.6826108222264596,0.43165366543539796,0.9753643994061452,0.5544554591178894,inf,0.24498631819239203
2,0.9009218408575661,0.4518406391143799,0.7365818470367503,0.26828544061692033,0.9036167680092577,0.32673266530036926,0.8606478133291569,0.16638284809184525
3,0.8095465379241479,0.30660614371299744,0.7267090620983401,0.21704817209087435,0.8443305200000979,0.3003300428390503,0.8494801791209095,0.15083454689889583
4,0.8076867197380692,0.3287947475910187,0.7576320880470008,0.2161109369309222,0.8181102883140996,0.37293729186058044,0.8892610298012787,0.13514195298248866
5,0.7867906120119386,0.34291478991508484,0.7227075608050237,0.22239853263738843,0.80168235976741,0.3663366436958313,0.8216916210246537,0.12230668877655605
6,0.7144146637000859,0.3721633851528168,0.6670276186226123,0.1976590893586849,0.7899910886332674,0.35973596572875977,0.799129953924215,0.11716734688237028
7,0.6780712980018008,0.3691376745700836,0.6282687823722178,0.18967107252438117,0.7747419082893515,0.35973596572875977,0.8152566226023548,0.1145403025285253
8,0.6917112787936833,0.3716591000556946,0.6174891949816665,0.1756794045066387,0.7542201617978653,0.37293729186058044,0.8707525865086969,0.10330434790197408
9,0.7048027099435168,0.3716591000556946,0.6542859267295105,0.2054158236997189,0.7549982385815315,0.3663366436958313,0.8685656853441922,0.11120609967213757
10,0.6736007341177179,0.3651033639907837,0.5971847619050001,0.19129357293283075,0.7420317193247238,0.3795379400253296,0.8442894917614056,0.10846066025068175
11,0.679979253569029,0.3651033639907837,0.635893638575105,0.20117353960278442,0.7481307263644237,0.3696369528770447,0.8320994107228405,0.10353800935565301
12,0.7181803317483192,0.35501766204833984,0.646041452465906,0.2387821540341165,0.7439847959662383,0.35973596572875977,0.7446743227400869,0.13422543597671222
13,0.6702354234889742,0.3530004918575287,0.5651822838347745,0.22921044095059467,0.742944986190436,0.30363035202026367,0.8430339885207841,0.1423069306139676
