epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=22, count=2))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=10, count=2))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=22, count=2))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=10, count=2))"
1,1.6038551808495245,0.8140681982040405,inf,0.10299671749640353,1.1730292178707735,0.8530220985412598,0.1275332772554612,0.08435774456923174
2,1.0821459928446033,0.8543285131454468,inf,inf,1.0668348517709036,0.8530730605125427,0.11200811339032118,0.07304763452262636
3,1.0343338153660473,0.8546862602233887,inf,0.0982141044928475,1.018724685266308,0.8521047830581665,0.06388293292112411,0.042275056337854666
4,1.0096461035645072,0.8563995957374573,inf,0.09361432339510235,1.042128550036196,0.8513913154602051,0.17714672205048254,0.11667993164872414
5,1.0054638402796645,0.8561611175537109,inf,0.09655489845017753,1.0049073885030695,0.8545510172843933,inf,0.0870887577660271
6,0.9969845893652264,0.8561548590660095,inf,0.09143037544221133,0.994679912428006,0.8515951633453369,inf,0.052931487813370495
7,0.9764234176366681,0.8574163317680359,inf,inf,0.9954186211988508,0.8566405177116394,0.0811546137378474,0.06765671988707946
8,0.9900381537163441,0.8577677607536316,inf,inf,1.0022307391928902,0.8440526127815247,0.0396767111847102,0.05941202749365707
9,0.9912255003796726,0.8576108813285828,inf,inf,1.0154071840570962,0.857201099395752,inf,0.10906302144319895
10,0.9835808335765428,0.857648491859436,inf,inf,1.020611816734158,0.8510345816612244,inf,0.03535861928498416
11,0.9814936426936931,0.858062744140625,inf,inf,1.0019330601046867,0.8558760285377502,inf,0.07684436041838044
12,0.9749628658956906,0.8579434752464294,inf,0.09340145383255068,1.0044914379392165,0.8532769083976746,0.11257192182439654,0.04586252905507503
13,0.971129618900825,0.857937216758728,inf,inf,1.0032161974888556,0.8565895557403564,0.06315801148708206,0.10642240875086208
14,0.9686442316000944,0.8583890795707703,inf,inf,1.0063440312635739,0.8545000553131104,0.05351115336084062,0.07888451920952766
15,0.9779652677036625,0.8581945300102234,inf,inf,0.9902344386443073,0.8518499732017517,0.06638392799725705,0.04655459390324392
16,0.9733638381916258,0.8579121232032776,inf,inf,0.9832322648189835,0.8565895557403564,0.11669658159247882,0.07132021269727411
17,0.9728651966195404,0.8577364087104797,inf,0.08749693166328644,0.9832734338994839,0.8580674529075623,0.053321513906912185,0.08181186972656573
18,0.9635976018203688,0.8587028980255127,inf,inf,0.9875405244088272,0.8569972515106201,inf,0.07746308978702358
19,0.9710197140601027,0.8583451509475708,inf,inf,0.9898565482995365,0.8569462895393372,0.13316973619906514,0.07178151442999546
20,0.9690384092296532,0.8587530851364136,inf,0.08781482646046795,0.9896810227002664,0.857201099395752,inf,0.05725968086542344
21,0.9666196991138171,0.858081579208374,inf,0.08795077156701074,0.9977414721733847,0.8565385937690735,0.05938343738547809,0.07771694938594875
22,0.962976473172107,0.8579874038696289,inf,inf,0.984721042384799,0.8577107191085815,inf,0.07689709015459519
23,0.9631896753136396,0.8585898876190186,inf,inf,0.9934698118241573,0.8572520613670349,0.045873391906673486,0.06276017617268168
24,0.9682046492403894,0.8585522770881653,inf,inf,0.993145176963325,0.8568443655967712,inf,0.08029760575345114
25,0.9669268387473694,0.8576297163963318,inf,0.08647774383119267,0.9865732287129805,0.8573030233383179,inf,0.09735592383487969
26,0.967894775009205,0.858797013759613,inf,inf,1.0045851383796507,0.8551115989685059,inf,0.10649018188950363
27,0.9674569965871842,0.8587028980255127,inf,0.08668743150057394,0.9862721429101049,0.8546529412269592,inf,0.10492769839151143
28,0.9700471998677376,0.8592614531517029,inf,inf,0.9842405968021889,0.8576597571372986,inf,inf
29,0.9686415873919153,0.8581631779670715,inf,0.08767313465003516,1.004614383682,0.852767288684845,inf,0.05054336495207121
30,0.9625415634188776,0.8583828210830688,inf,0.0851053213968792,0.9996457061311977,0.852716326713562,inf,0.05400088967284832
31,0.963190811541443,0.8584330081939697,inf,0.08344152506109224,0.993897752838835,0.8568953275680542,inf,0.0681181824637573
32,0.9621258999265382,0.8585020303726196,inf,0.08554921312168927,0.9766364381378397,0.8562328219413757,0.07169219971715518,0.06569141351999497
33,0.951167705813942,0.8586024641990662,inf,0.08397713999098487,0.9889990359352429,0.8586280941963196,inf,0.07086907387285982
34,0.9678300273187956,0.8593555688858032,inf,0.08672564222971767,0.9774139942870461,0.8574559092521667,0.08233310462562901,0.09932224968183319
35,0.9509986079156996,0.8583702445030212,inf,0.08717349218692706,0.9701297993873408,0.8580674529075623,inf,0.07207978202026108
36,0.9509625654333781,0.8586024641990662,inf,inf,0.9804618653193038,0.8582203388214111,inf,0.08856295742047061
37,0.9560452633179775,0.8589287996292114,inf,0.08346263048296758,0.9788388831600002,0.8582713007926941,0.062355703102808344,0.07478401919079435
38,0.9723313813477057,0.8587468266487122,inf,inf,0.9891589163129737,0.8565385937690735,inf,0.07079941616443058
39,0.9571678350730177,0.8586463928222656,inf,0.08518988116280667,0.9822691555704143,0.857201099395752,inf,0.09950293122836232
40,0.9566752215605322,0.8586212992668152,inf,inf,0.9937222919011555,0.8569462895393372,inf,0.06638965637061246
41,0.9679748831303732,0.8585898876190186,inf,inf,0.9907044698225946,0.8513403534889221,inf,0.07711719201122373
