epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))"
11,0.37015015446520017,0.6840579509735107,inf,inf,0.42683048838766935,0.584449859423058,inf,0.305323239938121,0.684587836265564,inf,inf,0.33779126461421216,0.4031124828017761,0.15448108287615198
12,0.3414557991967162,0.6894091367721558,inf,inf,0.35639030298339985,0.4844104781329075,inf,0.30447664035257893,0.6827957034111023,inf,inf,0.3444603893244378,0.5311879042153046,inf
13,0.36814447797869687,0.6824972033500671,inf,inf,0.3605493808461127,inf,inf,0.29719424916205006,0.684587836265564,inf,inf,0.3123733351163775,0.47928579722609477,0.07559433078097406
14,0.3407067700297894,0.6820513010025024,inf,inf,0.3771056961790423,inf,inf,0.29536626501896673,0.6881720423698425,inf,inf,0.3628927926036799,inf,inf
15,0.3466030328282129,0.6824972033500671,inf,inf,0.38595259746658467,inf,inf,0.2919294535417423,0.6881720423698425,inf,inf,0.3787303461092655,0.44482983829819156,0.28354269433244367
16,0.3490837387496901,0.6827201843261719,inf,inf,0.37118781504229964,0.6299796438662806,inf,0.290949052600103,0.684587836265564,inf,inf,0.336420790057316,inf,inf
17,0.3334374762984498,0.6822742223739624,inf,inf,0.3850413950804238,inf,inf,0.2869962500495331,0.6881720423698425,inf,inf,0.396057244773223,0.48995300542528386,inf
18,0.3419706583736795,0.6860646605491638,inf,inf,0.4102739764151172,inf,inf,0.28720741085359985,0.6881720423698425,inf,inf,0.36694928641631225,0.5358093386498567,inf
19,0.33470315763848685,0.6851727962493896,inf,inf,0.36773041475599055,inf,inf,0.2885297217937273,0.684587836265564,inf,inf,0.38315640208877133,0.5278386846881047,inf
20,0.3291908812004133,0.6871795058250427,inf,inf,inf,inf,inf,0.2842481687107933,0.684587836265564,inf,inf,0.3768041468112268,inf,inf
21,0.332776826536544,0.6867335438728333,inf,inf,0.38600631406374064,inf,inf,0.2823140940794321,0.684587836265564,inf,inf,0.33972396137558414,inf,inf
22,0.33294979225252275,0.6918617486953735,inf,inf,inf,inf,inf,0.28225259482860565,0.6881720423698425,inf,inf,0.3691176031237451,inf,inf
23,0.34456558115171076,0.6860646605491638,inf,inf,0.37578766201144065,inf,inf,0.28238807110307373,0.6792114973068237,inf,inf,0.3505046167106272,inf,inf
24,0.33028200191715473,0.6894091367721558,inf,inf,0.3779207830117128,inf,inf,0.28100653856157143,0.6810035705566406,inf,inf,0.3779097762063285,0.5850609396105615,inf
25,0.345467235731988,0.6871795058250427,inf,inf,0.40265495364911086,inf,inf,0.2807168762121245,0.6827957034111023,inf,inf,0.3626119488867644,inf,inf
26,0.3595762048177769,0.6845039129257202,inf,inf,0.37632525969888564,inf,inf,0.28285522174055333,0.684587836265564,inf,inf,0.34154031878319857,inf,inf
27,0.3425361009349472,0.6820513010025024,inf,inf,0.3809999049266922,inf,inf,0.2798561428751901,0.6738350987434387,inf,inf,0.34193618275294796,0.5849498766604985,inf
28,0.32899965542133586,0.683612048625946,inf,inf,0.3714485213021252,inf,inf,0.277721018086527,0.6881720423698425,inf,inf,0.3692782036611967,inf,inf
29,0.3215019183459683,0.6952062249183655,inf,inf,0.39308823046283187,inf,inf,0.2815103532276421,0.684587836265564,inf,inf,0.39661008175288404,0.6460881634293315,inf
30,0.3207232002517052,0.6874024271965027,inf,inf,0.36065752985321475,inf,inf,0.2767651377019481,0.6881720423698425,inf,inf,0.3607437632908331,inf,inf
31,0.32167758018857684,0.6952062249183655,inf,inf,0.4145089415746315,inf,inf,0.2799440869521872,0.6792114973068237,inf,inf,0.36976404279191916,inf,inf
32,0.33294668651368714,0.6940914392471313,inf,inf,0.38878324822844745,inf,inf,0.27751048939807393,0.6863799095153809,inf,inf,0.3810677662074009,inf,inf
33,0.32536783479763387,0.6867335438728333,inf,inf,0.36144344439016324,inf,inf,0.27722203390342054,0.6756272315979004,inf,inf,0.375544779768614,inf,inf
34,0.31617289942593496,0.695652186870575,inf,inf,0.3758164783504522,inf,inf,0.27537324028873,0.684587836265564,inf,inf,0.3380145714661785,inf,inf
35,0.33113306205911197,0.6940914392471313,inf,inf,0.3802012411233421,inf,inf,0.2765534948383536,0.6863799095153809,inf,inf,0.370078844444774,inf,inf
36,0.3199380343849553,0.6898550987243652,inf,inf,0.4067036581930713,inf,inf,0.27524538728121284,0.684587836265564,inf,inf,0.3686229313645407,inf,inf
37,0.34899176811259763,0.6858416795730591,inf,inf,0.3805045446502828,inf,inf,0.2740078771782813,0.6863799095153809,inf,inf,0.3768459837013316,inf,inf
38,0.342242404274538,0.6934224963188171,inf,inf,0.3737432605752321,inf,inf,0.27668450640462267,0.6881720423698425,inf,inf,0.38452299955849334,inf,inf
39,0.33519736623008534,0.6936454772949219,inf,inf,0.38904478505393053,inf,inf,0.2731072485586193,0.6863799095153809,inf,inf,0.33969945105436805,0.6751839824926074,inf
40,0.32169007874642297,0.6929765939712524,inf,inf,0.3830992317645349,inf,inf,0.27433835332081696,0.6899641752243042,inf,inf,0.38445879142975137,0.6860486859473113,inf
41,0.32438764490935706,0.6853957772254944,inf,inf,0.3724670766670013,inf,inf,0.27301874812518323,0.6863799095153809,inf,inf,0.3675852980569144,inf,inf
42,0.3291596339223471,0.6992196440696716,inf,inf,0.4002910640752204,inf,inf,0.2779195290581088,0.684587836265564,inf,inf,0.35381958863445534,inf,inf
43,0.32944031056695594,0.6900780200958252,inf,inf,0.3965681379086503,inf,inf,0.27326377070395746,0.6738350987434387,inf,inf,0.35159069578224256,0.7343934585000867,inf
44,0.3287384920300933,0.6905239820480347,inf,inf,0.38765582414430994,inf,inf,0.27370464954977836,0.6756272315979004,inf,inf,0.3935354268439462,inf,inf
45,0.3174396160789809,0.6947603225708008,inf,inf,0.42567750950840033,inf,inf,0.27240370680517123,0.6756272315979004,inf,inf,0.35542525532089664,inf,inf
46,0.3455228584809838,0.6960980892181396,inf,inf,0.3673516539769752,inf,inf,0.273057074051037,0.6863799095153809,inf,inf,0.41529109990485363,inf,inf
47,0.33298404665367903,0.6914158463478088,inf,inf,0.4048574427577937,inf,inf,0.2738962956121035,0.6863799095153809,inf,inf,0.3886409830824237,inf,inf
48,0.32316064597847305,0.6940914392471313,inf,inf,0.3987660953931719,inf,inf,0.27242956324436957,0.7222222089767456,inf,inf,0.40614565733437225,inf,inf
49,0.32112476050366306,0.6907469630241394,inf,inf,0.3553460028684028,inf,inf,0.27195089964944624,0.6863799095153809,inf,inf,0.38152155475081684,inf,inf
50,0.3327693801077309,0.6952062249183655,inf,inf,0.40308625230165285,inf,inf,0.2713583301160937,0.6863799095153809,inf,inf,0.36624895969283916,inf,inf
51,0.3342065433492867,0.6927536129951477,inf,inf,0.41084269886819,inf,inf,0.2715078816514149,0.684587836265564,inf,inf,0.3520064086557549,inf,inf
52,0.33661183796466165,0.6981047987937927,inf,inf,0.37351267304375907,inf,inf,0.2746856743208716,0.6863799095153809,inf,inf,0.38660678685268507,inf,inf
53,0.318089482431065,0.695652186870575,inf,inf,0.385408766915865,inf,inf,0.2732771203339657,0.6863799095153809,inf,inf,0.4062730842661635,inf,inf
54,0.3309341190278391,0.6947603225708008,inf,inf,0.35867635000531917,inf,inf,0.2708935019708125,0.684587836265564,inf,inf,0.37443967623131297,inf,inf
55,0.3196890868777496,0.6949833035469055,inf,inf,inf,inf,inf,0.27000812991200207,0.7240143418312073,inf,inf,0.4170799433627975,inf,inf
56,0.31064854944168335,0.6940914392471313,inf,inf,0.43489224331401216,inf,inf,0.2729491656559093,0.6899641752243042,inf,inf,0.37764198980598807,inf,inf
57,0.34347890200371917,0.6940914392471313,inf,inf,0.3949970536142866,inf,inf,0.2712499276499882,0.6827957034111023,inf,inf,0.36553237594176674,inf,inf
58,0.3221805794425657,0.6983277797698975,inf,inf,0.4058595438983953,inf,inf,0.2708436793116766,0.7275985479354858,inf,inf,0.42629853364463166,inf,inf
