epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))"
1,0.9290172897401403,0.456379234790802,0.45037937890171165,0.8464691548977258,0.5049505233764648,0.3234934716854455
2,0.7381357433365994,0.4866364002227783,0.5306061969707945,0.7103141883634171,0.5742574334144592,0.40734185812608253
3,0.6230298908867936,0.6313666105270386,0.49744068487466636,0.6317319903733596,0.6402640342712402,0.42206649060519236
4,0.588227852446134,0.6525466442108154,0.5899359124605773,0.5672984736145668,0.6402640342712402,0.4139555625195773
5,0.5412985023276867,0.6555723547935486,0.6086294891125146,0.5170197661192912,0.6402640342712402,0.34234580453836694
6,0.46326260317544465,0.6555723547935486,0.5199517913389541,0.48110726869331216,0.6468647122383118,0.37461084689734114
7,0.42281043431797966,0.6591023802757263,0.4942739350455148,0.4550153871752181,0.6600660085678101,0.31425736985116637
8,0.420766041450534,0.6616237759590149,0.4988911883334086,0.4327902872607393,0.6633663177490234,0.3025581161930876
9,0.4313915457044329,0.6641452312469482,0.5321963497849761,0.41980693925101803,0.6732673048973083,0.3570023842577664
10,0.38660872174509797,0.6787695288658142,0.530204002416106,0.40132307443978654,0.7062706351280212,0.342725618830267
11,0.3927305288944367,0.6752395629882812,0.5689901830999299,0.3926600971311893,0.7062706351280212,0.3373411106613447
12,0.40682551844058606,0.675743818283081,0.6420166297037093,0.38744515602318746,0.7062706351280212,0.4064082379611033
13,0.3683512160419301,0.6858295798301697,0.6234285959873601,0.37792536672556176,0.7062706351280212,0.37250533193912144
14,0.3687472908432646,0.6833081245422363,0.5501207300315696,0.3739911984160261,0.7062706351280212,0.38468623611162295
15,0.3523552117638063,0.6964195370674133,0.5518423612000513,0.370473841310672,0.7095709443092346,0.39756258478704487
16,0.3725980195179756,0.6938981413841248,0.6394282001522162,0.3764167454726291,0.6963696479797363,0.4897620722932636
17,0.3818483316891366,0.6908724308013916,0.8504345578946331,0.36644884775269704,0.7095709443092346,0.4289192703534972
18,0.36759743673740003,0.7135652899742126,0.7376608569393114,0.35341719130300125,0.7095709443092346,0.4162468100493809
19,0.32943968101463494,0.7155824303627014,0.6035171828169454,0.3590253900806859,0.7095709443092346,0.4807976056944649
20,0.34642440848384026,0.7140696048736572,0.7509949726578223,0.3503883572400741,0.6666666865348816,0.39716909516532467
21,0.350507773389163,0.7100353240966797,inf,0.34738467605608814,0.7095709443092346,0.4521064578362231
22,0.3500599762385567,0.7009581327438354,0.7848988550887454,0.3486158382498993,0.6765676736831665,0.42547785561039764
23,0.34429394087341963,0.7140696048736572,0.7124118000897088,0.34431472715904127,0.6864686608314514,0.42703160699808373
24,0.32344264025850095,0.7070095539093018,inf,0.33960401885352043,0.6666666865348816,0.436315914369979
25,0.3283201333405821,0.7261724472045898,inf,0.3394302510709133,0.6732673048973083,0.46188540728587024
26,0.32487753140074865,0.7206253409385681,inf,0.33770412768957747,0.6633663177490234,0.38693681752906656
27,0.33698613898047797,0.7297024726867676,inf,0.3387368774076678,0.6831682920455933,0.48344682297616637
28,0.3214694429930535,0.7281895875930786,inf,0.33803424787408903,0.6732673048973083,0.46864954030738687
29,0.31909559764822976,0.7276853322982788,inf,0.3354726453434746,0.6765676736831665,0.4616715593158074
30,0.2934348288687945,0.7362582087516785,inf,0.3327880036437286,0.6732673048973083,0.41481822391725937
31,0.3210544916135924,0.729198157787323,inf,0.33149203840854036,0.6732673048973083,0.45594179405356355
32,0.30362748954907515,0.7297024726867676,inf,0.33012492996904086,0.669966995716095,0.4780418827848614
33,0.2998043968401134,0.7397881746292114,inf,0.3326460073860186,0.669966995716095,inf
34,0.29463528496250335,0.7322239279747009,inf,0.33182005359316774,0.6633663177490234,0.47558095320215765
35,0.3124639974248353,0.7352496385574341,inf,0.3300361360581416,0.6633663177490234,0.4734751503422575
36,0.32069757526666276,0.7372667789459229,inf,0.32899903491982874,0.6732673048973083,0.5484568397953825
37,0.313501101536829,0.7372667789459229,inf,0.32701861717790925,0.6633663177490234,0.4921125196061044
38,0.32866938249044453,0.7433182001113892,inf,0.3292199085062405,0.6732673048973083,0.5391875932801444
39,0.29387323485046135,0.738779604434967,inf,0.33021074463174027,0.669966995716095,0.536750649506191
40,0.3234229958430805,0.7443267703056335,inf,0.3312033241930998,0.6831682920455933,0.567379465642965
41,0.304502902330015,0.7297024726867676,inf,0.3284654344590205,0.6765676736831665,inf
42,0.3277390032169132,0.7377710342407227,inf,0.3265888960856312,0.6633663177490234,0.5820973594233675
43,0.27631037070719083,0.7438225150108337,inf,0.32722133482402227,0.6732673048973083,inf
44,0.3171849083984205,0.738779604434967,inf,0.3257372023643188,0.669966995716095,0.5603178672070773
45,0.30998504019628087,0.7448310852050781,inf,0.3268046568868295,0.669966995716095,0.5587655193400833
46,0.3180033634623962,0.7377710342407227,inf,0.32638768739295454,0.6534653306007385,0.5490959995197799
