epoch,train_loss,train_accuracy,"train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","train_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))",val_loss,val_accuracy,"val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","val_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))"
1,1.327203241818481,0.17341269552707672,0.5534265518188477,inf,inf,inf,1.445405986573961,0.13015873730182648,0.6924496120876736,1.2677982330322266,inf,inf
2,1.5002948731184005,0.06117724999785423,0.8236574729283651,0.8311017195383708,inf,inf,1.6647681739595201,0.034391533583402634,0.9014831966824002,0.5964422861735026,0.5119275834825304,inf
3,1.648941830959585,0.0367063507437706,0.7907173130247328,0.6323906977971395,inf,inf,1.7771819684240553,0.0476190485060215,0.762499745686849,0.5885783301459419,inf,0.30027122497558595
4,1.7340300051702393,0.034788358956575394,0.6466475248336792,0.545273690753513,inf,inf,1.853625884321001,0.04126984253525734,0.6128482394748264,0.526825671725803,0.248291990492079,inf
5,1.7856860084666146,0.03981481492519379,0.564068873723348,0.4874450551138984,0.23201549583011202,0.2391193946202596,1.8912482870949638,0.028042327612638474,0.5511914571126302,0.44256134033203126,0.2131964365641276,0.19511439005533854
6,1.8093157271544138,0.022685185074806213,0.522317541970147,0.4588454458448622,0.20561010837554933,0.20421461264292398,1.9054905414581298,0.039153438061475754,0.5015347798665365,0.42173262702094183,0.17730450100368925,0.1666088104248047
7,1.8161155025164286,0.02857142873108387,0.5114914920594957,0.43382107151879207,0.1733087910546197,0.1792256991068522,1.8969355821609497,0.047089945524930954,0.5134977128770616,0.46752675374348956,0.18256496853298612,0.16215481228298612
8,1.8165294931994544,0.02222222276031971,0.5176444265577528,0.42191334300571015,0.1706591208775838,0.1620472616619534,1.9123715983496772,0.0010582010727375746,0.4806066724989149,0.39755486382378474,0.15231649610731338,0.17309744093153212
9,1.818737287984954,0.018518518656492233,0.5215462578667535,0.42699154482947455,0.15680341455671523,0.16132355795966255,1.911101229985555,0.019576719030737877,0.4705823686387804,0.45476548936631944,0.13659320407443576,0.15118175082736546
10,1.8315052168236838,0.031812168657779694,0.48630964756011963,0.39431690639919703,0.14278351995680066,0.1403470966551039,1.9235244035720824,0.008994708769023418,0.5839379204644097,0.34093471103244355,0.13034002516004775,0.136251958211263
11,1.8421631824639109,0.018981480970978737,0.4694209310743544,0.37062802844577364,0.13711982038285997,0.13815911081102158,1.9452336311340332,0.03809523954987526,0.48122261895073787,0.36410035027398,0.14419280158148873,0.12199622260199652
12,1.8431012686755923,0.031481482088565826,0.48090736865997313,0.38259983592563207,0.1434258460998535,0.14051297240787083,1.925110055340661,0.0476190485060215,0.4758749220106337,0.34551044040256074,0.12157274881998698,0.1292293972439236
13,1.8365834183163112,0.03822751343250275,0.48184772067599824,0.3893051650789049,0.14143462710910373,0.1348492039574517,1.9292062401771546,0.045502644032239914,0.495962397257487,0.36821539137098525,0.1291844685872396,0.1222190433078342
14,1.843136627972126,0.026917990297079086,0.47041911284128823,0.37841065724690753,0.13145163324144152,0.1309349669350518,1.9378806233406067,0.04603174701333046,0.4251990000406901,0.33809208340115016,0.11650958591037326,0.12166311475965712
