epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0271548299325837,0.3265872895717621,0.9177084379725986,0.3550264537334442
2,0.8666516734494103,0.3283068835735321,0.8890304379993015,0.3550264537334442
3,0.8461237251758575,0.33796295523643494,0.8717239684528775,0.3481481373310089
4,0.8316155546241336,0.33802908658981323,0.8585762593481275,0.34391534328460693
5,0.8201444698704614,0.33564814925193787,0.8449524349636501,0.34656083583831787
6,0.8039060917165545,0.34166666865348816,0.8248402886920505,0.3502645492553711
7,0.7861450812882848,0.34570106863975525,0.8043593645095826,0.3719576597213745
8,0.7712731118003527,0.3521164059638977,0.7919620805316501,0.3708994686603546
9,0.7619365066289902,0.3603174686431885,0.7837356408437093,0.36560845375061035
10,0.7554300150937504,0.36878305673599243,0.7774790114826626,0.37936508655548096
11,0.7506360101203123,0.368320107460022,0.7714442590872447,0.36666667461395264
12,0.7458016834325261,0.36534392833709717,0.766364739338557,0.385185182094574
13,0.7433695889181561,0.36243385076522827,0.7632850858900282,0.3671957552433014
14,0.7413954621387853,0.3628306984901428,0.7600747876697116,0.3682539761066437
15,0.7363596905850702,0.369907408952713,0.7559933473666509,0.3830687701702118
16,0.7350092672225502,0.3717592656612396,0.753637307882309,0.3751322627067566
17,0.7332108305560218,0.3789021074771881,0.7544964611530304,0.37248677015304565
18,0.7356999023093118,0.3679894208908081,0.7503156960010529,0.38624337315559387
19,0.727869693065683,0.36937829852104187,0.7542355133427514,0.3671957552433014
20,0.7325814505832062,0.36838623881340027,0.7454246295822992,0.39841270446777344
21,0.7253579071826405,0.3780423402786255,0.746797654694981,0.3857142925262451
22,0.727793235787087,0.36746031045913696,0.744688524140252,0.3777777850627899
23,0.723982749113606,0.3732142746448517,0.7469501584768296,0.36878305673599243
24,0.7258040164907773,0.3797619044780731,0.746904750002755,0.37354496121406555
25,0.7172135464226206,0.38346561789512634,0.7364130944013596,0.4037036895751953
26,0.7272998370333679,0.3740079402923584,0.7405365420712365,0.3989417850971222
27,0.72392203659854,0.3680555522441864,0.7547769063048893,0.36772486567497253
28,0.718887990526855,0.381679892539978,0.7384351096219487,0.3693121671676636
29,0.7203614982051982,0.3772486746311188,0.7429792589611477,0.38624337315559387
30,0.7188394335512486,0.3769841194152832,0.7532390591171053,0.3740740716457367
31,0.7185341445936098,0.3779761791229248,0.7388028250800238,0.385185182094574
32,0.7163547993327181,0.37936508655548096,0.7473130769199795,0.35767194628715515
33,0.7159515324566099,0.3796957731246948,0.734232152832879,0.37037035822868347
34,0.7189343627335296,0.37936508655548096,0.7494263902306557,0.3650793731212616
35,0.7143804066504041,0.38029101490974426,0.741808760828442,0.3978835940361023
36,0.7136609538872208,0.3841269910335541,0.7297176568044557,0.39841270446777344
37,0.7128853000700474,0.38234126567840576,0.7352256443765428,0.39259257912635803
38,0.7160791355599132,0.38042327761650085,0.7314441833231184,0.37037035822868347
39,0.7139928501099349,0.38558200001716614,0.7292576685547829,0.3772486746311188
40,0.7149215375383695,0.3789682686328888,0.7352890789508819,0.39947089552879333
41,0.7159747216022677,0.37559524178504944,0.732104069656796,0.38465607166290283
42,0.7129232759587467,0.3789682686328888,0.7400974492232005,0.391005277633667
43,0.709830583528512,0.3777777850627899,0.7356231388118532,0.3798941671848297
44,0.7119442131163345,0.3789021074771881,0.7279546322094069,0.4010581970214844
45,0.7133199365085198,0.38346561789512634,0.7366004639201694,0.38730159401893616
46,0.7102702473238525,0.38366401195526123,0.7334908734593126,0.38465607166290283
47,0.7102513765605788,0.3861772418022156,0.7276986744668749,0.3878306746482849
48,0.7117797888091041,0.3837301731109619,0.7274086942275365,0.3888888955116272
49,0.7085220008881555,0.38260582089424133,0.7431779682636261,0.39047619700431824
50,0.7110873207242953,0.38359788060188293,0.7258722819387913,0.3878306746482849
51,0.7052491329610348,0.3847222328186035,0.7348941488398446,0.3693121671676636
52,0.7096981547203742,0.38445767760276794,0.7252046321001318,0.3777777850627899
53,0.7083433396079474,0.3849867582321167,0.7261272990041309,0.38465607166290283
54,0.7092925807098962,0.3871693015098572,0.7368204527431064,0.40423280000686646
55,0.7069713543997043,0.38955026865005493,0.727013507568174,0.37566137313842773
56,0.7024071851383067,0.39338624477386475,0.7377135974665483,0.3560846447944641
57,0.7041776790542321,0.38425925374031067,0.7273091425498327,0.3772486746311188
58,0.7105588263211151,0.38148146867752075,0.7233374191655053,0.39259257912635803
59,0.7053938656941884,0.38425925374031067,0.7298353032933341,0.3788359761238098
60,0.7055870589748439,0.38267195224761963,0.7222096641858419,0.39259257912635803
61,0.7060423924018525,0.38234126567840576,0.7220857315593295,0.37248677015304565
62,0.7044688460313612,0.3856481611728668,0.7213466974596182,0.38624337315559387
63,0.7093239623535839,0.3849867582321167,0.7242699061830838,0.40052908658981323
64,0.6989725377514131,0.39014551043510437,0.7589746945434146,0.35978835821151733
65,0.7059108323081293,0.38339945673942566,0.7225409188204341,0.39047619700431824
66,0.7111002194488214,0.3837301731109619,0.732686242254244,0.3693121671676636
67,0.6987427652658273,0.39345237612724304,0.7224922774566545,0.39629629254341125
68,0.7045170599698193,0.380820095539093,0.7231115168995328,0.39735448360443115
69,0.7036508527222193,0.38465607166290283,0.7207156373394861,0.38042327761650085
70,0.7033866866051943,0.38320106267929077,0.7206202947431141,0.37936508655548096
71,0.7043647192340965,0.38458994030952454,0.7205693225065867,0.3830687701702118
72,0.704800975917735,0.38048940896987915,0.7200005897217326,0.39047619700431824
73,0.695332339938937,0.3939814865589142,0.7448099666171604,0.38465607166290283
74,0.7066682618577034,0.3866402208805084,0.744620902919107,0.3560846447944641
75,0.6995760524955889,0.3871693015098572,0.7221608941753705,0.3820105791091919
76,0.7012526736542997,0.3897486627101898,0.7185663051075406,0.3888888955116272
77,0.7077928422820858,0.38637566566467285,0.7190473433997896,0.3931216895580292
78,0.7000852088728505,0.38749998807907104,0.7184864131112894,0.3989417850971222
79,0.7053909232348411,0.38657405972480774,0.7238585821456379,0.3820105791091919
80,0.6920680125606142,0.392724871635437,0.7188677056796021,0.3830687701702118
81,0.7019317575109502,0.3850529193878174,0.7198852196335792,0.3841269910335541
82,0.7041026842625191,0.38531747460365295,0.7185092108945051,0.386772483587265
83,0.7006064828821561,0.3916666805744171,0.7181285241411792,0.3978835940361023
84,0.6904264180300136,0.39252644777297974,0.7200607279936473,0.38148146867752075
85,0.7018876337575622,0.3847883641719818,0.7175231306089296,0.380952388048172
86,0.702600727794278,0.38657405972480774,0.7176465745601389,0.391005277633667
87,0.7002252704127588,0.386044979095459,0.7181410110245149,0.3841269910335541
88,0.703357980079535,0.3849867582321167,0.7183227743539545,0.38465607166290283
89,0.6888958926933507,0.39642858505249023,0.7171905018803146,0.4000000059604645
90,0.7007641073264596,0.38644179701805115,0.7193309134907193,0.38465607166290283
91,0.7083244985228198,0.3870370388031006,0.7185794464415974,0.38253968954086304
92,0.6986768815019685,0.3926587402820587,0.7334560043281979,0.37936508655548096
93,0.6939615834038705,0.392724871635437,0.7170647902621163,0.3888888955116272
94,0.70420091963994,0.3879629671573639,0.7232697452108066,0.3798941671848297
