epoch,train_loss,train_accuracy,"train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))",val_loss,val_accuracy,"val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))"
22,0.7062969510753949,0.3978835940361023,inf,inf,inf,inf,0.726722831858529,0.41111111640930176,2.110706498887804,2.3543195088704425,inf,inf
23,0.7022615994016329,0.4007936418056488,inf,inf,inf,inf,0.7245881583955552,0.40529099106788635,1.913654285007053,inf,inf,inf
24,0.6988917137185733,0.40734127163887024,inf,inf,inf,inf,0.720752227306366,0.41904762387275696,1.632139926486545,2.708493381076389,inf,inf
25,0.696809074613783,0.4015873074531555,inf,inf,inf,inf,0.7179058571656545,0.4105820059776306,2.161939409044054,inf,inf,inf
26,0.6945277076628473,0.4048280417919159,inf,inf,inf,inf,0.7160637689961328,0.4021163880825043,2.4543855455186634,inf,inf,inf
27,0.6908929296665721,0.40238094329833984,inf,inf,inf,inf,0.7128225061628554,0.4026454985141754,inf,inf,inf,inf
28,0.6904489097495874,0.39920634031295776,inf,inf,inf,inf,0.7128447552522024,0.41428571939468384,2.192588890923394,inf,inf,inf
29,0.6883476892279254,0.4007275104522705,inf,inf,inf,inf,0.710358997186025,0.41534391045570374,inf,2.479778120252821,inf,inf
30,0.6851735887014203,0.40410053730010986,inf,inf,inf,inf,0.7064854105313619,0.3947089910507202,inf,inf,inf,inf
31,0.6822549530201488,0.4077380895614624,inf,inf,inf,inf,0.7053370846642388,0.4148148000240326,inf,inf,inf,inf
32,0.6840808884965048,0.3998015820980072,inf,inf,inf,inf,0.7033340520328946,0.4195767343044281,inf,2.2834232330322264,inf,inf
33,0.6784551287276878,0.40310847759246826,inf,inf,inf,inf,0.7012835595342848,0.4137566089630127,inf,inf,inf,inf
34,0.6814313150735365,0.39821428060531616,inf,inf,inf,inf,0.7002575390868717,0.4185185134410858,inf,inf,inf,inf
35,0.6780088436272409,0.39847883582115173,inf,inf,inf,inf,0.6999896605809529,0.41904762387275696,inf,inf,inf,inf
36,0.6775367041842805,0.4029761850833893,inf,inf,inf,inf,0.6963178955846363,0.41904762387275696,1.6981311798095704,inf,inf,inf
37,0.6749150587452782,0.40423280000686646,inf,inf,inf,inf,0.6990154127279917,0.4158730208873749,1.8551270378960503,inf,inf,inf
38,0.676438988931477,0.40529099106788635,inf,inf,inf,inf,0.696143690082762,0.4174603223800659,inf,inf,inf,inf
39,0.6737829640921619,0.40641534328460693,inf,inf,inf,inf,0.692411603530248,0.42222222685813904,inf,2.3616551717122394,inf,inf
40,0.672572427512043,0.4019841253757477,inf,inf,inf,inf,0.6920508007208507,0.4026454985141754,inf,2.5385030110677085,inf,inf
41,0.669658130655686,0.4024471044540405,inf,inf,inf,inf,0.6893679214848413,0.41798943281173706,inf,inf,inf,inf
42,0.6719799568255742,0.4079365134239197,inf,inf,inf,inf,0.694987071885003,0.42328041791915894,inf,inf,inf,inf
43,0.6688368132544888,0.40509259700775146,inf,inf,inf,inf,0.6873637189467748,0.420634925365448,inf,inf,inf,inf
44,0.671243358279268,0.40529099106788635,inf,inf,inf,inf,0.6891878190967772,0.42116403579711914,inf,inf,inf,inf
45,0.6674829666192333,0.40839946269989014,inf,inf,inf,inf,0.6913813039660454,0.3936507999897003,inf,inf,inf,inf
46,0.6628319263251291,0.40343916416168213,inf,inf,inf,inf,0.6851309607426326,0.4243386387825012,inf,2.2020054711235892,inf,inf
47,0.6704665377736092,0.4017195701599121,inf,inf,inf,inf,0.6851751234796312,0.4243386387825012,inf,inf,inf,inf
48,0.666090802827643,0.4068782925605774,inf,inf,inf,inf,0.6869148168298933,0.39947089552879333,inf,2.2297427707248265,inf,inf
49,0.6648549616543783,0.40337300300598145,inf,inf,inf,inf,0.6849592655897141,0.4095238149166107,inf,inf,inf,inf
50,0.6638234194989006,0.4078042209148407,inf,inf,inf,inf,0.6899266077412499,0.42116403579711914,inf,inf,inf,inf
