epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
21,0.7594957763122188,0.3919312059879303,inf,0.000315346982744005,inf,inf,inf,0.780262729856703,0.39735448360443115,inf,6.357828776041667e-08,inf,inf,inf
22,0.7553562324908044,0.3886243402957916,inf,0.00021757814619276258,inf,inf,inf,0.7759309914377001,0.4079365134239197,inf,0.0,inf,inf,inf
23,0.7519593968159622,0.39113757014274597,inf,0.0014527108934190539,inf,inf,inf,0.772464668419626,0.4116401970386505,inf,0.0037026299370659724,inf,inf,inf
24,0.7493221616165505,0.3951058089733124,inf,0.0005687144067552355,inf,inf,inf,0.7695547944969601,0.426455020904541,inf,0.00045142703586154514,inf,inf,inf
25,0.7459405971070131,0.3966931104660034,inf,0.0006809883647494846,inf,inf,inf,0.7673653304576874,0.4169312119483948,inf,0.0001865386962890625,inf,inf,2.6030587938096788
26,0.7439253287182914,0.3950396776199341,inf,0.0015301876597934299,inf,inf,inf,0.7647494339280658,0.40634921193122864,inf,4.728105333116319e-05,inf,inf,inf
27,0.7409968837267823,0.39543649554252625,inf,0.0001053558455573188,inf,inf,inf,0.7616084145175086,0.41111111640930176,inf,0.0003531561957465278,inf,inf,inf
28,0.736992531393965,0.40330687165260315,inf,0.0017671465873718261,inf,inf,inf,0.7587952653566996,0.4137566089630127,inf,0.0020674599541558158,inf,inf,2.4991836547851562
29,0.7363717762960328,0.3948412835597992,inf,0.0009091085857815212,inf,inf,inf,0.7561525447501076,0.41798943281173706,inf,0.0007660759819878472,inf,inf,inf
30,0.7331676866031356,0.3988756537437439,inf,0.0007846964730156792,inf,inf,inf,0.7545707162883547,0.41216930747032166,inf,0.00035192701551649307,inf,inf,inf
31,0.730791311400632,0.4008598029613495,inf,0.0008611811531914605,inf,inf,inf,0.7532518953084946,0.40052908658981323,inf,0.0021159278021918404,inf,inf,inf
32,0.7300630362497436,0.3941137492656708,inf,0.000637980302174886,inf,inf,inf,0.7502080998486943,0.4275132417678833,inf,0.0004321416219075521,inf,inf,inf
33,0.7277717349843846,0.3979497253894806,inf,0.001437634891933865,inf,inf,inf,0.7485481661227015,0.4079365134239197,inf,0.0034039603339301215,inf,inf,inf
34,0.7272398867333929,0.40013226866722107,inf,0.00042831897735595703,inf,inf,inf,0.7478446977006065,0.40423280000686646,inf,0.00010081397162543403,inf,inf,inf
35,0.7260213166682257,0.39517197012901306,inf,0.0022235340542263453,inf,inf,inf,0.7456089446942011,0.43015873432159424,inf,0.0,inf,inf,inf
36,0.7245698536435763,0.40033069252967834,inf,0.004519609610239664,inf,inf,inf,0.7453971763451894,0.42116403579711914,inf,0.012708261277940539,inf,inf,inf
37,0.7215243641701009,0.40337300300598145,inf,0.0010945969157748752,inf,inf,inf,0.7425302634636561,0.4296296238899231,inf,0.019006326463487412,inf,inf,inf
38,0.7235715357586742,0.3988756537437439,inf,0.0056155456437004935,inf,inf,inf,0.7413999264438947,0.4322751462459564,inf,1.644558376736111e-05,inf,inf,inf
39,0.7198014992599686,0.4078703820705414,inf,0.00399686230553521,inf,inf,inf,0.7399943942824999,0.4285714328289032,inf,0.0023835712009006075,inf,inf,inf
40,0.7206423790297575,0.3997354507446289,inf,0.006798071331448025,inf,inf,inf,0.7401714545157221,0.4174603223800659,inf,0.006900893317328559,inf,inf,inf
41,0.7177308777140247,0.4049603044986725,inf,0.0033703088760375977,inf,inf,inf,0.7378629609942436,0.426455020904541,inf,0.0015384674072265625,inf,inf,inf
