epoch,train_loss,train_accuracy,"train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","train_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))",val_loss,val_accuracy,"val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","val_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))"
1,1.3263052513202032,0.17519840598106384,0.5565504444970025,inf,inf,inf,1.4518643365965949,0.06455026566982269,0.7128492991129557,1.2075394948323568,inf,inf
2,1.4955756422546176,0.05562169477343559,0.8539159377415975,0.7957572963502672,inf,inf,1.651325633790758,0.012698412872850895,0.9617025587293837,0.5917757246229384,0.5342530568440755,inf
3,1.6416377243068483,0.03630952537059784,0.8290161530176798,0.6195711427264743,inf,inf,1.763025348716312,0.04656084626913071,0.8255029890272353,0.5588758256700304,inf,0.3019885592990451
4,1.7234569155507617,0.02599206380546093,0.6810314072502984,0.5528793387942844,inf,inf,1.835280058119032,0.03809523954987526,0.6286434173583985,0.5337228563096789,0.24609909057617188,inf
5,1.7768282713161574,0.04259259253740311,0.5923877292209201,0.5032910452948676,0.23624759780036078,0.23769275082482233,1.8691560957166884,0.0476190485060215,0.5562869177924262,0.4522686004638672,0.20609287685818142,0.19618216620551215
6,1.800928504930602,0.04219576716423035,0.5537774695290459,0.4615512079662747,0.20477161407470704,0.20150792598724365,1.8982289870580038,0.0476190485060215,0.5444149017333985,0.40828009711371527,0.1776622348361545,0.15920338100857204
7,1.8226197565595308,0.03908730298280716,0.511378804842631,0.41574778027004666,0.1662190516789754,0.17595750490824383,1.90051189661026,0.03862433880567551,0.5234742058648003,0.4836143493652344,0.1696281009250217,0.15546044243706597
8,1.823619851635562,0.027050264179706573,0.5170875973171658,0.4125865565405952,0.16672196918063695,0.1641032404369778,1.904921121067471,0.005291005130857229,0.4912568834092882,0.4238112555609809,0.14969859653049045,0.16465746561686198
9,1.811182172762023,0.013955026865005493,0.5510001394483778,0.43667352199554443,0.15809156894683837,0.1634928994708591,1.8964897301461963,0.0063492064364254475,0.5078322940402561,0.4506914774576823,0.14446114434136284,0.1485309600830078
10,1.8254208960466916,0.026653438806533813,0.5062780009375678,0.4051515791151259,0.14100747638278538,0.14303819868299697,1.9134844647513496,0.018518518656492233,0.583249282836914,0.35660739474826386,0.13065405951605902,0.13837848239474826
11,1.8401073470711709,0.014087301678955555,0.48630829387240937,0.373259973526001,0.13685311476389567,0.1415620035595364,1.9319501135084365,0.03703703731298447,0.507609134250217,0.38957146538628473,0.15219188266330294,0.11508992513020834
12,1.842189594772127,0.033664021641016006,0.498174794514974,0.3891931374867757,0.1420997142791748,0.1396472586525811,1.910087928507063,0.0476190485060215,0.5073225657145183,0.38093494839138453,0.13781636555989582,0.12294201321072049
13,1.837954914238718,0.035449735820293427,0.4924598111046685,0.38650734424591066,0.1392508930630154,0.12961432139078777,1.9258533742692736,0.024338623508810997,0.5376475440131293,0.36842388576931423,0.1302258809407552,0.12222730848524306
14,1.8368139578236473,0.021164020523428917,0.503652713033888,0.3924682140350342,0.137357759475708,0.12840581470065646,1.9204811480310229,0.027513228356838226,0.45715658399793835,0.36832220289442275,0.1123194800482856,0.12286732991536459
15,1.834836761487855,0.024338623508810997,0.5098463694254557,0.3877755562464396,0.13609474500020344,0.1353321287367079,1.919427642557356,0.0476190485060215,0.5117864820692274,0.3574887169731988,0.12639745076497397,0.0979283226860894
16,1.8390609848830435,0.02638888917863369,0.49009828832414415,0.392498779296875,0.12335347334543864,0.12164933681488037,1.927976553969913,0.04285714402794838,0.520964855617947,0.34670062594943574,0.12348670959472656,0.1134025149875217
17,1.8397364222341113,0.012764549814164639,0.5046689907709757,0.39889114962683786,0.12927473386128743,0.13189127180311416,1.9164383146497939,0.0005291005363687873,0.5094207339816623,0.35453372531467015,0.13837886386447482,0.12667265997992622
18,1.839643668797281,0.01607142947614193,0.5049421124988132,0.3989455355538262,0.12950606875949436,0.12298746109008789,1.9297495153215196,0.006878307089209557,0.4942348480224609,0.3868946923149957,0.12103754679361979,0.10735863579644098
19,1.8391408973269991,0.015277777798473835,0.5036051856146918,0.3996882332695855,0.13120428456200495,0.12620122697618272,1.9220780611038208,0.040740739554166794,0.5405287424723307,0.34595862494574653,0.11894357469346788,0.1139081319173177
20,1.8297142095035976,0.038558200001716614,0.5087511618932088,0.40052971574995255,0.1325167179107666,0.12578972975413005,1.9091526481840346,0.04656084626913071,0.49893858167860244,0.45992957221137154,0.11983311971028646,0.11569832695855034
21,1.838935823738575,0.012169311754405499,0.4918251832326253,0.38931821717156306,0.13065853383806017,0.12290088600582547,1.93406191666921,0.0,0.5657372792561849,0.33747778998480904,0.11376173231336806,0.10072975158691407
