epoch,train_loss,train_accuracy,"train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))",val_loss,val_accuracy,"val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))"
1,0.5017354921701914,0.5026986002922058,0.15595627481878835,0.4248591352398824,0.5336476564407349,0.13501349409807076
2,0.39936756202315504,0.5681670904159546,0.11361016517051394,0.3901426920857172,0.5752250552177429,0.13704103173561466
3,0.36313951198742683,0.5820919871330261,0.11167989610215552,0.3572404312593772,0.5756536722183228,0.14631351568166492
4,0.34601186678798806,0.5734024047851562,0.10692430536856172,0.34765504967439376,0.5387912392616272,0.1358046780512171
5,0.34657054210055144,0.5795552730560303,0.1126212484011478,0.35222949451558944,0.5717960000038147,0.10056102970271434
6,0.3394851810581336,0.5820919871330261,0.10308439933353386,0.3452186061247948,0.5795113444328308,0.1103710462746111
7,0.336469426693653,0.5715673565864563,0.10089637410976976,0.3352180785201128,0.5722246170043945,0.11929194556856618
8,0.32965470683284404,0.5619602799415588,0.10245311679643394,0.3308075129967725,0.5752250552177429,0.11525099775166188
9,0.3241170698203133,0.5783138871192932,0.10431083867793593,0.3472399220607488,0.5795113444328308,0.07440358082067619
10,0.32875934595385925,0.5823078751564026,0.10076123192196801,0.3435471941371114,0.5739391446113586,0.07525757186621138
11,0.3234331914453101,0.5805807709693909,0.09338087337032246,0.3308386126159039,0.5739391446113586,0.08836961544833137
12,0.31995577526736124,0.5834412574768066,0.09001386559729074,0.3290861575904944,0.5739391446113586,0.07998683614638245
13,0.3264012265558365,0.584358811378479,0.09604698699786875,0.3357821260788026,0.5795113444328308,0.09743694830866693
14,0.3167162876153743,0.5829015374183655,0.08657643217949351,0.32778724578934837,0.5735105276107788,0.08885838626657874
15,0.32038377019816694,0.5816062092781067,0.0859909196821241,0.32488824204638944,0.5735105276107788,0.08748510798204293
16,0.31149323508823484,0.5861399173736572,0.08015663597776848,0.3247344201369645,0.5735105276107788,0.09507462758462405
17,0.3082769879992754,0.5857081413269043,0.08565366698425034,0.322314302320027,0.5795113444328308,0.07651634065850267
18,0.3098471095286364,0.585762083530426,0.09431039057683323,0.34022109193594,0.579082727432251,0.07430821570377906
19,0.31223788388299567,0.5848445892333984,0.08141611097507633,0.32565022623550727,0.5795113444328308,0.0698999745174519
20,0.3064451760445838,0.5853843092918396,0.0827981951672777,0.31866714639280636,0.5679382681846619,0.09025454579047787
21,0.3131863073235624,0.5848445892333984,0.08826175851824793,0.319477885637152,0.5795113444328308,0.07929421483891681
22,0.31286818835096086,0.5823078751564026,0.08790974624958912,0.3240922463063752,0.5799400210380554,0.08932422665716375
23,0.30882607675502816,0.5859240293502808,0.08724011057320602,0.32584830945486526,0.5739391446113586,0.07682565635847814
24,0.3024006049914036,0.5847905874252319,0.07910919341312092,0.3188719370021503,0.5739391446113586,0.0856475951602158
25,0.30446629159211547,0.5844667553901672,0.09786507846154262,0.33931447904318507,0.579082727432251,0.08937332410256839
26,0.3162855648102048,0.5875431895256042,0.09475832315224533,0.3346356563021438,0.5735105276107788,0.06908198641341867
27,0.3174735764441599,0.5838730335235596,0.08597278171935008,0.3251587128858941,0.579082727432251,0.10303336381912231
28,0.3063391866359799,0.5861399173736572,0.08438420989927756,0.32325800942812,0.5795113444328308,0.08390602440509981
29,0.30730534735561427,0.5871114134788513,0.08819061421899677,0.3217112660352638,0.5786541104316711,0.10557642260801445
30,0.30669980304444777,0.5836571455001831,0.0823758584570082,0.31810081263527146,0.5692241787910461,0.07969966501865572
31,0.30723409457940454,0.5813363790512085,0.09489584005273108,0.3325487848668522,0.5735105276107788,0.07835752813561449
32,0.3159174891870743,0.5847365856170654,0.09110823124511552,0.3348157738428111,0.5735105276107788,0.0757213258048863
33,0.3090606838351429,0.5863018035888672,0.08257075855867191,0.3264916759612744,0.5735105276107788,0.08232893122052684
34,0.30610226729117396,0.5856001973152161,0.08460795488869526,0.32351486289023773,0.5752250552177429,0.07809573469810116
35,0.30454193130005597,0.5869494676589966,0.08397495757459618,0.3247131766193067,0.5760822892189026,0.07867404037308924
36,0.3030710810232805,0.5863018035888672,0.0823653696665881,0.32240313814231875,0.5795113444328308,0.08130370326412534
37,0.30624219287085314,0.5856541395187378,0.08553436375908104,0.32576379141639195,0.5627946853637695,0.08683268132719021
38,0.3065810380612288,0.5817681550979614,0.09096289368011318,0.3368877649004345,0.5739391446113586,0.08127461706550376
39,0.31104989173577197,0.5805807709693909,0.08253307837155649,0.3276894560309231,0.5713673233985901,0.08418912100560456
40,0.3022583474691187,0.5796632170677185,0.08158339490881825,0.3235434213168896,0.5799400210380554,0.08106336836675995
41,0.3033602725512157,0.5853843092918396,0.08684327011582776,0.33276588013887326,0.5735105276107788,0.09427485680117191
42,0.31593492970390746,0.5830634832382202,0.08991731196632882,0.32858926420596213,0.579082727432251,0.07147673987647862
43,0.30572107447870445,0.5863558053970337,0.08411032252504061,0.3261137545692002,0.5735105276107788,0.08147583019386218
44,0.30636935411651034,0.5850064754486084,0.08685990225231065,0.33056355713136515,0.579082727432251,0.06865386476794492
45,0.30476837255476474,0.5860859155654907,0.08333450709468204,0.3302415680034014,0.5752250552177429,0.07185232552509864
46,0.30663720385957743,0.5803108811378479,0.08225220928128503,0.3258487384775382,0.5795113444328308,0.10268088451866965
47,0.30925552611781465,0.5875431895256042,0.08943495802493177,0.339528160771294,0.5799400210380554,0.06817524525725725
48,0.3138175789245074,0.587597131729126,0.08255087971361905,0.3342184035542073,0.5735105276107788,0.06835004282229155
49,0.3142502474136068,0.5799330472946167,0.08569569586984381,0.3354869110725065,0.5743677616119385,0.07536783959101705
50,0.3073676295799446,0.5833873152732849,0.08288082470487457,0.32718657549511354,0.5687955617904663,0.08401757131502466
51,0.3023220895581803,0.5867335796356201,0.08249081920268574,0.3264535517407495,0.5730818510055542,0.07819936402793069
52,0.3022957506730759,0.5865176916122437,0.0804298891238744,0.32099484901273967,0.5743677616119385,0.08298317726375987
53,0.30216238627927816,0.5867335796356201,0.08763228487455017,0.32860060526087465,0.5735105276107788,0.09989510230647708
54,0.302325531157863,0.5861399173736572,0.0838054463759964,0.3296448011279052,0.5743677616119385,0.07340941093500378
55,0.307809293018178,0.5856541395187378,0.08080140771307583,0.32287066581814994,0.5743677616119385,0.07873957625870566
56,0.30010656386348034,0.589000403881073,0.08491989884334585,0.3253722352027165,0.579082727432251,0.09095935451174245
57,0.29766462836372204,0.5847905874252319,0.07954514041104604,0.3212240842841814,0.5739391446113586,0.0929065011080029
