epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))"
1,1.2542254169782003,0.3015211522579193,0.02599777380625407,inf,inf,0.0,1.2735137184460958,0.2904762029647827,0.08781344095865885,inf,0.8605759938557943,0.0
2,1.2104068358739217,0.3103835880756378,0.14432894123925102,inf,0.7385677364137437,0.0,1.2569591535462274,0.31481480598449707,0.1803246815999349,inf,0.5815476735432943,0.0
3,1.2002201590273116,0.3152116537094116,0.16192782984839546,inf,0.6544651905695598,0.0,1.2466505077150134,0.311640202999115,0.18646939595540366,inf,0.667104975382487,0.0
4,1.1906082959638702,0.31117725372314453,0.15460265742407905,inf,0.619061549504598,0.0,1.2353429092301262,0.3153439164161682,0.14666502210828994,inf,0.6391265021430121,0.0
5,1.1876671683457163,0.3174603283405304,0.13815912405649822,inf,0.6512466536627876,0.0,1.237969692548116,0.31693121790885925,0.18415357801649307,inf,0.574980460272895,0.0
6,1.192037909395165,0.3113756477832794,0.162752366065979,inf,inf,0.0,1.2466927409172057,0.3285714387893677,0.17363726298014323,inf,0.7242455800374349,0.0
7,1.1918614129225413,0.3126984238624573,0.16227309438917373,inf,0.6221694972780015,0.0,1.2381878985299004,0.3285714387893677,0.17114931742350262,inf,0.6077942318386502,0.0
8,1.192488121158547,0.3156084716320038,0.15071527163187662,inf,0.6581720060772366,0.0,1.2398513303862677,0.3164021074771881,0.18378465440538194,inf,0.47124667697482636,0.0
9,1.190349212785562,0.31699734926223755,0.13536787297990588,inf,0.645065246687995,0.0,1.240718388557434,0.3153439164161682,0.18795089721679686,inf,0.5718464745415581,0.0
10,1.1885777102576363,0.3222883641719818,0.16273551252153184,inf,0.6157993422614203,0.0,1.2402541081110636,0.3296296298503876,0.2116642846001519,inf,0.5506493038601346,0.0
11,1.195512093603611,0.3155423402786255,0.1292461845609877,inf,0.6627067936791314,0.0,1.2476126988728842,0.31216931343078613,0.1968700408935547,inf,0.5098965538872613,0.0
12,1.1894195839762687,0.3173941671848297,0.1709808323118422,inf,0.5797870556513468,0.0,1.2388027628262839,0.30423280596733093,0.18737818400065104,inf,0.568887922498915,0.0
13,1.19212613850832,0.3125661313533783,0.14557052983178032,inf,0.6403655052185059,0.0,1.2448764085769652,0.3047619163990021,0.10950122409396701,inf,0.620136472913954,0.0
14,1.1967457445131409,0.316732794046402,0.14739092985788982,inf,0.6268598741955227,0.0,1.248076938258277,0.3095238208770752,0.17677167256673176,inf,0.5044288211398654,0.0
15,1.1923321942488352,0.32202380895614624,0.15791236294640434,inf,0.5651097748014662,0.0,1.2368764426973131,0.30899471044540405,0.22746298048231336,inf,0.5653965844048394,0.0
16,1.1871032027734651,0.3126322627067566,0.15506988366444904,inf,0.6023195531633165,0.0,1.2353737314542135,0.30211639404296875,0.18066635131835937,3.3110013326009113,0.6069563547770183,0.0
17,1.1827723731597264,0.3177248537540436,0.17087912294599744,inf,0.5765410900115967,0.0,1.2307149397002326,0.31005290150642395,0.20178472730848523,inf,0.6271712409125434,0.0
18,1.1832415090666877,0.317592591047287,0.14181932343377007,inf,0.6272628572252061,0.0,1.2371234152052137,0.30687829852104187,0.23078045315212672,inf,0.6450689103868272,0.0
19,1.1861377351813847,0.3145502507686615,0.15850717491573757,inf,0.6187448448605007,0.0,1.23195518122779,0.307407408952713,0.2417461395263672,3.320086457994249,0.540730455186632,0.0
20,1.181681407491366,0.31084656715393066,0.16969878673553468,inf,0.6022764947679308,0.0,1.2278886702325609,0.3296296298503876,0.2249198489718967,inf,0.5354614681667752,0.0
21,1.1811697348952293,0.31812170147895813,0.13096233738793267,inf,0.5976071516672771,0.0,1.228457800547282,0.31111112236976624,0.11584459940592448,inf,0.6853759341769748,0.0
