epoch,train_loss,train_accuracy,"train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))","train_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))",val_loss,val_accuracy,"val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))","val_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))"
1,1.2860939532518387,0.30119046568870544,0.5625694301393297,inf,inf,inf,1.3599607904752096,0.29523810744285583,0.6372918870713976,inf,inf,inf
2,1.310275439090199,0.3163359761238098,0.6850720140669081,inf,inf,inf,1.3935747464497885,0.29523810744285583,0.7234794616699218,inf,inf,inf
3,1.3287193417549132,0.3164021074771881,0.7427844312455919,inf,inf,inf,1.4014629112349617,0.29523810744285583,0.7971510993109809,inf,inf,inf
4,1.3331193190481927,0.3164021074771881,0.7481754753324721,inf,inf,inf,1.408616836865743,0.29523810744285583,0.79548216925727,1.9362948947482639,inf,1.2201329125298395
5,1.338465474711524,0.3164021074771881,0.7514536433749729,inf,inf,inf,1.4146379669507345,0.29523810744285583,0.7723531087239583,2.0492813958062066,1.1643945482042102,inf
6,1.3433484355608623,0.3163359761238098,0.7544037712944879,inf,inf,inf,1.416892749733395,0.29523810744285583,0.7526604970296223,inf,1.2316917843288846,1.1995189242892794
7,1.3428212879432573,0.3164021074771881,0.7613857640160455,inf,inf,inf,1.4142729494306776,0.29523810744285583,0.8086592356363932,1.9652716742621528,1.152069091796875,1.112751685248481
8,1.3417882967326376,0.3164021074771881,0.7484580013487074,inf,inf,inf,1.4158548408084446,0.29523810744285583,0.7933500077989366,2.0346893310546874,inf,inf
9,1.341550310452779,0.3164021074771881,0.7711320188310411,inf,inf,inf,1.4128173536724515,0.29523810744285583,0.7802430470784505,1.952934773763021,inf,inf
10,1.3415845601095093,0.3164021074771881,0.7796584924062093,inf,inf,inf,1.4135932564735412,0.29523810744285583,0.7805405510796442,inf,1.2540518442789714,1.1552629682752822
11,1.3430536806583404,0.3164021074771881,0.7436549875471327,inf,inf,inf,1.4157655861642626,0.29523810744285583,0.8185514662000868,1.8813135782877604,1.0979014926486546,1.1159176720513238
12,1.3431240522199206,0.3164021074771881,0.7856132745742798,inf,inf,inf,1.4145994027455648,0.29523810744285583,0.8451800876193576,2.0254906972249347,1.1297197977701823,1.1380232493082683
13,1.3405740802486739,0.3164021074771881,0.7705926948123508,inf,inf,inf,1.4123910837703282,0.29523810744285583,0.7407993316650391,inf,inf,1.1731786092122396
14,1.341955959631337,0.3164682686328888,0.7503103494644165,inf,inf,inf,1.4132421122656929,0.29523810744285583,0.838100348578559,2.0242664761013454,1.1368761698404948,1.0750293307834202
15,1.3385624239842098,0.3164021074771881,0.7761375665664673,2.0624814536836413,inf,inf,1.4123548004362318,0.29523810744285583,0.8426538255479601,1.8897042168511284,inf,1.0970729404025608
16,1.3409751668572425,0.3164021074771881,0.7780085775587294,inf,inf,inf,1.413398297627767,0.29523810744285583,0.7784080505371094,2.075276565551758,1.0936278025309245,1.137083011203342
17,1.3406413808465003,0.3164021074771881,0.7774050845040216,inf,inf,1.182825830247667,1.4129721071985033,0.29523810744285583,0.7967654334174262,2.0723102569580076,inf,1.1951075236002604
18,1.3420008485515913,0.3164021074771881,0.766954247156779,inf,inf,1.200812538464864,1.4143006139331393,0.29523810744285583,0.7784455617268881,1.8734385596381293,1.2231547461615668,inf
19,1.341946639948421,0.3164021074771881,0.7859882275263469,inf,inf,inf,1.4125584443410237,0.29523810744285583,0.8383569929334852,2.03107295566135,1.2077729966905382,1.0554388258192273
20,1.3403612929913733,0.3164021074771881,0.7760549227396647,inf,inf,inf,1.4142708632681105,0.29523810744285583,0.7878985087076823,inf,1.1164667341444228,1.1264957851833768
21,1.3412641791833773,0.3164021074771881,0.7893894672393799,inf,inf,1.0995706531736587,1.412785259882609,0.29523810744285583,0.7852216932508681,1.9492540147569444,1.1329433865017362,1.1315616183810764
22,1.3416411537263129,0.3164021074771881,0.7729039192199707,inf,inf,inf,1.4133213745223152,0.29523810744285583,0.7467147827148437,1.9880535973442925,1.1179733700222438,1.0641109466552734
23,1.342876830862628,0.3164021074771881,0.7644707653257582,inf,inf,1.1370311048295763,1.4152508656183878,0.29523810744285583,0.8038618299696181,1.9050464630126953,1.0805335998535157,1.1899197896321614
24,1.342989689608415,0.3164021074771881,0.7904107517666287,inf,inf,inf,1.414785216914283,0.29523810744285583,0.8368203481038411,inf,1.0257286495632596,1.1096983167860244
25,1.343979772263103,0.3164021074771881,0.7894805245929294,inf,1.0983524454964533,inf,1.4160362786716885,0.29523810744285583,0.8272332509358724,1.8442357381184895,1.1553751203748914,1.0794498443603515
26,1.3437088092168172,0.3164021074771881,0.8027915345297919,inf,inf,1.1570879141489665,1.4173875278896755,0.29523810744285583,0.7955884721544054,1.8525813208685982,inf,1.118257819281684
27,1.344039006034533,0.3164021074771881,0.776576656765408,inf,1.1363238281673855,inf,1.4168261448542276,0.29523810744285583,0.7681498633490669,1.905256864759657,1.1641496022542317,1.0736409081353082
28,1.3451917005909815,0.3164021074771881,0.7816476504007975,inf,inf,inf,1.4170878344111972,0.29523810744285583,0.8089595370822482,1.9929937150743273,1.1219571007622613,1.113442103068034
29,1.3438780806130832,0.3164021074771881,0.794509932729933,inf,1.1136260800891453,inf,1.4133209811316596,0.29523810744285583,0.8343959384494357,1.9412733713785808,1.0577389611138237,1.043512725830078
30,1.341628485918045,0.3164021074771881,0.7780531485875447,inf,inf,1.1382254812452528,1.413716271188524,0.29523810744285583,0.8575448777940539,1.9452387068006727,inf,1.1303165859646267
31,1.3390883189108638,0.3164021074771881,0.7910441716512044,inf,1.135444778866238,inf,1.4100463456577725,0.29523810744285583,0.8414573669433594,2.027618238661024,1.1860442267523872,1.1462369283040366
32,1.3411410139666664,0.3164021074771881,0.76088850763109,inf,1.144864069090949,inf,1.4140364872084723,0.29523810744285583,0.829028828938802,inf,1.0381011539035374,1.0538439432779947
33,1.3424319876564874,0.3164682686328888,0.7900565120908949,inf,1.1441827747556899,1.1632616837819418,1.414791136317783,0.29523810744285583,0.811953608194987,inf,1.0657690260145398,1.0210870107014973
