epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=22, count=2))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=10, count=2))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=22, count=2))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=10, count=2))"
1,1.5232005903422716,0.8170275092124939,inf,inf,1.2884565378716752,0.8508449196815491,0.03773239614198487,0.09970217548525799
2,1.0596843103304,0.8536765575408936,inf,0.09904468117740042,0.9947882333298085,0.8558030128479004,inf,0.06081719461240267
3,1.019445082243628,0.8557407259941101,inf,inf,0.9927553967285243,0.8555137515068054,0.09017714316654692,0.06636453292163402
4,0.9932286341253488,0.8564552664756775,inf,inf,0.9703992702506793,0.8575796484947205,0.07010543983941976,0.060084986565270934
5,0.9788532705683817,0.8568373322486877,inf,0.09111665536886161,1.1741450381685041,0.853985071182251,0.04265861215737153,0.048531188928413065
6,0.9804795801529009,0.857020914554596,inf,0.09105499491421337,1.1640199981067298,0.8579928278923035,0.06373157667182702,0.06514642639354454
7,0.9796306918086882,0.8569465279579163,inf,inf,1.1901401841109733,0.8555964231491089,0.05102645935955598,0.06243950928006391
8,0.9814477631191849,0.8574278354644775,inf,0.09104598282097606,0.9782372159660861,0.8578688502311707,0.05136112132582478,0.044465652548396524
9,0.9724418070018133,0.8571747541427612,inf,0.08983411033096346,1.1772355448031862,0.8542742729187012,0.040397499838183006,0.04515575998303036
10,0.9726915557984414,0.8564751148223877,inf,0.08956006134525527,1.243883449210439,0.8529934287071228,0.06791919824020567,0.05840938069014881
11,0.9696413437924147,0.8575369715690613,inf,0.09037029191557451,1.195779212958254,0.853282630443573,inf,0.05130726078775014
12,0.960678669430517,0.8573930859565735,inf,inf,1.1792879835554346,0.8583646416664124,0.08370726470833925,0.05276231348818146
13,0.965235398972052,0.8575568199157715,inf,0.08846241519142933,1.2074318891306948,0.8512167930603027,0.054057801518658834,0.04901445529254467
14,0.9581815435039874,0.8570159673690796,0.07658985027510809,0.08828111657466739,1.1942323498712357,0.8568772673606873,inf,0.08962098851875862
15,0.9620212572733142,0.8568373322486877,inf,0.08902740621485798,1.2030422327900903,0.8481593132019043,inf,0.05447300372989959
16,0.9715242702128065,0.857730507850647,inf,inf,1.2255387027490097,0.8547700643539429,inf,0.05908267232881945
17,0.9594345498873774,0.8570060729980469,inf,inf,1.2388477900748256,0.8547287583351135,inf,0.037557779730681855
18,0.9594748256904759,0.8573781847953796,inf,inf,1.1949624467094195,0.8574143648147583,0.1109976462880703,0.052820513527745507
19,0.9669890396371575,0.8569961190223694,inf,0.08550705381625019,1.1844309134155673,0.8534892201423645,inf,0.07253528734216869
20,0.9570243211543384,0.8570308685302734,inf,0.08611943074736315,1.222390583663198,0.8578688502311707,0.036840744961704586,0.06508306220350929
21,0.9647994889755368,0.8571350574493408,0.08214404493905612,0.08953407665545003,1.264766884329686,0.8506383299827576,0.05848940463138962,0.054546684482101676
22,0.9660223262793012,0.8574129343032837,inf,inf,1.192126355546605,0.8551419377326965,0.06280082879123138,0.07059021838047307
23,0.9581559686399564,0.8572293519973755,inf,inf,1.2254010072693595,0.8547700643539429,inf,0.06115120112997162
24,0.9589317946061653,0.8576957583427429,inf,0.08859611486229667,1.22377639630162,0.853695809841156,0.08131602259767076,0.06570604590284804
25,0.9720446341267162,0.8575072288513184,inf,0.09101476747249246,1.216986603890305,0.856959879398346,inf,0.05250539530720087
26,0.9621607047041774,0.8576560616493225,inf,0.0874015472416563,1.2388363769779789,0.8495640754699707,0.0614618334179216,0.06108732205295401
27,0.9675643127081288,0.8574476838111877,inf,0.08710573595614221,1.1996512086126987,0.8536131978034973,0.07608246560412474,0.040595575079245966
28,0.9494181562128247,0.8574129343032837,inf,inf,1.2786460319065722,0.8547700643539429,0.07186234989069111,0.0343322853078664
29,0.9583549291388471,0.8570259213447571,inf,0.08882091741758252,1.2217887620030847,0.854108989238739,0.0562646714859786,0.0465711405807521
30,0.9545993393379508,0.8575568199157715,inf,0.08830032450356723,1.2267836764317033,0.8499772548675537,inf,0.056698971875454654
31,0.9606498202230118,0.857482373714447,inf,0.08951019069187405,1.2482788724298868,0.8541502952575684,inf,0.06000159369664605
32,0.9587968307064101,0.8575568199157715,inf,inf,1.2280263178914042,0.854108989238739,inf,0.04154819867404491
33,0.9553845002941733,0.8574923276901245,inf,0.08622180061769495,1.2626614056385177,0.854108989238739,0.09244635756837492,0.043172271931717875
34,0.9519885053499121,0.8574079871177673,inf,inf,1.2180709552006206,0.852745532989502,0.08038338558378365,0.06890069082354042
