epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))"
1,0.8550284727015228,0.5476031303405762,inf,0.3743494217083833,0.6600087959075642,0.6756272315979004,inf,0.22512424549209736
2,0.6850150767191548,0.6711259484291077,inf,0.3491500805471545,0.5767833924739161,0.6756272315979004,inf,0.19636562160242385
3,0.6006453297335967,0.6731326580047607,inf,0.30296208479694114,0.519996439185098,0.6756272315979004,inf,0.296409179117078
4,0.570067761657394,0.6731326580047607,inf,0.3716125800230793,0.48871463063721343,0.6756272315979004,inf,0.29578855550177746
5,0.4927254191417003,0.6749163866043091,inf,0.2980356492171778,0.4641712363635268,0.6827957034111023,inf,0.27939140462429723
6,0.498262657879669,0.6753623485565186,inf,0.3540177345275879,0.4489784474684813,0.6881720423698425,inf,0.28615330758495866
7,0.5162419938769575,0.6827201843261719,inf,0.4109135495725079,0.45395526136750375,0.6792114973068237,inf,0.4025690711547281
8,0.4873969886869749,0.6784838438034058,inf,0.427656034442866,0.4321136289389334,0.6899641752243042,inf,0.31553997503262815
9,0.4794535518005908,0.6867335438728333,inf,0.38369399086337225,0.4246678057117997,0.698924720287323,inf,0.30830969320279417
10,0.4626945273550314,0.6876254081726074,inf,0.3921678130314729,0.4226923501380136,0.6917562484741211,inf,0.3393815388189298
11,0.46768936617561035,0.6889632344245911,inf,0.42403788432896694,0.4177839212885527,0.6863799095153809,inf,0.31708122859491367
12,0.4386427269325914,0.6876254081726074,inf,0.34275921594316716,0.4137965408719589,0.6917562484741211,inf,0.36855024712108003
13,0.46576241194923346,0.6856187582015991,inf,0.48595927697475827,0.4106266013929777,0.6863799095153809,inf,0.3086624323764694
14,0.43788810490378155,0.692307710647583,inf,0.38454005985616524,0.406398276302302,0.6702508926391602,inf,0.3188756648625169
15,0.4449213412546805,0.6845039129257202,inf,0.43553303780956804,0.4025456649120723,0.6684587597846985,inf,0.3091982814753167
16,0.44529409678739923,0.6900780200958252,inf,0.4430369648420922,0.40482829093376055,0.6863799095153809,inf,0.34311123429057755
17,0.42615804542726443,0.684726893901825,inf,0.4253599103366103,0.3944994683299109,0.6684587597846985,inf,0.3140488740439727
18,0.43371502227350095,0.6876254081726074,inf,0.4412871994704844,0.3974517732858658,0.6684587597846985,inf,0.3559640545711339
19,0.42600523993790707,0.6876254081726074,inf,inf,0.39818962322217283,0.6863799095153809,inf,0.37690607409610927
20,0.41931026145189165,0.6860646605491638,inf,inf,0.39058659149107533,0.6863799095153809,1.5093509103650244,0.3646888732910156
21,0.42281597241689667,0.689186155796051,inf,0.41140235779441403,0.39037216879497066,0.6702508926391602,inf,0.33997213506252966
22,0.4219927214190503,0.6874024271965027,inf,inf,0.39038325693005715,0.6684587597846985,inf,0.3421307189442287
23,0.43651297564888114,0.6793757081031799,inf,0.4696590460349466,0.39233758794927154,0.6684587597846985,inf,0.3436048186828043
24,0.41945269400967616,0.6840579509735107,inf,0.448955578781734,0.38714765959253933,0.6863799095153809,inf,0.37335450626979366
25,0.4314739288953699,0.6822742223739624,inf,inf,0.392121171561357,0.6684587597846985,inf,0.35544851784394166
