epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=9, count=1))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=9, b=14))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=8, b=9))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=9))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=9, count=1))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=9, b=14))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=8, b=9))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=9))"
1,3.1498417730825707,0.7013306021690369,inf,1.8863587295799924,inf,inf,2.057321993274186,0.8370221853256226,inf,2.0100765759585104,1.8598098788510256,inf
2,1.9809546020642834,0.827763020992279,inf,1.704424179767917,inf,inf,1.7940120787145661,0.8583346605300903,inf,1.6177641353418863,inf,inf
3,1.8214148338657299,0.842866837978363,inf,1.4776427058707804,inf,inf,1.6918368969590118,0.8651893138885498,inf,1.605262280183047,inf,inf
4,1.7391674716218148,0.8529326915740967,inf,1.3464313302943498,inf,inf,1.6505247180120906,0.8642603158950806,inf,1.3656199217178926,inf,inf
5,1.6725767277531576,0.8596053123474121,inf,1.2477866780407938,inf,inf,1.572870493494598,0.870961606502533,inf,1.2052853130991603,inf,inf
6,1.5831062610729636,0.865067720413208,inf,1.1790804492621199,inf,inf,1.489897954026884,0.8743799328804016,inf,1.142863783412659,inf,inf
7,1.5305117042419882,0.8682762384414673,inf,1.087219710704417,inf,inf,1.4511482824668882,0.8755884766578674,inf,1.0887619726076112,inf,inf
8,1.500587446488696,0.8702914714813232,inf,1.0536990713465733,inf,inf,1.4213974414795916,0.8770135641098022,inf,1.0426687595706396,inf,inf
9,1.4760187627280357,0.8707530498504639,inf,1.0115360685266284,inf,inf,1.4026769952534857,0.8765986561775208,inf,1.0873180720298348,inf,inf
10,1.4471095508467322,0.871918261051178,inf,1.0042337282071991,inf,inf,1.397002619007643,0.8768782615661621,inf,0.971892987723411,1.1302207306510808,inf
11,1.434449007846938,0.8731634020805359,inf,0.9760851483806189,inf,inf,1.387494867430107,0.8782041072845459,inf,0.9337356450359307,inf,inf
12,1.435010594748931,0.8735259175300598,inf,0.950340705669127,inf,inf,1.3763610513489692,0.8769413828849792,inf,0.936878530868186,inf,inf
13,1.4210232530050162,0.8732298016548157,inf,0.947503327419547,inf,inf,1.364419043013073,0.8788895606994629,inf,0.9511974779271609,inf,inf
14,1.398650325316582,0.8734561204910278,inf,0.9507847387177135,inf,inf,1.3616246647079233,0.879024863243103,inf,0.9069553275706906,inf,inf
15,1.3996972730739512,0.8745256066322327,inf,0.9471863260095128,inf,inf,1.3410000506968205,0.8783032894134521,inf,0.9119393808717284,inf,inf
16,1.3906333146468672,0.8742554187774658,inf,0.9348273228098242,inf,inf,1.3363340013089784,0.878898561000824,inf,0.8884065685890962,inf,inf
17,1.3873183612055604,0.874022364616394,inf,0.9380562829454246,inf,inf,1.3438098320655445,0.8842740654945374,inf,inf,1.1406908105895952,inf
18,1.367894003164394,0.8738974332809448,inf,0.9184204613753626,inf,inf,1.340020148841858,0.8788444399833679,inf,0.899615464661118,1.1624932423633312,inf
19,1.3727948594644739,0.8726624250411987,inf,0.919040665890945,inf,inf,1.3293061813573972,0.8771398067474365,inf,0.9587532007811941,1.1384769427591386,inf
20,1.3607177916942206,0.8727749586105347,inf,0.9242434942626684,inf,inf,1.3260803314784368,0.8775366544723511,inf,0.9192042693768974,1.0556612256888105,inf
21,1.3498228565786279,0.8720037937164307,inf,0.9148207312799747,inf,inf,1.3249665567780973,0.8788354396820068,inf,0.9125728156569982,1.0507977439250866,inf
22,1.3535602295238336,0.8739007711410522,inf,0.8986272482311642,inf,inf,1.3266945174772007,0.8789797425270081,inf,0.9633501500774001,1.0947227659615542,inf
23,1.3462274773635212,0.8734076619148254,inf,0.9061054502815247,inf,inf,1.316359703266109,0.8793044090270996,inf,0.8920433020221834,1.0118059795901537,inf
