epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=22, count=2))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=10, count=2))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=22, count=2))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=10, count=2))"
1,1.567900130777797,0.805252730846405,0.009623962320660968,0.010450970617936843,1.2675651544587432,0.8413006663322449,0.0037406531173628335,0.00615209533322242
2,1.0674585972270112,0.8465561270713806,0.007804307075246229,0.009398581432046164,1.019422315803644,0.8486964702606201,0.014963314164878961,0.008321178182074089
3,1.0415731326145634,0.8477420806884766,0.009649835784732346,0.009337605146611732,1.1944922954043637,0.8483245968818665,0.004423553753384912,0.006069820380575183
4,1.011118416638612,0.8487741351127625,0.008632359181308766,0.009452000605126293,1.1472046351286573,0.8471677303314209,0.0033928185245986706,0.002977835707024929
5,0.9944407031913405,0.8492058515548706,0.011594182707098886,0.009191833795496067,1.1940826735120125,0.8472916483879089,0.002074317333046568,0.004102354341128079
6,0.9940554208473213,0.8492256999015808,0.008794024374752737,0.009616015304605107,0.9889805603546892,0.8505144119262695,0.0038642430953137537,0.005039042446933093
7,0.9946140886686676,0.8496077656745911,0.008885058873880443,0.00945464993100135,0.9957827728987274,0.8493161797523499,0.005969263094592782,0.004278559838571856
8,0.9980930407346276,0.849210798740387,0.008193027641686683,0.0096566926848481,0.9945786294502215,0.8492748737335205,0.00411309946979853,0.0031825631907516504
9,0.9877428808322496,0.8497467041015625,0.010495464719801895,0.00953951683603156,1.1656674361894481,0.8486137986183167,0.006062596176192797,0.003588198704711448
10,0.9892456630363793,0.8499451875686646,0.011191363991053336,0.009809097598955855,1.1521889393525089,0.8437796831130981,0.006363110853982093,0.004349752779929868
11,0.9848425097296092,0.8502627611160278,0.008759848303765508,0.00966187645437054,1.0236800447862133,0.8489856719970703,0.0077939757062138034,0.005033311394560317
12,0.975371994130954,0.8506944179534912,0.011646901174503586,0.010031415307326976,1.093796665279884,0.8496880531311035,0.00700136012253818,0.004149525295089177
13,0.9903356943422306,0.8509176969528198,0.009519974989537803,0.009784275497051086,1.0287232363944783,0.8492335677146912,0.0069654478686774724,0.0022270996218423894
