epoch,train_loss,train_accuracy,"train_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))",val_loss,val_accuracy,"val_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))"
1,1.2121274241142803,0.3075396716594696,0.0,0.9750406821568807,0.006103886498345269,0.000815113385518392,1.190122589800093,0.3142857253551483,0.0,0.724091551038954,0.004607815212673611,7.489522298177083e-05
2,1.128461783627669,0.31402117013931274,0.0,0.7666367795732286,0.0036509566836886937,0.00015818277994791667,1.1761171791288587,0.3142857253551483,0.0,0.822809812757704,0.006267674763997396,5.963643391927083e-05
3,1.1157035703460376,0.31402117013931274,0.0,0.7778902610143026,0.002107614941067166,3.7977430555555556e-05,1.1489453766081068,0.3142857253551483,0.0,0.7808503044976128,0.0029836866590711806,7.993910047743056e-05
4,1.0868882200784153,0.31402117013931274,0.0,0.7615945736567179,0.001925092273288303,2.3325284322102863e-05,1.135969438817766,0.3142857253551483,0.0,0.8394983927408854,0.0008326636420355903,1.4326307508680555e-05
5,1.0978839675585428,0.31402117013931274,0.0,0.7879873938030667,0.0017144150204128688,2.89969974093967e-05,1.1499231762356228,0.3142857253551483,0.0,0.761072752210829,0.0005273607042100694,0.0
6,1.1077389089597596,0.31402117013931274,0.0,0.7621876239776612,0.0017854425642225477,1.2604395548502604e-05,1.1577200293540955,0.3142857253551483,0.0,0.9119012196858723,0.0011162228054470485,8.477105034722223e-08
7,1.1055033268200027,0.31402117013931274,0.0,0.7607495784759521,0.0026821904712253145,1.2122260199652777e-05,1.1455707338121202,0.3142857253551483,0.0,0.8893349117702908,0.0028675927056206595,0.0
8,1.1055464981330765,0.31402117013931274,0.0,0.7874606847763062,0.0017716725667317708,1.060697767469618e-05,1.153607310189141,0.3142857253551483,0.0,0.8037424723307292,0.0023939768473307294,5.933973524305556e-07
9,1.1090775658686955,0.31402117013931274,0.0,0.7370657205581665,0.0026871601740519205,9.036064147949218e-06,1.155332292450799,0.3142857253551483,0.0,0.7687335544162326,0.000494172837999132,1.712375217013889e-05
10,1.1032012679510645,0.31402117013931274,0.0,0.7462179554833306,0.0017726474338107638,1.0085105895996093e-05,1.1518114553557501,0.3142857253551483,0.0,0.8986585405137804,0.0012946658664279515,3.390842013888889e-07
11,1.10117985341284,0.31402117013931274,0.0,0.7836787992053562,0.0013811959160698784,1.6053517659505207e-05,1.1556158476405674,0.3142857253551483,0.0,0.767496829562717,7.777743869357639e-05,0.0
12,1.1078298439582188,0.31402117013931274,0.0,0.7711964686711629,0.0021878480911254883,8.206897311740452e-06,1.153657403257158,0.3142857253551483,0.0,0.724617428249783,0.002800877888997396,0.0
13,1.1117047124438815,0.31402117013931274,0.0,0.7490610361099244,0.001565906736585829,4.606776767306858e-06,1.1555060267448425,0.3142857253551483,0.0,0.7375702328152127,0.007195112440321181,0.0
