epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))"
1,1.0228190001514224,0.32116401195526123,0.0004366808467441135,0.9174162891176012,0.33068782091140747,0.0
2,0.8648380830883979,0.35449734330177307,4.4884946611192493e-05,0.8874011741744148,0.35079365968704224,0.0
3,0.844323579635885,0.35178571939468384,5.1405694749620226e-05,0.8703894337018331,0.34391534328460693,0.0
4,0.8294588471452395,0.34781745076179504,9.378857082790799e-05,0.8547335531976488,0.33492064476013184,0.0003148184882269965
5,0.8131205284761058,0.3453042209148407,1.6723738776312934e-05,0.8328345278898875,0.36455026268959045,0.0
6,0.7937130882508225,0.34775131940841675,6.391869650946723e-05,0.8099181214968364,0.3492063581943512,2.9224819607204862e-05
7,0.7750642313725419,0.35839948058128357,4.689560996161567e-05,0.7936976161268022,0.3492063581943512,0.0
8,0.7613854164878527,0.37447088956832886,0.0005336403846740723,0.779209041595459,0.386772483587265,0.0
9,0.7526221112244659,0.3759920597076416,0.00015065802468193902,0.769908896419737,0.3857142925262451,0.0
10,0.7447022193835842,0.37665343284606934,0.00011857350667317708,0.762999474340015,0.391005277633667,0.0
11,0.7386446615888013,0.38465607166290283,0.00030206176969740125,0.7575884646839566,0.385185182094574,1.903110080295139e-05
12,0.7366977264897691,0.3709656000137329,0.0005433784590827094,0.751934833990203,0.3968254029750824,0.0
13,0.7321507330156035,0.38320106267929077,0.0021618551678127713,0.750617946849929,0.37142857909202576,5.213419596354167e-06
14,0.7288636113620467,0.38035714626312256,0.00035746759838528103,0.7443393935759862,0.39523810148239136,3.770192464192708e-05
15,0.7239673502329323,0.3856481611728668,0.00118635098139445,0.741985696223047,0.3841269910335541,3.7935045030381945e-06
16,0.7223041393690639,0.3799603283405304,0.00020378828048706055,0.7401735150151783,0.39523810148239136,0.0
17,0.720745002809498,0.3866402208805084,0.0009302324718899197,0.7439326809512244,0.38941797614097595,0.0
18,0.7245244917563266,0.37645503878593445,0.0032322088877360026,0.735363687078158,0.4095238149166107,0.0
19,0.7130112883945307,0.3937830626964569,0.001255381769604153,0.7329866392744913,0.38624337315559387,3.4851498074001736e-05
20,0.7135953304461307,0.3859788477420807,0.001577203803592258,0.7290864638156361,0.40052908658981323,4.238552517361111e-08
21,0.7187175830619202,0.3799603283405304,0.0036578767829471164,0.7379924123485883,0.3968254029750824,0.0010362201266818577
22,0.7526712986951073,0.3681878447532654,0.00597938961452908,0.7345356843537755,0.385185182094574,0.004316923353407118
23,0.7153271664761834,0.3869709074497223,0.0031161255306667753,0.7310127688778771,0.3989417850971222,0.0014859729342990451
24,0.7507698000305228,0.37943121790885925,0.0010937028461032443,0.7322446561521954,0.3798941671848297,0.0
25,0.7093262779836853,0.3888227641582489,0.0023417313893636066,0.7318485110998154,0.391005277633667,0.0
26,0.7186264415375061,0.3861111104488373,0.002969054381052653,0.7314335839615927,0.3899470865726471,0.0
