epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))"
1,0.8665672257984298,0.48116493225097656,inf,0.43425517781476336,0.6619878746569157,0.46195653080940247,inf,0.348356831073761
2,0.6162486518043065,0.5514403581619263,inf,0.41401866789727054,0.5615987092256546,0.6630434989929199,inf,0.34445830434560776
3,0.5666624467105091,0.6606521010398865,inf,0.42584599273253154,0.4895864434540272,0.6630434989929199,inf,0.3165502488613129
4,0.5017924495680656,0.6635010838508606,inf,0.39713590379438235,0.4300264801830053,0.6630434989929199,inf,0.3738545835018158
5,0.48375545253805735,0.6641342043876648,inf,0.5339450538623352,0.3963518965989351,0.66576087474823,inf,0.45510123372077943
6,0.4317051762956167,0.6679328680038452,inf,0.5397315598129296,0.37592355366796254,0.66576087474823,inf,0.4701040804386139
7,0.4426873388835309,0.672997772693634,inf,0.6189904517948907,0.35877514369785785,0.66576087474823,inf,0.48097782731056216
8,0.3991389152784243,0.6748971343040466,inf,inf,0.34574926234781744,0.66576087474823,inf,0.44044100642204287
9,0.40724396094238147,0.6717315316200256,inf,0.6597845364658398,0.33923196215182544,0.66576087474823,inf,0.5220839321613312
10,0.3906238905725167,0.6745805740356445,inf,0.656137177055228,0.3301151985302567,0.66847825050354,inf,0.46961464285850524
11,0.3547237369924923,0.6710984706878662,inf,0.5393952043863615,0.32480157632380724,0.6711956262588501,inf,0.4770020365715027
12,0.3738757455939436,0.6834441423416138,inf,inf,0.31958716101944445,0.66576087474823,inf,0.5119384884834289
13,0.3795723960198776,0.6805950999259949,inf,inf,0.31784810721874235,0.66576087474823,inf,0.5804607391357421
14,0.36508161353758084,0.6739474534988403,inf,inf,0.3127583419904113,0.66847825050354,inf,0.6046644926071167
15,0.3844423733779495,0.6862931251525879,inf,inf,0.31179257202893496,0.66847825050354,inf,inf
16,0.36919052664091734,0.6777461171150208,inf,inf,0.3075027814134955,0.6739130616188049,inf,0.5631935060024261
17,0.350812432314044,0.6837607026100159,inf,inf,0.3054176933132112,0.6847826242446899,inf,0.5452365756034852
18,0.35215108430190317,0.6834441423416138,inf,inf,0.3038342657499015,0.6847826242446899,inf,0.5824250221252442
19,0.3542568236473198,0.6834441423416138,inf,inf,0.30317827304825185,0.6820651888847351,inf,0.6163237452507019
20,0.3476970713940128,0.7046533823013306,inf,inf,0.3035173331387341,0.66576087474823,inf,0.6270275592803956
21,0.34929843978046815,0.6799620389938354,inf,inf,0.3028369633480906,0.66576087474823,inf,0.6731375932693482
22,0.33198285492227153,0.68660968542099,inf,inf,0.3024560665711761,0.66576087474823,inf,0.6782761693000794
23,0.323894880514435,0.6973726153373718,inf,inf,0.3028290026821196,0.741847813129425,inf,0.5948065996170044
24,0.329800843913544,0.6859765648841858,inf,inf,0.3005013127811253,0.6820651888847351,inf,0.6281990051269531
25,0.3518620970398885,0.6938904523849487,inf,inf,0.3019332124851644,0.6603260636329651,inf,0.669826203584671
26,0.3339449508397516,0.680911660194397,inf,inf,0.3000663533806801,0.6847826242446899,inf,inf
27,0.32783002673696243,0.6986387968063354,inf,inf,0.301054046722129,0.679347813129425,inf,inf
28,0.3344686662955515,0.7021209001541138,inf,inf,0.30113229546695947,0.6603260636329651,inf,inf
29,0.33485538062062725,0.7030705809593201,inf,inf,0.30060257883742453,0.7255434989929199,inf,inf
30,0.3273954333304522,0.6983222365379333,inf,inf,0.30217517535202204,0.6847826242446899,inf,0.6867476582527161
31,0.3322646286739574,0.6872428059577942,inf,inf,0.3027678309939802,0.72826087474823,inf,0.6763182878494263
32,0.3279579600229185,0.7052865028381348,inf,inf,0.3029856854118407,0.6902173757553101,inf,inf
33,0.32044448282180266,0.6888256072998047,inf,inf,0.30144812921062114,0.6820651888847351,inf,inf
34,0.3137659182519232,0.700538158416748,inf,inf,0.30586678856052457,0.6875,inf,inf
