epoch,train_loss,train_accuracy,"train_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=7))",val_loss,val_accuracy,"val_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=7))"
1,0.5604588019655014,0.4889536499977112,inf,0.4873889693726412,0.5675675868988037,0.15187872952295217
2,0.4151692571018656,0.5590862035751343,0.10991269711657409,0.38292228493854585,0.5305019021034241,0.15608676049390785
3,0.3505688064060239,0.5429162383079529,0.11139176202856976,0.3598397872919737,0.5629343390464783,0.08537966905817812
4,0.3328674076100542,0.5586161613464355,0.09723757847736772,0.33764439156120607,0.5590733885765076,0.08651218481874659
5,0.3288030383743052,0.5644448399543762,0.09632757375406664,0.3223138349470098,0.5598455667495728,0.12331511134560774
6,0.31309605276125463,0.5671712160110474,0.09664550703866416,0.32272650833479183,0.5258687138557434,0.12528759458287042
7,0.31632960990638187,0.5644448399543762,0.10129885184150132,0.3286769391539005,0.5652509927749634,0.10719430591413366
8,0.3215548049783781,0.568017303943634,0.09641586372174918,0.3692168744831433,0.42934364080429077,0.07850327858558068
9,0.3128678460397802,0.5677352547645569,0.09754164491312087,0.3337480883238468,0.5637065768241882,0.15406038017890714
10,0.31245255370551855,0.5726238489151001,0.09708454677622287,0.3152777162109038,0.5637065768241882,0.12907315844948958
11,0.30927320230301164,0.5644448399543762,0.09660818482795307,0.309992536321765,0.5598455667495728,0.07679904906855904
12,0.2991661732246312,0.5682052969932556,0.08316920898078788,0.31371000877615474,0.5637065768241882,0.07176288226355425
13,0.29829907263756267,0.5678292512893677,0.08255639488463214,0.30626756084992396,0.5590733885765076,0.08408734624685063
14,0.29546583873751603,0.5657610297203064,0.08907385518505069,0.30666700171670586,0.5621621608734131,0.08328449484790384
15,0.29273910257011637,0.5675472617149353,0.08528636921765952,0.30666409463759303,0.5629343390464783,0.0788643466316254
16,0.2914477414716387,0.5662310719490051,0.08256409009136975,0.30184384170912115,0.5629343390464783,0.06925298231333374
17,0.2876529224725799,0.5715897083282471,0.07826232632925344,0.2947317838045742,0.5675675868988037,0.07501368097930784
18,0.2853588709727549,0.5710256695747375,0.07943155285803445,0.29492179435387494,0.5637065768241882,0.0866728697711157
19,0.28861516088160666,0.5677352547645569,0.08748682323914808,0.30349583777519856,0.5660231709480286,0.07402190795311561
20,0.28685752420283145,0.5724358558654785,0.08002937912820444,0.2980506152241219,0.5667953491210938,0.06785260858806039
21,0.28771887296834053,0.575444221496582,0.0836517590844836,0.29286903092498145,0.5675675868988037,0.08731098310184865
22,0.2890002004191253,0.5735639929771423,0.08098962887955868,0.29787926107780777,0.5683397650718689,0.07550682230034338
23,0.2842169086431721,0.5752561688423157,0.08125451493431994,0.30021690621313185,0.5706563591957092,0.08409068989850249
24,0.284459233588601,0.5749741196632385,0.08005277958629828,0.2958962408413824,0.5660231709480286,0.07207822124002433
25,0.28637767250541807,0.5721538066864014,0.08415188990661421,0.3007913818761993,0.5652509927749634,0.07013794574660329
