epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_ChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))"
1,1.316741741862562,0.20158730447292328,0.04605714744991726,1.3889511664708456,0.0,inf,1.4215806033876208,0.1031746044754982,0.16994650099012587,0.5452691396077474,0.0,inf
2,1.3866227552294732,0.20886243879795074,0.34758995374043783,0.2997918314403958,0.0,inf,1.4590997960832384,0.3047619163990021,0.4709364997016059,0.1958201938205295,0.0,0.5969739278157552
3,1.3799152008361286,0.31488096714019775,0.4438051700592041,0.18230515586005316,0.0,inf,1.4307685944769117,0.3063492178916931,0.5161488003200955,0.16188663906521267,0.0,0.5776306576199002
4,1.3604157343506813,0.3143518567085266,0.45202725463443333,0.158158458603753,0.0,0.5854052464167278,1.4308729979727004,0.3264550268650055,0.4908002641465929,0.14351234436035157,0.0,0.577279535929362
5,1.3573869802885585,0.316732794046402,0.4629664553536309,0.13776499695248073,0.0,0.5423038244247437,1.4242554638120863,0.3243386149406433,0.47412554423014325,0.13853335910373263,0.0,0.5644860161675347
6,1.3575912854737706,0.318320095539093,0.46968939569261337,0.12924070093366835,0.0,0.5198827584584554,1.4257750180032518,0.3164021074771881,0.5049307929144965,0.11187909444173177,0.0,0.47035675048828124
7,1.3548196784324116,0.32076719403266907,0.4749063730239868,0.12127608723110622,0.0,0.5190901146994696,1.4247944050365025,0.3063492178916931,0.5017049153645833,0.10586585998535156,0.0,0.5227172003851996
8,1.359785063068072,0.32017195224761963,0.47813068760765925,0.11662390761905246,0.0,0.5066342936621772,1.4270699779192606,0.31587302684783936,0.5083999633789062,0.10131857130262586,0.0,0.5217616611056858
9,1.3589249142342144,0.32010582089424133,0.49027057488759357,0.1142846425374349,0.0,0.5165687640508015,1.4325297819243537,0.3126984238624573,0.4785632663302951,0.11513837178548177,0.0,0.48853335910373263
10,1.3664100799295638,0.3234788477420807,0.4783832126193576,0.11383258236779106,0.0,0.49826468891567655,1.4363105177879334,0.3164021074771881,0.5064073774549697,0.10293375651041667,0.0,0.4170330047607422
11,1.362691989209917,0.32195767760276794,0.4941260894139608,0.10853807661268446,0.0,0.49328225983513724,1.4268390973409018,0.32486772537231445,0.5695457034640842,0.10867966545952691,0.0,0.48147816128200954
12,1.3559437740180227,0.31706348061561584,0.4916526794433594,0.11237534152136909,0.0,0.4912571032842,1.4247700691223144,0.30899471044540405,0.5489226871066624,0.10006904602050781,0.0,0.4708796607123481
13,1.3532199677493837,0.3203703761100769,0.4863197988933987,0.11053816477457683,0.0,0.49421708583831786,1.4258669482337103,0.31322750449180603,0.5893697526719835,0.09020957946777344,0.0,0.43530476888020836
14,1.3549009599619442,0.31904762983322144,0.4936566193898519,0.11056707170274523,0.0,0.5082813103993734,1.4252946217854818,0.3063492178916931,0.5328223334418403,0.11107673645019531,0.0,0.5241729312472874
15,1.3513089181648361,0.3205026388168335,0.4930620908737183,0.10955463250478109,0.0,0.49942840735117594,1.4179387039608427,0.32698413729667664,0.5110897064208985,0.1178741455078125,0.0,0.48696115281846786
16,1.3532165754172536,0.31309524178504944,0.4867028183407254,0.10750080479515924,0.0,0.5079337437947591,1.4218686434957717,0.31111112236976624,0.6062906901041667,0.09447203742133246,0.0,0.4368065728081597
17,1.3547106383575334,0.318452388048172,0.4990047269397312,0.10952100223965115,0.0,0.4982570171356201,1.4216038584709167,0.3333333432674408,0.5013095431857639,0.10289582146538628,0.0,0.4308733622233073
18,1.3582602605223655,0.3193783164024353,0.49259194533030193,0.11120618979136149,0.0,0.49511025216844345,1.4324613041347927,0.307407408952713,0.5403826395670573,0.10606346130371094,0.0,0.4625677744547526
19,1.3551909663610988,0.32473546266555786,0.5026948743396336,0.10749963389502631,0.0,0.49017826716105145,1.421015214920044,0.3126984238624573,0.5240011850992838,0.09758516947428385,0.0,0.4989061991373698
20,1.347185705602169,0.3252645432949066,0.49202309449513754,0.1058784908718533,0.0,0.49945090611775717,1.4148090402285258,0.3137566149234772,0.5638746897379557,0.09981867472330729,0.0,0.42094095018174915
21,1.3513130818804104,0.3204365074634552,0.49758826361762154,0.11320323414272732,0.0,0.5144388013415866,1.4275411857499016,0.31005290150642395,0.5832563612196181,0.10454669528537326,0.0,0.4749148898654514
22,1.3561558443639012,0.323544979095459,0.4924442370732625,0.110028076171875,0.0,0.49198322296142577,1.4275070084465875,0.3063492178916931,0.6037643432617188,0.08999366760253906,0.0,0.4483599344889323
23,1.352124365998639,0.31997355818748474,0.4924691703584459,0.1053912878036499,0.0,0.4916070408291287,1.4179872936672635,0.3063492178916931,0.5524378034803602,0.10076883104112414,0.0,0.5040130615234375
24,1.353799827893575,0.3213624358177185,0.4839119063483344,0.11003066963619657,0.0,0.4970772663752238,1.4214048001501296,0.3095238208770752,0.5887972089979384,0.09856647915310329,0.0,0.45999984741210936
25,1.352338560256693,0.3173280358314514,0.49645883507198757,0.10966112878587511,0.0,0.5049948745303684,1.4265189793374804,0.3164021074771881,0.5108064439561631,0.09135826958550347,0.0,0.47159432305230037
26,1.3583235293626785,0.3154761791229248,0.48663855393727623,0.10703277587890625,0.0,0.49812390804290774,1.429107321633233,0.32592591643333435,0.589631610446506,0.09894951714409722,0.0,0.4584710439046224
27,1.3540303397509788,0.3164682686328888,0.5003308640586005,0.10823966397179498,0.0,0.4814755466249254,1.4179135839144388,0.31481480598449707,0.5567345089382596,0.10379562377929688,0.0,0.4176304287380642
28,1.349399651421441,0.3224206268787384,0.49124124844868977,0.11072535514831543,0.0,0.49162358707851833,1.4176766369077893,0.3126984238624573,0.5357938554551867,0.09778802659776475,0.0,0.4951484680175781
29,1.3489096254110335,0.3205026388168335,0.4951379961437649,0.10976780255635579,0.0,0.49764181507958305,1.4159766727023655,0.30899471044540405,0.5559260050455729,0.09315961201985677,0.0,0.4914207882351346
30,1.349914219478766,0.3166005313396454,0.48699891567230225,0.11249001555972629,0.0,0.5018612437778049,1.425989940431383,0.3126984238624573,0.5753752390543619,0.09095293680826823,0.0,0.46618694729275173
31,1.3573589636219872,0.32175925374031067,0.496119491259257,0.10943904452853732,0.0,0.5021717654334175,1.4279845714569093,0.32592591643333435,0.5381131913926867,0.11026318868001302,0.0,0.4742450714111328
32,1.3530244222945638,0.31878307461738586,0.5004430479473538,0.10686171054840088,0.0,0.48117584387461343,1.4130636559592353,0.3063492178916931,0.5503451877170139,0.09962637159559462,0.0,0.48298407660590276
33,1.3452005007200771,0.31607142090797424,0.48566845258076985,0.11426861551072863,0.0,0.5012290954589844,1.4177751157018874,0.3063492178916931,0.5986085255940755,0.09449161953396268,0.0,0.4598715040418837
34,1.3474435397320323,0.32480159401893616,0.48869008753034804,0.10814913113911946,0.0,0.48611097865634495,1.4099305629730225,0.32592591643333435,0.5343130323621962,0.09315516153971354,0.0,0.4808954874674479
35,1.3366378467943933,0.31884920597076416,0.48661729759640165,0.11119174162546794,0.0,0.5008285125096639,1.4139798667695787,0.3296296298503876,0.509941906399197,0.10484335157606336,0.0,0.5291054195827908
36,1.341703216234843,0.3172619044780731,0.4902144087685479,0.10681900183359781,0.0,0.49016061888800727,1.4099087980058458,0.3063492178916931,0.5490794287787544,0.10892435709635416,0.0,0.4739407433403863
37,1.3433478931585947,0.3232142925262451,0.4892139196395874,0.10916017691294352,0.0,0.4918546888563368,1.4083214587635464,0.3063492178916931,0.5383054097493489,0.08963627285427517,0.0,0.48145162794325086
