epoch,train_loss,train_accuracy,"train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","train_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))",val_loss,val_accuracy,"val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","val_ChainResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))"
1,1.113838043808937,0.3095899522304535,1.7547068542904325,1.0465778668721517,inf,inf,1.014530352751414,0.31798940896987915,2.501477008395725,1.6573499043782551,inf,inf
2,0.9433643377489513,0.3134259283542633,2.781404381328159,1.707366116841634,inf,inf,0.9572159780396355,0.31481480598449707,2.6598306443956163,1.5927121056450737,inf,inf
3,0.9109868475132519,0.31878307461738586,inf,1.6761677662531536,inf,inf,0.9340783794720967,0.3216931223869324,2.8807506137424044,1.6146290249294706,inf,inf
4,0.8920783415436745,0.3246031701564789,2.801772864659627,1.5570177263683742,inf,inf,0.9181724468866984,0.31481480598449707,2.5250222947862415,1.5507538265652128,inf,inf
5,0.8778377763099141,0.3154100477695465,inf,1.616879924138387,inf,inf,0.9035645365715027,0.31798940896987915,2.6149922688802083,1.5081790924072265,inf,inf
6,0.8642319990528955,0.3212963044643402,2.91778277821011,1.5172560930252075,inf,inf,0.886912030643887,0.32910051941871643,inf,1.5303864796956381,inf,inf
7,0.8504007145762443,0.3174603283405304,inf,1.529426908493042,inf,inf,0.8726730333434211,0.3253968358039856,inf,1.490602027045356,inf,inf
8,0.8384149892462625,0.3205026388168335,inf,1.5797583156161839,inf,inf,0.8596130715476142,0.3243386149406433,2.8265857696533203,1.517811075846354,inf,inf
9,0.8266485465897454,0.33082011342048645,inf,1.5450113587909275,inf,inf,0.8497098366419474,0.34391534328460693,2.6631953769259984,1.3257149590386286,inf,inf
10,0.8175962232881122,0.3363756537437439,inf,1.4897938622368707,inf,inf,0.8401916530397203,0.3603174686431885,2.5142584906684027,1.41034910413954,inf,inf
11,0.8089909528692564,0.34563490748405457,inf,1.5430586602952745,inf,inf,0.8318723267979092,0.3619047701358795,inf,1.5795140584309897,inf,inf
12,0.8032563835382461,0.35191798210144043,inf,1.5691889233059353,inf,inf,0.8247967561086019,0.3582010567188263,inf,1.4123281690809462,inf,inf
13,0.7972724167837038,0.35092592239379883,inf,1.4423054801093207,inf,inf,0.8211613509390089,0.35978835821151733,inf,1.2871186362372504,inf,inf
14,0.7916148222982884,0.35178571939468384,inf,1.4827480528089736,inf,inf,0.8142441630363464,0.3671957552433014,inf,1.4480855729844835,inf,inf
15,0.78620786625478,0.3553571403026581,inf,1.5487935490078397,inf,inf,0.8105825708972083,0.3708994686603546,2.828585900200738,1.4126926422119142,inf,inf
16,0.7815820832219389,0.35469576716423035,inf,1.5071192582448323,inf,inf,0.804963947004742,0.3671957552433014,inf,1.4359082116021051,inf,inf
17,0.7786526117887762,0.357275128364563,inf,1.5317548725340102,inf,inf,0.8005094057983823,0.37830686569213867,2.673919677734375,1.4368575625949436,inf,inf
18,0.7745280205375619,0.3582010567188263,inf,1.4673250357309977,inf,inf,0.7981430477566189,0.3650793731212616,inf,1.5444923400878907,inf,inf
19,0.7715459813674291,0.3619047701358795,inf,1.522434483634101,inf,inf,0.7939132663938734,0.37248677015304565,inf,1.4445533328586155,inf,inf
20,0.7692827687495285,0.3600529134273529,inf,1.5229712380303277,inf,inf,0.7916201995478735,0.3730158805847168,inf,1.4175868140326606,inf,inf
21,0.766182124780284,0.3619047701358795,inf,1.512476306491428,inf,inf,0.7884833481576707,0.3693121671676636,inf,1.554251903957791,inf,inf
22,0.7632564707762666,0.36554232239723206,inf,inf,inf,inf,0.7864944616953532,0.3682539761066437,inf,1.3160055796305339,inf,inf
23,0.7616392515599728,0.36673280596733093,inf,1.4945859458711412,inf,inf,0.783996527062522,0.3740740716457367,inf,1.381817372639974,inf,inf
