epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=2))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=5, count=1))"
55,0.5027347570870242,0.23782609403133392,0.03193280702940677,0.3648539593345241,0.16478377003823558,0.0413071079043662,0.7256890807200123,0.23051947355270386,0.04215803893434035,0.4387587341102394,0.3242639697886802,0.03939747004895597
56,0.4982850085849066,0.23391304910182953,0.03990192420413822,0.3564553835598439,0.17948312255441637,0.04125977159558411,0.723259458268011,0.22727273404598236,0.028890808591166058,0.4138805544054186,0.3677854729262558,0.05260912026907947
57,0.4823842530845584,0.24739129841327667,0.03396426396782815,0.3500424823858135,0.16771666131319132,0.04822756226074918,0.7255232324068611,0.22727273404598236,0.03153161432694744,0.4365045959885056,0.35843642217081945,0.04237391699004818
58,0.5018726974877518,0.24347825348377228,0.0392016602999488,0.35512310701639016,0.15879310523310014,0.0445176796111672,0.7288941394638371,0.22727273404598236,0.023001524544245488,0.4386407877947833,0.35456505055363113,0.040395451155868733
59,0.5069375513010802,0.23217391967773438,0.02979968928420483,0.35782272261148396,0.1518721887130284,0.04185567146043826,0.7267262834954906,0.22727273404598236,0.03273163453952686,0.4405296299908612,0.35282500007668055,0.04444401932729257
60,0.4735387639855691,0.23956522345542908,0.030612390393514585,0.33768625291782245,0.19419316823494656,0.043015970034186425,0.7222694831120001,0.22727273404598236,0.031018754819760453,0.47726906956853093,0.26359551561039846,0.054543948656803856
61,0.48979691604503345,0.24086956679821014,0.0337851550967665,0.38010559422050955,0.15385143400655335,0.044653131217017444,0.7117743419634329,0.23051947355270386,0.039890224667819774,0.43095424368574814,0.3208318815843479,0.05242451662952836
62,0.4928763467306192,0.25,0.03440653243068928,0.35836707634917747,0.15889641020213,0.04471227035862481,0.7205104517775613,0.22727273404598236,0.03229761022973705,0.40303667815955907,0.29307831964782766,0.051452748678825995
63,0.48976152376327126,0.24782608449459076,0.03691291690176331,0.3469732864198539,0.18150542522124402,0.0475382002889604,0.7245741744299192,0.22402597963809967,0.03431531343911145,0.44614309877962677,0.2140392201977807,0.05676468683255685
64,0.4802699939352547,0.2352173924446106,0.03189801109768134,0.3490291273249835,0.14779282258807702,0.04011931221027731,0.716340118968809,0.23051947355270386,0.025676832307834883,0.4583527590777423,0.3813299962596313,0.05027184051436347
65,0.47213372289628447,0.25173914432525635,0.0323340552266061,0.3376101565077673,0.16431642782910774,0.04154183615650507,0.7102991018343616,0.27272728085517883,0.034280511978510265,0.50746184426385,0.30642714955516764,0.039611640814188366
66,0.48397575179668356,0.2508695721626282,0.03181923839859728,0.3477460427276145,0.17001403941565743,0.04218694962346088,0.7256043621817151,0.23051947355270386,0.028240190365829983,0.44298880809062235,0.3389545280385662,0.04131989543502395
67,0.5035123307706949,0.23608694970607758,0.029385404240700505,0.35949762567801874,0.16601187577676693,0.04131595534865439,0.716442220718474,0.23376622796058655,0.028608504481412268,0.4396603558514569,0.3350188951637294,0.050713332118214785
68,0.49483167839272924,0.2508695721626282,0.0372951475995101,0.3171201569924735,0.20571450446376574,0.04390214406371319,0.7182955409626703,0.23051947355270386,0.03025887403133753,0.5112132381748509,0.2966501682594016,0.05108441372175474
69,0.476844902708494,0.24565216898918152,0.03742771682998321,0.3508713354683894,0.1571361779255859,0.0440428233713367,0.7196141994885497,0.23376622796058655,0.025346918383965623,0.42209074948285075,0.2939020495962452,0.048870041563704204
70,0.4874433137109607,0.25173914432525635,0.03365097201234821,0.35654177689997574,0.16725126232679915,0.046288048826373086,0.7248631389559926,0.23376622796058655,0.02705895175804963,0.4518254447627712,0.3247088256317216,0.05181904942602725
71,0.498327649661762,0.24782608449459076,0.0329513531842337,0.34607934789868083,0.16748801491054088,0.03894688662122587,0.7178868939344948,0.23376622796058655,0.03415735237099029,0.44207819088085276,0.2874508550440943,0.04318375925760012
72,0.4704476438829571,0.2543478310108185,0.03246657593343375,0.33463868706254685,0.16986187710624398,0.04024212833980955,0.7061621736030321,0.2759740352630615,0.031602248549461365,0.4860997715511838,0.35181402636540904,0.04276422028606002
73,0.4716663473176632,0.25869566202163696,0.03290829035897814,0.3490803431978857,0.15614931834371468,0.042278441387040504,0.7241607495659107,0.23051947355270386,0.021387614712521836,0.4953563664410565,0.2521664900956927,0.0351112905789066
