epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
11,1.4436651647090912,0.022949734702706337,0.20207208262549506,0.005758198102315267,0.008872556686401366,inf,0.6890955977969699,0.09956051773495145,1.522229520479838,0.03492063656449318,0.21206143697102864,0.006319257948133681,0.010760709974500867,inf,0.7077913920084635,0.0921923319498698
12,1.4470410153269768,0.03392857313156128,0.2093053552839491,0.007511483298407661,0.008434475792778864,inf,0.7090027146869236,0.09805432955423991,1.5220692767037285,0.004232804290950298,0.21067865159776475,0.00838330586751302,0.007603496975368924,inf,0.6411157396104601,0.09508637322319878
13,1.4518563205997148,0.01686508022248745,0.21365661091274685,0.00655312803056505,0.009771302011277941,inf,0.6986828115251329,0.09736008114284939,1.527984200583564,0.0,0.21208394368489583,0.008653386433919271,0.013413577609592013,inf,0.6706151750352648,0.09014015197753907
14,1.455771279335022,0.012103174813091755,0.2267183780670166,0.007487988471984864,0.011672825283474393,inf,0.7190314239925808,0.0966690805223253,1.515807248486413,0.0476190485060215,0.25041512383355036,0.01020308600531684,0.009930589463975695,inf,0.7837682512071398,0.10247171190049913
15,1.4468546801143223,0.025264550000429153,0.22013182375166152,0.00816697014702691,0.00826590855916341,inf,0.7216327852673001,0.09936765564812554,1.5205115463998582,0.037566136568784714,0.19979532029893662,0.009273444281684027,0.007303958468967014,inf,0.6800319247775608,0.09706556532118056
16,1.4548748412066035,0.022354496642947197,0.21072398821512858,0.006562913788689507,0.01073064539167616,inf,0.6916730536354913,0.09206537670559353,1.5240496224827236,0.04603174701333046,0.21373282538519967,0.005407545301649306,0.009646733601888021,inf,0.6719950358072917,0.0933972676595052
17,1.449761565691895,0.020105820149183273,0.20606601503160266,0.00618073410458035,0.008546895451015897,inf,0.6990944173600938,0.09769618776109483,1.5093947754965888,0.01904761977493763,0.2096350351969401,0.0074066585964626735,0.006946097479926215,inf,0.7182989332411024,0.09813003540039063
18,1.4447348712219132,0.025859788060188293,0.20338041782379152,0.006422085232204861,0.008743275536431207,inf,0.691523649957445,0.09974066151512993,1.516831980811225,0.04179894179105759,0.2197271982828776,0.009396447075737847,0.012183846367730036,inf,0.7202300177680121,0.09483333163791233
19,1.4511790692806243,0.020701058208942413,0.1956324365403917,0.006400087144639757,0.00955570273929172,inf,0.674456442726983,0.09547535578409831,1.5181617114279005,0.0010582010727375746,0.19243910047743057,0.005551571316189236,0.007558525933159722,inf,0.6315208011203342,0.09780150519476996
20,1.4451615277263854,0.012896825559437275,0.20083591143290203,0.00628107123904758,0.008275614844428169,inf,0.6950235737694634,0.10052117506663004,1.5196893374125162,0.0010582010727375746,0.18813866509331598,0.007421535915798611,0.0067683749728732635,inf,0.674556647406684,0.08982425265842015
21,1.4434688342942132,0.010978835634887218,0.1999157216813829,0.005495325724283854,0.008023092481825088,inf,0.6909827497270372,0.09987600644429524,1.5352194004588657,0.0,0.18606783548990885,0.008226691351996527,0.009874343872070312,inf,0.5962156083848741,0.08416866726345486
22,1.449276669157876,0.012103174813091755,0.18872708744472927,0.006623885366651747,0.007243262396918403,inf,0.6597284025616116,0.09281458854675292,1.5191897432009378,0.015343915671110153,0.21741629706488716,0.006881586710611979,0.010170406765407987,inf,0.6852440304226346,0.10315115186903212
23,1.450360373324818,0.019973544403910637,0.21566146744622125,0.0075985352198282875,0.009595473607381185,inf,0.7144780132505629,0.09949660301208496,1.5254568590058222,0.01746031828224659,0.21809590657552083,0.007584635416666667,0.01041764153374566,inf,0.7105981614854601,0.09479565090603298
24,1.452177729871538,0.015476190485060215,0.21990972889794244,0.008256472481621636,0.010070172945658366,inf,0.7304842366112603,0.09588170846303304,1.52478393846088,0.029100529849529266,0.22137103610568576,0.006406148274739583,0.014690187242296007,inf,0.6925607045491536,0.0974540286593967
25,1.4440624442365435,0.022089947015047073,0.20275555981530083,0.0062952836354573565,0.00780189832051595,inf,0.7146159569422404,0.10055664115481906,1.5207708795865378,0.02698412723839283,0.19145800272623698,0.005958260430230035,0.007752609252929687,inf,0.6766103956434462,0.09292954338921441
26,1.4395173635747698,0.032804232090711594,0.21419187121921116,0.005900841289096409,0.007192460695902506,inf,0.7253719965616862,0.1067473226123386,1.5106950057877435,0.032275132834911346,0.19827147589789496,0.0030692630343967012,0.005575815836588542,inf,0.6939475589328342,0.1006880866156684
27,1.442325516210662,0.021296296268701553,0.1988639169269138,0.005807148085700141,0.008920582135518391,inf,0.693369534280565,0.10092488924662273,1.510094043943617,0.003703703638166189,0.21196679009331598,0.006282467312282986,0.00704146491156684,inf,0.7047448052300347,0.09817983839246962
28,1.4475420782963435,0.020568782463669777,0.2070828676223755,0.007232859399583604,0.009734725952148438,inf,0.6906520790523953,0.09862410492367214,1.5202506992552016,0.047089945524930954,0.2235215081108941,0.0076037936740451385,0.008795505099826389,inf,0.7042320675320095,0.09877395629882812
29,1.4485518137613933,0.018915344029664993,0.2078242884741889,0.006637901730007596,0.008365135722690159,inf,0.6976052761077881,0.09729429615868462,1.5222072826491462,0.018518518656492233,0.20911865234375,0.0057171291775173615,0.009691958957248264,inf,0.6766278160942926,0.08997679816351997
30,1.4516299047403864,0.013955026865005493,0.21590834723578559,0.007209438747829861,0.010370967123243544,inf,0.7110998657014634,0.09738668865627713,1.5237488190333048,0.024867724627256393,0.21046439276801215,0.006405342949761285,0.012116114298502604,inf,0.6894220987955729,0.09680620829264323
31,1.4509531304240226,0.008730159141123295,0.21048175228966606,0.007061489423116048,0.009473790062798394,inf,0.7070995622211033,0.09717705249786376,1.5159027616182963,0.0,0.2171312544080946,0.00823868645562066,0.00568025377061632,inf,0.7188894483778212,0.10080045064290365
32,1.4474750396278169,0.012632275000214577,0.19947090413835314,0.006592639287312825,0.007880711555480957,inf,0.6896268659167819,0.09607697592841255,1.5116267959276835,0.03650793805718422,0.22029300265842014,0.005006196763780382,0.007619222005208333,inf,0.6870838589138455,0.10784395005967883
33,1.4481652840971946,0.015608465299010277,0.203382502661811,0.006328013208177354,0.008387573560078939,inf,0.6951955874760946,0.09647205935584174,1.5203512125545078,0.011640211567282677,0.2041956583658854,0.007134331597222222,0.008805338541666667,inf,0.6512806362575955,0.08924844529893664
34,1.453522521754106,0.013095238246023655,0.20472726821899415,0.007220991452534993,0.009815822707282172,inf,0.670531169573466,0.09301201237572564,1.5280943049324884,0.0,0.20507562425401477,0.00487060546875,0.009088177151150173,inf,0.717470465766059,0.09638421800401475
35,1.4535610419180658,0.02202381007373333,0.20489323404100207,0.007355931070115831,0.009407554732428656,inf,0.6632079389360216,0.0935501151614719,1.5244598309199016,0.042328041046857834,0.22221883138020834,0.01351470947265625,0.010363218519422743,inf,0.7137911478678386,0.09703784518771702
36,1.4478154708941777,0.03134920820593834,0.19828878508673775,0.0063868284225463865,0.007604951328701443,inf,0.6788708342446221,0.0960540771484375,1.5161847723854913,0.0476190485060215,0.1933470408121745,0.004621420966254341,0.0067373911539713545,inf,0.6226454840766059,0.08982391357421875
37,1.4488654769129223,0.015806877985596657,0.18272560172610813,0.005464477009243436,0.007824985186258952,inf,0.6371688259972467,0.09101171758439806,1.5210602190759448,0.0,0.19990573459201388,0.007228130764431424,0.00977020263671875,inf,0.6266203138563368,0.09568693372938368
38,1.4460650694039132,0.016997354105114937,0.20561835236019557,0.005994224548339843,0.008667108747694227,inf,0.6813372373580933,0.09734691248999702,1.513408280743493,0.04444444552063942,0.2244876013861762,0.006560007731119792,0.012933391994900173,inf,0.7322540707058377,0.10483627319335938
39,1.4488884801665942,0.02123015932738781,0.20059035884009468,0.006829741266038683,0.00818365944756402,inf,0.6997566805945502,0.09537552992502848,1.5259862422943116,0.0,0.19492624070909287,0.006118901570638021,0.010842514038085938,inf,0.6784144083658854,0.09459961785210504
40,1.4538480018575985,0.006812169216573238,0.19973944822947184,0.006365932358635797,0.008015648523966471,inf,0.6596808460023668,0.0921492338180542,1.531327231725057,0.0,0.18243132697211373,0.007725482516818576,0.012812974717881944,inf,0.6237640804714627,0.08984828525119358
41,1.4488297687636482,0.004894179757684469,0.20067825847201878,0.005969031651814779,0.009555514653523762,inf,0.6792521052890353,0.09713912010192871,1.5226107239723206,0.016402116045355797,0.20043538411458334,0.009227667914496527,0.01252394782172309,inf,0.647759034898546,0.09168179829915364
42,1.447575896150536,0.012632275000214577,0.2033827887641059,0.005971357557508681,0.008958975474039713,inf,0.6938188234965007,0.09711822933620877,1.5104720221625434,0.0317460335791111,0.20697987874348958,0.007139163547092014,0.007428995768229167,inf,0.7014372083875868,0.10330645243326823
