epoch,train_loss,train_accuracy,"train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))",val_loss,val_accuracy,"val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=3))"
1,0.6236439925098257,0.43521738052368164,0.1975166749063696,0.8160344136727823,0.5389610528945923,0.2521714632575576
2,0.5177529753772431,0.5460869669914246,inf,0.7100492490304483,0.5649350881576538,inf
3,0.46354212552460833,0.5991304516792297,inf,0.669559438486357,0.5584415793418884,inf
4,0.4407001412987507,0.6052173972129822,inf,0.6503045945554167,0.5584415793418884,inf
5,0.41957938853265475,0.6082608699798584,inf,0.6349007293984696,0.5584415793418884,inf
6,0.42430068954749506,0.6100000143051147,inf,0.6140212803273588,0.5584415793418884,inf
7,0.4226667849641097,0.6104347705841064,inf,0.6024805971899548,0.5584415793418884,inf
8,0.3984584442524837,0.6091304421424866,inf,0.5938795245177036,0.5584415793418884,inf
9,0.3959097580411843,0.6104347705841064,inf,0.584225730316059,0.5584415793418884,inf
10,0.38243822659822796,0.604347825050354,inf,0.573521871019054,0.5584415793418884,inf
11,0.3567024875678919,0.6078261137008667,inf,0.5676044056544433,0.5584415793418884,inf
12,0.34609317362106107,0.6091304421424866,inf,0.5639028398169054,0.5584415793418884,inf
13,0.3688074743757831,0.6091304421424866,inf,0.5544492926549267,0.5616883039474487,inf
14,0.36835854231096893,0.6078261137008667,inf,0.5476171613947766,0.5616883039474487,inf
15,0.3417781689069874,0.6034782528877258,inf,0.5440892500651849,0.5454545617103577,inf
16,0.3520557260068042,0.606521725654602,inf,0.5367463535150966,0.5649350881576538,inf
17,0.3400479715020224,0.6095651984214783,inf,0.5327382258869506,0.5616883039474487,inf
18,0.3531962716619916,0.6060869693756104,inf,0.5283535904175526,0.551948070526123,inf
19,0.3339993813800893,0.6034782528877258,inf,0.5252122514553972,0.5714285969734192,inf
20,0.3506596459799995,0.6069565415382385,inf,0.5221495831737647,0.5551947951316833,inf
21,0.33467777703330553,0.606521725654602,inf,0.5176305243292371,0.5584415793418884,inf
22,0.3340610543642263,0.6039130687713623,inf,0.5136355554332604,0.5584415793418884,inf
23,0.34068209345251677,0.6082608699798584,inf,0.5114623469275397,0.5714285969734192,inf
24,0.3462746039108833,0.6034782528877258,inf,0.5080308946403297,0.5584415793418884,inf
25,0.3098665074348855,0.6034782528877258,inf,0.5061174022990305,0.5584415793418884,inf
26,0.34124461567766196,0.6086956262588501,inf,0.5039367184445664,0.5584415793418884,inf
27,0.34567658590541833,0.6047825813293457,inf,0.5023404400090914,0.5584415793418884,inf
28,0.33320075707393104,0.6030434966087341,inf,0.5005488307089418,0.5551947951316833,inf
29,0.3394673499191759,0.6039130687713623,inf,0.49894113677579005,0.5584415793418884,inf
30,0.33003350867176706,0.6013043522834778,inf,0.4972420703317668,0.5584415793418884,inf
31,0.3287567794196472,0.6069565415382385,inf,0.4953308906909582,0.5584415793418884,inf
32,0.35059137741050006,0.6052173972129822,inf,0.4927577895892633,0.5584415793418884,inf
33,0.31052804036233544,0.6078261137008667,inf,0.49189259856939316,0.5584415793418884,inf
34,0.3236462525352962,0.6047825813293457,inf,0.48961976533000534,0.5584415793418884,inf
35,0.3306401567138314,0.6026086807250977,inf,0.4892934864839992,0.5551947951316833,inf
36,0.31978014324031173,0.6078261137008667,inf,0.48904335357852885,0.5551947951316833,inf
37,0.32967341425615176,0.6104347705841064,inf,0.487165172357817,0.5584415793418884,inf
38,0.3398354148368884,0.6026086807250977,inf,0.4858979065273259,0.5584415793418884,inf
39,0.3199597923859878,0.6104347705841064,inf,0.4855396175706709,0.5746753215789795,inf
40,0.3144537593239637,0.6095651984214783,inf,0.4851574573565174,0.5551947951316833,inf
41,0.32448974013935733,0.604347825050354,inf,0.4834641457812206,0.5584415793418884,inf
42,0.32622829245337,0.6082608699798584,inf,0.48253782012978114,0.5584415793418884,inf
43,0.33180548842673796,0.6047825813293457,inf,0.48123125953448787,0.5584415793418884,inf
44,0.3156427601146779,0.6017391085624695,inf,0.4813938241552662,0.5584415793418884,inf
45,0.3224475216911078,0.6082608699798584,inf,0.47900561062065333,0.5551947951316833,inf
46,0.3253029119128485,0.6047825813293457,inf,0.4785132722274677,0.5584415793418884,inf
47,0.3204774251792751,0.6069565415382385,inf,0.4782888941668175,0.5584415793418884,inf
48,0.32312882227383566,0.6078261137008667,inf,0.47691488467358256,0.5584415793418884,inf
