epoch,train_loss,train_accuracy,"train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))",val_loss,val_accuracy,"val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))"
1,1.258066637151771,0.3186507821083069,0.584154748916626,inf,1.2885600606600442,0.32275131344795227,0.6036446889241537,inf
2,1.2268867616852124,0.3261904716491699,0.6254033353593614,inf,1.274930144680871,0.3216931223869324,0.6016621483696831,inf
3,1.2197988970412148,0.32493385672569275,0.6173710028330485,inf,1.268993768427107,0.3216931223869324,0.5887418958875869,inf
4,1.2125423224435912,0.32691797614097595,0.6345519304275513,inf,1.2657002992100186,0.3216931223869324,0.6544592539469402,inf
5,1.2097333865033255,0.3275132179260254,0.6246615992652045,inf,1.2614578564961751,0.3216931223869324,0.5943972693549262,inf
6,1.2059438505106501,0.32678571343421936,0.6145662016338772,inf,1.2589119381374783,0.3216931223869324,0.6007147047254774,inf
7,1.2052155524492263,0.3262566030025482,0.6061936193042331,inf,1.2552400880389742,0.3216931223869324,0.6259867774115668,inf
8,1.2008116025063726,0.3263227641582489,0.6522108316421509,inf,1.2535964859856499,0.3216931223869324,0.6403395758734809,inf
9,1.1970111755861177,0.32691797614097595,0.6696917719311184,inf,1.2502578086323208,0.3206349313259125,0.6302201588948567,inf
10,1.1948848375015788,0.32691797614097595,0.6467424975501166,inf,1.2458188229136997,0.3216931223869324,0.6758366054958768,inf
11,1.195056185291873,0.32665345072746277,0.6546908299128215,inf,1.2524556914965312,0.3216931223869324,0.6435426076253256,inf
12,1.195693456298775,0.3254629671573639,0.6210699531767103,inf,1.2460685027970209,0.3216931223869324,0.6252095964219835,inf
13,1.1939002454280854,0.32473546266555786,0.6223171763949924,inf,1.2453149570359123,0.3216931223869324,0.5733621385362413,inf
14,1.1935266575879522,0.3263227641582489,0.6463215721978082,inf,1.2470623069339328,0.3216931223869324,0.6548853556315104,inf
15,1.194349524213208,0.3263227641582489,0.6381847063700358,inf,1.2471144662963018,0.3222222328186035,0.5970798916286892,inf
16,1.1921259727742937,0.32499998807907104,0.6166834619310168,inf,1.242922510041131,0.31587302684783936,0.551695802476671,inf
17,1.1908440846535895,0.32890212535858154,0.6163172006607056,inf,1.243567689259847,0.32486772537231445,0.6073731316460503,inf
18,1.1889177875386343,0.32810845971107483,0.5996100372738309,inf,1.2405001600583394,0.3243386149406433,0.5890016343858507,inf
19,1.1867893116341697,0.32599207758903503,0.61812957127889,inf,1.2362425923347473,0.32592591643333435,0.664018079969618,inf
20,1.1861417257123523,0.3275132179260254,0.6346334245469835,inf,1.2381052096684775,0.32804232835769653,0.641190677218967,inf
21,1.182664195696513,0.3326058089733124,0.6331447045008342,inf,1.2347692635324266,0.347089946269989,0.5856113433837891,inf
22,1.1805882149272495,0.33664020895957947,0.6198357635074192,inf,1.2286192999945746,0.3232804238796234,0.6154920789930556,inf
23,1.1788509307636155,0.33783069252967834,0.6308972438176473,inf,1.228437183962928,0.341269850730896,0.6393350389268663,inf
24,1.1767728042271401,0.34497353434562683,0.6498945342169867,inf,1.2259394354290432,0.34285715222358704,0.6364240010579427,inf
25,1.171689809196525,0.34570106863975525,0.6483376767900255,inf,1.219942691591051,0.345502644777298,0.5987325456407335,inf
26,1.1702441841363906,0.3375000059604645,0.6528254429499308,inf,1.2208276430765788,0.3481481373310089,0.6704808976915148,inf
27,1.170876360601849,0.3414682447910309,0.6564241621229384,inf,1.2235927449332342,0.33174604177474976,0.600956302218967,inf
28,1.1725272513098186,0.3432539701461792,0.6551001416312323,inf,1.2244886292351618,0.35079365968704224,0.6218273162841796,inf
29,1.1716922024885814,0.34391534328460693,0.6429139614105225,inf,1.2214354448848301,0.33492064476013184,0.6251798841688369,2.9110289679633246
