epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=22))"
1,1.197245679316065,0.8394506573677063,0.03133816059299112,1.0653381270317894,0.8519534468650818,0.0250278081121656
2,1.022769595964502,0.8534282445907593,0.026214751772307112,1.0579050648722181,0.8483471274375916,0.02121031566646101
3,1.028268894278059,0.852893590927124,0.022508848737151338,1.008587980846699,0.8536814451217651,0.015281362693850734
4,1.0092384840087854,0.853627622127533,0.022603510318620918,1.0486781270750871,0.8545830249786377,0.02491635890112659
5,0.989722678247642,0.8558748960494995,0.023590346782821698,1.0158908425673616,0.8471450209617615,0.03379162164750766
6,0.9871743466352061,0.8553493022918701,0.022425764690373298,1.0199722209256046,0.8537565469741821,0.018732612510051684
7,0.988292973269573,0.8561059236526489,0.023144186197806137,1.0042378969137198,0.8403831720352173,0.024233483831057393
8,0.9861079377092483,0.8557751774787903,0.023400146545135413,1.269727545291026,0.8432757258415222,0.0344555347907443
9,0.975582829290013,0.8554580211639404,0.023353135577814092,0.9898007213490428,0.8552216291427612,0.017201613797041368
10,0.9708721103824235,0.8567311763763428,0.02336787480612928,1.019175231106387,0.8561232089996338,0.017819972417115984
11,0.9653061731404308,0.856522798538208,0.023619158878995055,0.9785691515388437,0.856235921382904,0.02180790655297847
12,0.9805757554108595,0.8573518991470337,0.023094593049553223,0.9969592132844554,0.8502253890037537,0.024310692564233558
13,0.980848968904514,0.8564684391021729,0.022922565379312653,0.972001972128747,0.8503381013870239,0.03569702022033761
14,0.9807949327900364,0.8571752309799194,0.023234485065439434,0.9933664184198854,0.8550713658332825,0.023500493594578335
15,0.9783394694615939,0.8573201894760132,0.022885589991773665,0.9785336313710824,0.855709969997406,0.021087908398749904
16,0.963583314692565,0.857333779335022,0.023066016297500266,0.9986747123820867,0.855972945690155,0.02856377192905971
17,0.9747374465788915,0.8571299314498901,0.02262982134263806,0.9796699780278122,0.8554846048355103,0.036125531717508784
18,0.9625413768378726,0.8568490147590637,0.023323283062041324,0.9793668310207214,0.8526671528816223,0.020081847746741963
19,0.9749576144907319,0.8569532036781311,0.02298599046034325,0.9792318007733646,0.8564237356185913,0.03489999820295411
20,0.9645991942472428,0.856654167175293,0.022927882188780054,1.0335645792946775,0.8536814451217651,0.023009535189891607
21,0.9815115483635981,0.856713056564331,0.023225835041713324,1.0319954286936366,0.8548835515975952,0.02302754817799451
22,0.9801464577858876,0.8569396138191223,0.022836279021895414,1.0877243588624257,0.8540946841239929,0.01902004459416074
23,0.9725239276714162,0.8569803833961487,0.02289321233782366,1.128639344997386,0.8534184694290161,0.02250423114476448
24,0.9711267640441352,0.8571797609329224,0.02331167089983526,1.031673416892105,0.8504883646965027,0.021357353176207284
25,0.9771210439639392,0.8565998077392578,0.022834658656902353,1.0221285515267808,0.8550713658332825,0.021189128651338464
26,0.9802897911423546,0.8570120930671692,0.022984337574409226,1.0213389542244617,0.8495867848396301,0.028766728066778803
27,0.9826656682543548,0.8570709824562073,0.02248146626427563,1.003712113515737,0.8533433675765991,0.016594224890467774
28,0.9761454253184845,0.8574878573417664,0.0225632650734463,1.0087751051910825,0.8543200492858887,0.02204639188563942
29,0.9832677958472482,0.8574017882347107,0.022535754304547538,1.0353544929558343,0.8514650464057922,0.036132796289722276
30,0.9667075209992034,0.8564457297325134,0.02271873692020508,1.0435133875555742,0.85537189245224,0.01958617196909975
31,0.9874467705862074,0.8570936918258667,0.022921358699818626,0.994623007294998,0.8519534468650818,0.04753773343572187
32,0.9768104552647009,0.8569758534431458,0.022905924985442715,1.0024397246483887,0.8552591800689697,0.026497156497993207
33,0.977086042142416,0.8566179275512695,0.022746149841608842,0.9986100706284319,0.847783625125885,0.039193526035597344
34,0.9792833321865071,0.8568535447120667,0.023449558607770624,1.021259860341013,0.8552591800689697,inf
35,0.9754078878689406,0.8573609590530396,0.022480973690443617,1.0988482658197924,0.8548083901405334,inf
36,0.9905634786742749,0.8569803833961487,0.022974351823631677,1.4235513052939022,0.8523666262626648,inf
37,0.9798568953292726,0.8570392727851868,0.023140491916839777,1.0324877554013099,0.8493613600730896,inf
38,0.9827351532873031,0.8566043376922607,0.02299858504874805,1.0078035005894184,0.8560481071472168,inf
39,0.9716989443149427,0.8578004837036133,0.022756968292446212,1.056000309414505,0.8489857316017151,0.06778833563770384
40,0.9804457737121408,0.857025682926178,0.02288414780874286,1.018594048547562,0.8463937044143677,inf
41,0.9773941663408462,0.8571661710739136,0.023336903870601073,1.030973070791532,0.8534936308860779,0.046469255564684536
42,0.9805318731241064,0.857329249382019,0.02287060139069688,0.9903900506859294,0.8537941575050354,0.019926762380519835
43,0.9868427967544788,0.8576328158378601,0.02747927830000413,1.0074231685362083,0.855296790599823,0.01816675506355746
44,0.9735388443738013,0.857025682926178,0.024123120528827913,1.1414492019510984,0.8507137298583984,inf
45,0.9781495689784878,0.857202410697937,0.022812458229720826,1.1627120775424375,0.8530803918838501,inf
46,0.9928909221221484,0.8568716645240784,0.022792860912563852,1.1840751160033776,0.8483846783638,inf
