epoch,train_loss,train_accuracy,"train_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","train_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))",val_loss,val_accuracy,"val_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","val_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))"
1,1.3169831015997462,0.22288359701633453,0.05587570932176378,0.25485910574595133,0.04387788242763943,inf,1.4103481862280103,0.17830687761306763,0.06568662855360242,0.09520606994628907,0.07272525363498264,inf
2,1.4050989722212155,0.21977512538433075,0.02382365067799886,0.03666628996531169,0.05003246731228299,inf,1.4797479907671611,0.3333333432674408,0.006126700507269965,0.01666191948784722,0.031293826633029515,0.4130961100260417
3,1.423101018369198,0.313359797000885,0.0028741704093085394,0.012508437368604871,0.022991795010036894,inf,1.4497223562664456,0.31904762983322144,0.002259063720703125,0.010114203559027778,0.02181290520562066,0.30241928100585935
4,1.3969965858591928,0.3105158805847168,0.0019112269083658854,0.0080292542775472,0.017965319421556263,0.31429796748691136,1.4371601727273728,0.32486772537231445,0.0006763458251953125,0.00531722174750434,0.016197162204318577,0.26526701185438367
5,1.385643862022294,0.31884920597076416,0.0015388753679063585,0.00491280025906033,0.0188754055235121,0.27637445396847193,1.4241103092829386,0.3264550268650055,0.0007422553168402778,0.004804102579752604,0.013006761338975695,0.25830726623535155
6,1.3811084199282857,0.3173280358314514,0.0008665773603651259,0.003581960995992025,0.018396910031636557,0.25375246736738416,1.414086737897661,0.3243386149406433,0.00032594468858506944,0.0028395758734809026,0.012513436211480034,0.25782157050238713
7,1.380343182384968,0.31693121790885925,0.000806019041273329,0.0025827169418334963,0.017615373929341635,0.2552136845058865,1.4161401006910537,0.3285714387893677,0.00014008416069878472,0.002696312798394097,0.014413536919487848,0.20563795301649307
8,1.38245163626141,0.3192460238933563,0.0010106033749050563,0.0017717228995429144,0.015984355078803168,0.23680989742279052,1.4139771805869208,0.3391534388065338,0.00036163330078125,0.001622772216796875,0.014566718207465277,0.22236268785264757
9,1.3803902836309538,0.3185846507549286,0.00060730775197347,0.0017971727583143446,0.016585983170403374,0.23248611556159127,1.4156290107303195,0.3343915343284607,0.00012134975857204861,0.0012368943956163195,0.01652984619140625,0.20693821377224392
10,1.3747923380798763,0.3222222328186035,0.00043081972334120007,0.0014476458231608073,0.016730766826205782,0.20880298879411485,1.4024262070655822,0.33174604177474976,2.4583604600694445e-05,0.001002926296657986,0.02619607713487413,0.15696873135036893
11,1.3681500540839302,0.3194444477558136,0.000618388917711046,0.0015952057308620876,0.014279921849568685,0.2274798181321886,1.4082938697603014,0.3206349313259125,3.6451551649305557e-06,0.0008207956949869791,0.011060672336154515,0.21129014756944445
12,1.3741150725218985,0.32096561789512634,0.0005018790562947591,0.0012433025572035049,0.01290895144144694,0.2115736405054728,1.3986967086791993,0.3222222328186035,2.1531846788194446e-05,0.003107876247829861,0.013997862074110244,0.1842812008327908
13,1.3702409995926752,0.32017195224761963,0.0005723317464192708,0.0016865518358018664,0.01747133731842041,0.23158841133117675,1.4161929342481825,0.3185185194015503,0.0002266354031032986,0.001246982150607639,0.011736975775824653,0.18403201633029515
14,1.379524685608016,0.3185185194015503,0.0005011823442247179,0.0017133076985677083,0.016004435221354165,0.20096262560950384,1.406373209423489,0.33280423283576965,0.00010659959581163194,0.0010125901963975695,0.016610760158962675,0.21279631720648873
15,1.3731161390741666,0.318320095539093,0.0005064143074883355,0.0013513724009195963,0.013460082477993435,0.21201997068193223,1.4042501793967352,0.3185185194015503,7.379319932725695e-05,0.00340423583984375,0.021965450710720487,0.19781985812717015
16,1.368507094350126,0.3165343999862671,0.0005697011947631836,0.0014154619640774197,0.014167065090603299,0.21398003101348878,1.4037962304221259,0.3301587402820587,0.00010494656032986112,0.0012677086724175346,0.01678983900282118,0.1537258995903863
17,1.3691514710585275,0.324404776096344,0.00045671727922227647,0.0012442880206637913,0.01839022636413574,0.20295984480116103,1.4001654161347283,0.3343915343284607,0.000133514404296875,0.0006655799018012153,0.020568550957573786,0.18943943447536893
18,1.3716804948117998,0.3241402208805084,0.0007822672526041667,0.0013356712129380967,0.017127211888631186,0.21025072203742134,1.4065868589613173,0.3354497253894806,0.000617769029405382,0.0011443667941623264,0.012732442220052083,0.2010093265109592
19,1.3717250948150952,0.32070106267929077,0.00035618940989176433,0.0015103340148925782,0.015005212359958225,0.20458133220672609,1.407626982529958,0.3185185194015503,2.4625990125868056e-05,0.0012486351860894096,0.015117179022894965,0.20186394585503473
20,1.371996632218361,0.3186507821083069,0.0003956529829237196,0.001008931795756022,0.0160401185353597,0.20143681897057428,1.4023083117273119,0.32486772537231445,5.298190646701389e-05,0.0007655673556857639,0.011923980712890626,0.2078300052218967
21,1.3720071974727843,0.31891533732414246,0.00025397141774495443,0.0017672379811604817,0.013925605350070529,0.21053349177042643,1.4038098984294467,0.3185185194015503,5.069308810763889e-05,0.0019101460774739584,0.02275271945529514,0.22491281297471788
22,1.3729607716202736,0.3113756477832794,0.0004681004418267144,0.0013531764348347981,0.012612411710951064,0.21944294505649142,1.4108791642718845,0.3185185194015503,6.832546657986111e-05,0.0007567087809244792,0.023969268798828124,0.16530240376790364
23,1.3697951210869683,0.313359797000885,0.0006677362653944227,0.001118824217054579,0.012206980917188857,0.1883228037092421,1.3962018132209777,0.32275131344795227,2.818637424045139e-05,0.0005352867974175347,0.013614612155490452,0.18508372836642795
24,1.3601238982545005,0.319179892539978,0.0005918317370944553,0.0011154572168986002,0.014596398671468098,0.20360042254130045,1.3890674233436584,0.32486772537231445,0.0004975212944878472,0.0017795562744140625,0.023951424492730036,0.22211100260416666
25,1.3621082610554165,0.31812170147895813,0.00046560764312744143,0.001933757464090983,0.015324581993950738,0.21739683416154648,1.3985599742995367,0.3301587402820587,4.336039225260417e-05,0.0007000393337673611,0.014282141791449652,0.17074351840549046
