epoch,train_loss,train_accuracy,"train_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))","train_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))",val_loss,val_accuracy,"val_ResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))","val_AlternateResponseConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))"
1,1.3274211870299446,0.15628306567668915,0.5444583310021295,inf,inf,inf,1.450793249077267,0.02063492126762867,0.6904356214735243,1.5037142011854383,inf,inf
2,1.5139020767476823,0.035582009702920914,0.8594682031207614,0.979433970981174,inf,inf,1.6748868902524312,0.03333333507180214,0.9184658898247613,0.6683267805311415,inf,inf
3,1.6768522701329656,0.0317460335791111,0.7958646721310085,0.6433269500732421,inf,inf,1.7923205137252807,0.024867724627256393,0.6795032501220704,0.5608897315131294,0.2824934641520182,0.3010520511203342
4,1.7529767958654299,0.03783068805932999,0.6384268363316854,0.5965034484863281,inf,0.2640120267868042,1.8497797714339361,0.043915342539548874,0.6157805548773871,0.4761530982123481,0.25087437099880644,0.2407713572184245
5,1.786685103509161,0.01825396902859211,0.5714217530356513,0.5361572980880738,inf,inf,1.8761088026894464,0.037566136568784714,0.5583017985026042,0.425745603773329,0.18910594516330295,0.19419254726833768
6,1.8205111584729619,0.019907407462596893,0.5027197228537665,0.4627146217558119,0.1971489773856269,0.19862516721089682,1.9013240297635396,0.04126984253525734,0.4915657043457031,0.4110632578531901,0.1779234144422743,0.16424598693847656
7,1.8347492820686764,0.015939153730869293,0.4870374308692084,0.44270183510250516,0.16918072170681422,0.1731140030754937,1.9106133103370666,0.042328041046857834,0.5390145619710286,0.36644575330946183,0.15601760016547309,0.15243157280815972
8,1.835919624567032,0.02361111156642437,0.48538142840067544,0.43887917200724286,0.16509991486867268,0.16642481486002605,1.8932255148887633,0.03492063656449318,0.493470213148329,0.4285651312934028,0.15945544772677953,0.17001898023817275
9,1.8227770653035906,0.028108466416597366,0.4997333606084188,0.4456531021330092,0.15832617812686497,0.15666411717732748,1.8913709494802686,0.03703703731298447,0.48609708150227865,0.4558405134412977,0.15812882317437066,0.15277782016330296
10,1.829991804725594,0.01984127052128315,0.4907293372684055,0.4400043063693576,0.15392821894751654,0.1524488819970025,1.8898956192864311,0.0476190485060215,0.5505480448404948,0.4096637725830078,0.14336412217881944,0.13708843655056424
11,1.8206287855903307,0.032275132834911346,0.5336089107725356,0.44582599798838296,0.14463130633036295,0.14251732296413847,1.8972258925437928,0.027513228356838226,0.48646045260959203,0.4218265533447266,0.12535252041286893,0.12810719807942708
12,1.8324134002129238,0.009920635260641575,0.49790713257259794,0.4280170811547173,0.1391313950220744,0.13532542917463514,1.9023329297701517,0.0,0.5008325788709852,0.3842383066813151,0.12634014553493925,0.12507765028211806
13,1.8254829747809305,0.014550264924764633,0.5098836157057021,0.4425675736533271,0.13931915760040284,0.1448334084616767,1.883380651473999,0.035449735820293427,0.5816021813286676,0.3459052615695529,0.12636515299479167,0.1208589341905382
14,1.8197455497251616,0.0317460335791111,0.5212526851230197,0.44632464514838327,0.13343948788113064,0.1275026586320665,1.9127244657940334,0.037566136568784714,0.49143028259277344,0.406020016140408,0.11058345370822482,0.11054810418023003
