epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))"
1,0.8395243200186258,0.6311367154121399,inf,0.6706679223188713,0.6877697706222534,inf
2,0.6602817181114838,0.6884678602218628,inf,0.5728139018834527,0.6892086267471313,inf
3,0.583270020100558,0.6907743215560913,inf,0.5186023745519012,0.6906474828720093,inf
4,0.5398212367964682,0.6897858381271362,inf,0.5005620680193403,0.6892086267471313,1.5578151745582693
5,0.5333748851284803,0.689621090888977,inf,0.4739597843431715,0.6863309144973755,inf
6,0.5026048056990187,0.6922569870948792,inf,0.4618649671771633,0.6863309144973755,inf
7,0.5029192836067387,0.6906095743179321,inf,0.4624929825094209,0.6935251951217651,1.438857413049954
8,0.5042813722775361,0.6907743215560913,inf,0.4539000490930543,0.6920863389968872,1.4271912717107516
9,0.49706927163300113,0.6907743215560913,inf,0.4463265281337411,0.6949640512466431,inf
10,0.47978601451510583,0.6911038160324097,inf,0.4368891826094086,0.6949640512466431,inf
11,0.468434519564437,0.6991762518882751,inf,0.434109624197234,0.6920863389968872,inf
12,0.4810973870628905,0.695551872253418,inf,0.43056264664254973,0.6935251951217651,inf
13,0.483364990646037,0.6932454705238342,inf,0.41248987448304447,0.7079136967658997,inf
14,0.45095645437173754,0.6970345973968506,inf,0.4272436130402693,0.6949640512466431,1.3639043907621013
15,0.4782088265519276,0.6914332509040833,inf,0.4113101556674758,0.7079136967658997,inf
16,0.4607036448040298,0.6985173225402832,inf,0.4294167254398118,0.6949640512466431,1.343927767739367
17,0.4686617596753847,0.69209223985672,inf,0.41800387259294736,0.7079136967658997,inf
18,0.43590272582162204,0.6986820697784424,inf,0.4209954509539391,0.7079136967658997,inf
19,0.43935045567906905,0.694892942905426,inf,0.4148645989819249,0.7093524932861328,1.4044045263261937
