epoch,train_loss,train_accuracy,"train_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","train_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))",val_loss,val_accuracy,"val_SuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_ChainPrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=6, count=1))","val_AbsenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceCountConstraintSettings(activity=4, count=2))"
1,0.8057770150844182,0.5499176383018494,inf,inf,0.42991490052125164,0.4622645135237792,0.23080075945809622,0.6157152821768576,0.6589928269386292,inf,0.6498048412266062,0.22920473298030114,0.5108026105966141,0.26954188564820075
2,0.5898315993703415,0.6833608150482178,inf,inf,0.25950331375977703,0.5742054616179422,0.29773291728206885,0.47553308708454245,0.6892086267471313,inf,inf,0.2836757951707982,0.46921657092535674,0.307373050878297
3,0.49489557853090427,0.6914332509040833,inf,inf,0.3277059933849584,0.5253363448882772,inf,0.4148870617596071,0.6906474828720093,inf,0.7288011205730154,0.2710595522353898,0.4338588643429884,0.29352133242941614
4,0.4473274145867223,0.6925864815711975,inf,inf,0.3248597122798456,inf,0.32287506845509895,0.3873855865268565,0.6906474828720093,inf,0.519599918998889,0.2632640440072586,0.5671071650376961,0.5352063830663909
5,0.43676083518244396,0.6924217343330383,inf,0.5523546836086523,0.3720757283897043,0.5934923996435147,inf,0.3619621058008564,0.6935251951217651,inf,0.5484233881110576,0.3569385471628673,0.45054410464728056,0.34773168635012497
6,0.4060421278265035,0.6932454705238342,inf,0.4693250838841233,inf,0.5725284264466473,0.272035244831415,0.3490475698082305,0.6949640512466431,inf,0.44526035572165873,0.33833504078993154,inf,0.22035540373467688
7,0.4080495871255331,0.6932454705238342,inf,inf,0.36652617944735233,inf,inf,0.3449204459007996,0.6935251951217651,inf,0.4001490802907232,0.31850113441695027,0.5334279110182577,0.3213011798129153
8,0.405427175272848,0.6947281956672668,inf,inf,0.396599316819806,inf,inf,0.33915469228331724,0.6920863389968872,inf,0.2705854115201466,0.3379229467306564,inf,inf
9,0.4004653312439952,0.6911038160324097,inf,inf,inf,inf,inf,0.3329561962676582,0.6935251951217651,inf,0.42059206517774667,0.3456590602647013,0.6012041817850141,0.3386841652108662
10,0.38310241571444775,0.6927512288093567,inf,inf,0.40642110521548264,inf,inf,0.32745031289645093,0.6920863389968872,inf,0.326386383220331,0.3360435500073789,0.5774755122056648,inf
11,0.37208972724032735,0.694892942905426,inf,inf,inf,inf,inf,0.3185644076942508,0.696402907371521,inf,inf,0.40290828961044994,inf,inf
12,0.3847886409053457,0.6952223777770996,inf,inf,inf,inf,inf,0.3213633110941346,0.6920863389968872,inf,0.3340735337627468,0.32389270369686296,inf,inf
13,0.39085860644754405,0.6934102177619934,inf,inf,0.38270400216646283,inf,inf,0.3132634684443474,0.6992805600166321,inf,0.4751611147353898,0.3404537421553882,0.5453568999447039,inf
14,0.3605743130581958,0.6962108612060547,inf,inf,0.3759816633206662,inf,inf,0.31643056763864275,0.6978417038917542,inf,inf,0.36513444558898017,inf,inf
15,0.38717805234906827,0.6932454705238342,inf,inf,inf,inf,inf,0.31028891404840486,0.70071941614151,inf,inf,0.41692814186437804,inf,inf
16,0.37317584504451706,0.6950576901435852,inf,inf,inf,inf,inf,0.3177559646541503,0.6920863389968872,inf,inf,0.38263215235809783,inf,inf
17,0.3773562583619746,0.6950576901435852,inf,inf,inf,inf,inf,0.30920766894497087,0.70071941614151,inf,inf,0.3502764523918949,inf,inf
18,0.34907221026091934,0.695551872253418,inf,inf,inf,inf,inf,0.31397617160717944,0.6978417038917542,inf,inf,0.38297674193311093,inf,inf
19,0.34993024911278875,0.6915979981422424,inf,inf,0.4074911228964262,inf,inf,0.30800985578280776,0.7093524932861328,inf,inf,0.3931547563467453,inf,inf
20,0.36068290645065154,0.6958813667297363,inf,inf,inf,inf,inf,0.30902850171968116,0.6978417038917542,inf,inf,0.35929907613725803,inf,inf
21,0.3535902589246213,0.694892942905426,inf,inf,0.3671555617145289,inf,inf,0.30575088283686497,0.6978417038917542,inf,0.34268209827480034,0.3472993551795162,inf,inf
22,0.34744846320180134,0.6912685632705688,inf,inf,0.35258728455160265,inf,inf,0.30675572979806076,0.6978417038917542,inf,inf,0.3611603886333864,0.7134366675988951,inf
23,0.35602529294719204,0.6935749650001526,inf,inf,0.3694389539344288,inf,inf,0.3074371191436675,0.6978417038917542,inf,inf,0.3770308494567871,inf,inf
24,0.34424331295434557,0.6924217343330383,inf,inf,inf,inf,inf,0.3050635654145657,0.6978417038917542,inf,inf,0.40329118984848705,inf,inf
25,0.33925585084568677,0.6975288391113281,inf,inf,inf,inf,inf,0.3078920819532515,0.6978417038917542,inf,inf,0.3410476926547378,inf,inf
26,0.3575641656625215,0.6901153326034546,inf,inf,0.36825507689859266,inf,inf,0.3051758820274428,0.6978417038917542,inf,inf,0.3885299341002507,inf,inf
27,0.3471699413190657,0.6924217343330383,inf,inf,inf,inf,inf,0.30438746995667915,0.6978417038917542,inf,inf,0.3827417074744381,inf,inf
28,0.35257776546352937,0.6929159760475159,inf,inf,0.37884450627264576,inf,inf,0.3035891363536244,0.6978417038917542,inf,inf,0.39610618619776483,inf,inf
29,0.35671986403100403,0.695551872253418,inf,inf,0.38161013594297605,inf,inf,0.30435195348378435,0.6978417038917542,inf,inf,0.37460947748440415,inf,inf
30,0.3548011680107529,0.6937397122383118,inf,inf,inf,inf,inf,0.3037010467708556,0.6978417038917542,inf,inf,0.4082457698992829,0.7871092326605498,inf
31,0.35937373657649924,0.6947281956672668,inf,inf,inf,inf,inf,0.3028855286538601,0.6978417038917542,inf,inf,0.38824431575945956,inf,inf
32,0.3520169823891788,0.6940692067146301,inf,inf,inf,inf,inf,0.30305477206720344,0.6992805600166321,inf,inf,0.3807596875660455,inf,inf
33,0.3657094409358557,0.6919274926185608,inf,inf,inf,inf,inf,0.3045010809689315,0.6978417038917542,inf,inf,inf,inf,inf
34,0.36529586676543,0.6945634484291077,inf,inf,0.4030902287670385,inf,inf,0.3017374663544235,0.6935251951217651,inf,inf,0.3999661758764466,inf,inf
35,0.3701863526392763,0.699999988079071,inf,inf,inf,inf,inf,0.3049519918859005,0.6978417038917542,inf,inf,0.38356184603563,inf,inf
36,0.3414481792320436,0.6950576901435852,inf,inf,inf,inf,inf,0.30466139191455804,0.6978417038917542,inf,inf,0.4177971669097445,inf,inf
37,0.35497602682525864,0.6971993446350098,inf,inf,inf,inf,inf,0.303372135636077,0.6978417038917542,inf,inf,0.4146338647870875,inf,inf
38,0.34698249050459573,0.7065897583961487,inf,inf,inf,inf,inf,0.3003350656145989,0.6978417038917542,inf,inf,0.38974951274359404,inf,inf
39,0.33177002811125506,0.6952223777770996,inf,inf,0.3813664427427488,inf,inf,0.3022858088752672,0.6877697706222534,inf,inf,0.43561037974571115,inf,inf
40,0.34736729029774943,0.6976935863494873,inf,inf,inf,inf,inf,0.3049803277227416,0.696402907371521,inf,inf,0.42071109743260626,inf,inf
41,0.3537665925571852,0.6932454705238342,inf,inf,inf,inf,inf,0.3048437311133342,0.6935251951217651,inf,inf,0.4084940597192565,inf,inf
42,0.3493789845537916,0.6937397122383118,inf,inf,inf,inf,inf,0.3019938532318642,0.6949640512466431,inf,inf,0.39320769950525086,inf,inf
43,0.34961367945978855,0.6958813667297363,inf,inf,inf,inf,inf,0.30103346268966125,0.6949640512466431,inf,inf,0.3999385122042983,inf,inf
44,0.3436038517819665,0.7032948732376099,inf,inf,inf,inf,inf,0.30829368120253975,0.6978417038917542,inf,inf,0.3798246170157817,inf,inf
45,0.3482735740717187,0.69209223985672,inf,inf,inf,inf,inf,0.3000189909683679,0.696402907371521,inf,inf,0.40411118607022867,inf,inf
46,0.348639449599051,0.698352575302124,inf,inf,0.3678851911954791,inf,inf,0.2994959995762181,0.696402907371521,inf,inf,0.4411633334942718,inf,inf
47,0.3502454865984967,0.6971993446350098,inf,inf,inf,inf,inf,0.29926166391528364,0.7064748406410217,inf,inf,0.4143406597536002,inf,inf
48,0.3491783889672049,0.7019769549369812,inf,inf,0.39661646513181315,inf,inf,0.3008632085828194,0.6935251951217651,inf,inf,0.3900730716648386,inf,inf
49,0.3628257155435804,0.6998352408409119,inf,inf,inf,inf,inf,0.3018153209183643,0.696402907371521,inf,inf,0.3723407076365912,inf,inf
50,0.34388189799039165,0.6986820697784424,inf,inf,inf,inf,inf,0.3037993085584534,0.7079136967658997,inf,inf,0.43675502378549147,inf,inf
51,0.33797013672225384,0.7028006315231323,inf,inf,inf,inf,inf,0.2996147806241886,0.7079136967658997,inf,inf,0.39910186938385467,inf,inf
52,0.3384190055846332,0.7037891149520874,inf,inf,inf,inf,inf,0.3018541653265259,0.6992805600166321,inf,inf,0.3929781629078424,inf,inf
53,0.3504594694126711,0.7057660818099976,inf,inf,0.3809040689022742,inf,inf,0.3011809520201007,0.7107913494110107,inf,inf,inf,inf,inf
54,0.34217556985704417,0.6960461139678955,inf,inf,inf,inf,inf,0.2983776025140463,0.7093524932861328,inf,inf,inf,inf,inf
55,0.33902671074094337,0.7006589770317078,inf,inf,0.41424590672287986,inf,inf,0.29827390925319336,0.7122302055358887,inf,inf,0.40455411085441934,inf,inf
56,0.340975771919241,0.7042833566665649,inf,inf,inf,inf,inf,0.3009054527909898,0.7035971283912659,inf,inf,0.4053600581724252,inf,inf
57,0.3386326868818185,0.7006589770317078,inf,inf,inf,inf,inf,0.2994039146535432,0.70071941614151,inf,inf,inf,inf,inf
58,0.3464872850557772,0.6968698501586914,inf,inf,inf,inf,inf,0.29755444838595924,0.7079136967658997,inf,inf,0.3980617238514459,inf,inf
59,0.36413645946429435,0.7051070928573608,inf,inf,0.3709892183820778,inf,inf,0.29712090215909837,0.7079136967658997,inf,inf,0.3923649716733107,inf,inf
60,0.3564465846065606,0.7029653787612915,inf,inf,inf,inf,inf,0.3001237802151869,0.7079136967658997,inf,inf,0.40358876470309585,inf,inf
61,0.33875093601609224,0.7014827132225037,inf,inf,inf,inf,inf,0.30109056038086984,0.696402907371521,inf,inf,0.38844373332920357,inf,inf
62,0.32468653207940756,0.6958813667297363,inf,inf,inf,inf,inf,0.29787469899921276,0.7064748406410217,inf,inf,0.4647716194836061,inf,inf
63,0.34010611548497577,0.7019769549369812,inf,inf,inf,inf,inf,0.29734397843591315,0.6992805600166321,inf,inf,0.395990684850892,inf,inf
64,0.34185574572603,0.6996704936027527,inf,inf,inf,inf,inf,0.2978215415809137,0.7079136967658997,inf,inf,0.40816431614890025,inf,inf
65,0.36785978849315754,0.7016474604606628,inf,inf,inf,inf,inf,0.299011790096315,0.7093524932861328,inf,inf,0.4039336958927895,inf,inf
66,0.348305720787182,0.7008237242698669,inf,inf,inf,inf,inf,0.29901393733696263,0.7079136967658997,inf,inf,0.4407292978087468,inf,inf
67,0.34250079917538667,0.7044481039047241,inf,inf,inf,inf,inf,0.30121160875449876,0.6978417038917542,inf,inf,0.38663701157071695,inf,inf
68,0.34953030501883997,0.7044481039047241,inf,inf,inf,inf,inf,0.29762054483559147,0.7107913494110107,inf,inf,0.3979154273645202,inf,inf
69,0.34138491981810776,0.7046128511428833,inf,inf,inf,inf,inf,0.2944891009507562,0.7093524932861328,inf,inf,0.42579824533035504,inf,inf
70,0.34762818276116225,0.7059308290481567,inf,inf,inf,inf,inf,0.2961184514491861,0.7064748406410217,inf,inf,0.41377093187019004,inf,inf
71,0.32686473480730416,0.7080724835395813,inf,inf,inf,inf,inf,0.2949950660843013,0.7079136967658997,inf,inf,inf,inf,inf
72,0.3518461782084865,0.706919252872467,inf,inf,inf,inf,inf,0.29829232026336355,0.7079136967658997,inf,inf,0.3989778063190517,inf,inf
73,0.33723562448242,0.701812207698822,inf,inf,inf,inf,inf,0.29790419994839534,0.7136690616607666,inf,inf,inf,inf,inf
74,0.3517256587639312,0.7037891149520874,inf,inf,inf,inf,inf,0.29873066604026216,0.7107913494110107,inf,inf,0.38031853490801,inf,inf
75,0.33269597387167615,0.7013179659843445,inf,inf,inf,inf,inf,0.3004862884087349,0.7093524932861328,inf,inf,0.43541710412324364,inf,inf
76,0.343329177297234,0.7060955762863159,inf,inf,inf,inf,inf,0.30178664949958894,0.7107913494110107,inf,inf,0.4325030027930416,inf,inf
77,0.33315228670487335,0.7042833566665649,inf,inf,inf,inf,inf,0.29967689672624,0.7064748406410217,inf,inf,0.44844877897803465,inf,inf
78,0.342081891280538,0.7054365873336792,inf,inf,inf,inf,inf,0.2972034304333267,0.7093524932861328,inf,inf,0.4694916881732087,inf,inf
79,0.3335678872452161,0.7074134945869446,inf,inf,inf,inf,inf,0.2971068611368537,0.7079136967658997,inf,inf,inf,inf,inf
80,0.332777968632214,0.7075782418251038,inf,inf,inf,inf,inf,0.2974639824911285,0.7093524932861328,inf,inf,0.3889149409621509,inf,inf
81,0.34422728657966184,0.7074134945869446,inf,inf,inf,inf,inf,0.2949597225037973,0.7093524932861328,inf,inf,0.3914925518320568,inf,inf
82,0.3462154921109431,0.7062603235244751,inf,inf,inf,inf,inf,0.29652924584085816,0.7079136967658997,inf,inf,0.4554865538184322,inf,inf
83,0.3376325753648008,0.70527184009552,inf,inf,inf,inf,inf,0.29802460102503425,0.7064748406410217,inf,inf,inf,inf,inf
84,0.32909089495541055,0.7042833566665649,inf,inf,inf,inf,inf,0.2979453404837135,0.7107913494110107,inf,inf,inf,inf,inf
85,0.32966338328529743,0.7090609669685364,inf,inf,inf,inf,inf,0.296898591763048,0.7064748406410217,inf,inf,inf,inf,inf
86,0.3301014640290186,0.7107083797454834,inf,inf,inf,inf,inf,0.29824261171326266,0.7093524932861328,inf,inf,inf,inf,inf
87,0.33189127448963646,0.7080724835395813,inf,inf,inf,inf,inf,0.29396622837868647,0.7079136967658997,inf,inf,inf,inf,inf
88,0.3338499576340769,0.7084019780158997,inf,inf,inf,inf,inf,0.29340765951896336,0.7107913494110107,inf,inf,inf,inf,inf
89,0.3289766026138563,0.7120263576507568,inf,inf,inf,inf,inf,0.29615350928046363,0.7093524932861328,inf,inf,0.4463185054152759,inf,inf
90,0.32895707875907976,0.706919252872467,inf,inf,0.41710020938766335,inf,inf,0.2952623558578207,0.7122302055358887,inf,inf,inf,inf,inf
91,0.343850456536791,0.7065897583961487,inf,inf,inf,inf,inf,0.2957351230946717,0.7079136967658997,inf,inf,0.42567596150867976,inf,inf
92,0.32754044587262604,0.7090609669685364,inf,inf,inf,inf,inf,0.29685837669826265,0.7122302055358887,inf,inf,inf,inf,inf
93,0.329236849644613,0.7060955762863159,inf,inf,inf,inf,inf,0.2938107301606171,0.7136690616607666,inf,inf,0.39498749775673025,inf,inf
94,0.3165668981967964,0.7059308290481567,inf,inf,inf,inf,inf,0.2920694928477282,0.7079136967658997,inf,inf,0.4445576169597569,inf,inf
95,0.33114077267976844,0.7093904614448547,inf,inf,0.42115930842461985,inf,inf,0.2938034728920059,0.7122302055358887,inf,inf,0.4207092185518635,inf,inf
96,0.32683073602460117,0.7016474604606628,inf,inf,inf,inf,inf,0.2935916248347555,0.7107913494110107,inf,inf,inf,inf,inf
97,0.3401719876591151,0.7082372307777405,inf,inf,inf,inf,inf,0.29327221129979214,0.7122302055358887,inf,inf,0.39314030177557646,inf,inf
98,0.3254613129561332,0.7026359438896179,inf,inf,inf,inf,inf,0.295879356674294,0.7079136967658997,inf,inf,inf,inf,inf
99,0.33315137247337356,0.7092257142066956,inf,inf,inf,inf,inf,0.29417048361319215,0.7122302055358887,inf,inf,0.4355440922637484,inf,inf
100,0.33142951993776537,0.7112026214599609,inf,inf,inf,inf,inf,0.2947959894898222,0.7107913494110107,inf,inf,inf,inf,inf
