epoch,train_loss,train_accuracy,"train_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","train_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))",val_loss,val_accuracy,"val_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=6))","val_InitConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))"
1,1.0554726029435793,0.31514549255371094,0.0,0.9257078727086385,0.0005244824621412489,0.0005462394820319282,0.9425252490573459,0.32592591643333435,0.0,0.7629740185207791,0.0001789516872829861,0.00010956658257378472
2,0.8849262315366003,0.3177248537540436,0.0,0.7037607855266995,0.00011103153228759765,6.0613950093587236e-05,0.9017852491802639,0.32116401195526123,0.0,0.7117106543646918,5.213419596354167e-06,0.0
3,0.8594749574859937,0.32096561789512634,0.0,0.677152066760593,8.823474248250325e-05,5.669063991970486e-07,0.8865688668357001,0.3206349313259125,0.0,0.682980728149414,0.0,0.0
4,0.8481160170502133,0.3174603283405304,0.0,0.6531495491663615,7.227394315931533e-05,2.015564176771376e-05,0.8782753679487441,0.32116401195526123,0.0,0.652512698703342,1.6954210069444445e-07,0.0
5,0.8394975430435605,0.3222222328186035,0.0,0.6577393346362643,8.47670767042372e-05,4.741880628797743e-07,0.8700861546728346,0.32116401195526123,0.0,0.7007320827907986,0.0,0.0
6,0.8312014256914456,0.3222883641719818,0.0,0.643799614906311,0.00016135904524061415,2.0366244845920138e-05,0.8593964987330966,0.32592591643333435,0.0,0.7294851938883463,5.976359049479167e-06,0.0
7,0.8196905286775695,0.32301586866378784,0.0,0.6659489260779486,0.0003901137246025933,8.079740736219618e-07,0.8433142013019985,0.34074074029922485,0.0,0.6646707746717665,0.0,0.0
8,0.8023480383886231,0.3284391462802887,0.0,0.6254695998297797,0.0005021174748738607,6.663799285888672e-06,0.8209217853016324,0.34285715222358704,0.0,0.6274863137139215,0.0,0.0
9,0.7843085553910997,0.34365078806877136,0.0,0.628872635629442,0.00045830408732096354,9.862052069769965e-05,0.8026410208808051,0.3571428656578064,0.0,0.7196048524644639,0.0,5.427466498480903e-05
10,0.7724858509169684,0.35152116417884827,0.0,0.633321942223443,0.0013482557402716743,4.5996242099338106e-05,0.792418552769555,0.37248677015304565,0.0,0.6781373765733507,0.0,1.8734402126736112e-05
11,0.7633901769916217,0.36144179105758667,0.0,0.6481506798002455,0.0011227130889892578,8.358955383300782e-05,0.7867950174543593,0.37830686569213867,0.0,0.7023334715101454,0.00034008026123046877,0.0
12,0.7583887679709329,0.36349207162857056,0.0,0.6556000656551785,0.0019332991706000435,4.8991044362386065e-05,0.7843697084320916,0.36666667461395264,0.0,0.6261128531561957,0.0,0.0
13,0.7578794269926018,0.3618386387825012,0.0,0.633358817630344,0.001115221447414822,5.052354600694444e-05,0.7846294032202826,0.3571428656578064,0.0,0.6643768522474501,2.521938747829861e-05,0.0
14,0.7521747314267688,0.36752644181251526,0.0,0.6581269423166911,0.0010138167275322808,2.6922755771213106e-05,0.7740282734235128,0.391005277633667,0.0,0.6581558015611436,0.004072528415256077,1.8437703450520832e-05
15,0.750123328053289,0.3642195761203766,0.0,0.670058438513014,0.0015131711959838867,1.6483995649549695e-05,0.7718799061245388,0.38941797614097595,0.0,0.6574567159016927,0.011372205946180556,6.391737196180556e-05
16,0.7490388851198885,0.3660714328289032,0.0,0.6536251968807645,0.0015245450867546928,0.00033256212870279945,0.7710541109244029,0.37248677015304565,0.0,0.7599490059746636,0.00657753414577908,0.00018346574571397568
17,0.7464833526975578,0.37037035822868347,0.0,0.6479108148150974,0.004235769642723931,4.249148898654514e-05,0.7654505484633976,0.385185182094574,0.0,0.6883107715182835,5.162556966145833e-05,0.0
18,0.7430050226549307,0.37063491344451904,0.0,0.6798077821731567,0.002533861001332601,0.0007587313652038574,0.7659474637773301,0.37354496121406555,0.0,0.6572011523776584,0.002070172627766927,0.0021139356825086806
19,0.743062620030509,0.36759260296821594,0.0,0.6811282767189873,0.0046052310201856825,1.0596381293402778e-08,0.7765820807880826,0.3671957552433014,0.0,0.6767333348592123,0.008426751030815973,9.134080674913194e-06
20,0.7398696903553273,0.3718915283679962,0.0,0.6594597127702501,0.002469954225752089,5.996227264404297e-05,0.7615142848756579,0.3920634984970093,0.0,0.6247437795003256,0.0052689234415690105,0.0
21,0.7420218113809824,0.3679894208908081,0.0,0.6774185101191202,0.006568969620598687,0.002550629774729411,0.7590344773398505,0.38941797614097595,0.0,0.6784159554375543,2.498626708984375e-05,0.0
22,0.7414984856214788,0.3669312298297882,0.0,0.6889615005917019,0.003038329548305935,0.0021483990881178113,0.7621672080622779,0.3772486746311188,0.0,0.6982594384087457,0.0067337671915690105,4.217359754774306e-06
23,0.7393348896255095,0.36851853132247925,0.0,0.6753967470592923,0.004179729355706109,2.2106700473361547e-05,0.7629388120439318,0.3857142925262451,0.0,0.6921874364217122,0.01057885487874349,0.0
24,0.7377282491160764,0.37050265073776245,0.0,0.6706347121132745,0.005799523989359538,0.0005762298901875814,0.7575712005297343,0.3888888955116272,0.0,0.6961636861165365,0.004338052537706163,0.00028254191080729165
25,0.7368552459610833,0.370767205953598,0.0,0.6756806823942396,0.007313871383666992,0.00015637344784206813,0.7558450745211707,0.38359788060188293,0.0,0.8009082158406575,0.01140242682562934,0.0
26,0.7322578289028671,0.3749338686466217,0.0,0.6796554618411594,0.009481485684712727,8.325841691758898e-05,0.7594750987158881,0.38941797614097595,0.0,0.7082464218139648,0.0027129915025499132,0.0
27,0.7376051854342223,0.3671296238899231,0.0,0.706072285440233,0.009336676862504747,0.0023131118880377875,0.7621385441886054,0.36560845375061035,0.0,0.8563536326090495,0.01560382843017578,0.028325706058078343
28,0.7340934772872263,0.37248677015304565,0.0,0.6369005521138509,0.00701878998014662,0.003177458710140652,0.7550126592318217,0.3899470865726471,0.0,0.690490828620063,0.011444240146213107,0.00027440388997395835
29,0.7307005304843187,0.37652117013931274,0.0,0.6858005629645454,0.01554491917292277,0.00014697445763481987,0.7528446402814654,0.39047619700431824,0.0,0.6686841328938802,0.0238236321343316,6.527370876736111e-06
30,0.7349577237334516,0.36937829852104187,0.0,0.6649261554082234,0.01574664248360528,6.120072470770942e-05,0.7528153207567003,0.38835978507995605,0.0,0.7820084889729818,0.00788468254937066,3.3696492513020836e-05
31,0.7313064231226841,0.3730820119380951,0.0,0.658223835627238,0.012104009257422553,0.003717652956644694,0.7498481021987067,0.38941797614097595,0.0,0.6714729097154405,0.027038023206922744,2.966986762152778e-07
32,0.733439527824521,0.36858466267585754,0.0,0.6771692328982883,0.029547235700819227,0.0006285455491807726,0.7561891125308142,0.39153438806533813,0.0,0.7256743325127496,0.015520943535698785,0.0
