epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=4))"
1,1.2731955043143697,0.32275131344795227,1.1204023573133681,0.0017578787273830837,inf,inf,0.5352805508507623,1.3280366857846577,0.32804232835769653,0.8015848795572916,0.00123291015625,inf,inf,0.4982489691840278
2,1.2717184780372515,0.3414021134376526,0.6408999363581339,0.0009925736321343315,inf,inf,0.4190817435582479,1.3309995664490595,0.3322751224040985,0.5275896284315321,0.0008137596978081597,inf,inf,0.36028641594780814
3,1.2748944285843107,0.340410053730011,0.4998707400427924,0.0009801228841145833,inf,inf,0.3538148111767239,1.336184451315138,0.3322751224040985,0.46241768731011285,0.0010130140516493055,inf,inf,0.3392605251736111
4,1.2760211514102089,0.339550256729126,0.466340356402927,0.0008091052373250325,inf,inf,0.34452331331041125,1.3354245675934686,0.3444444537162781,0.47127100626627605,0.0006030612521701389,inf,inf,0.31260350545247395
5,1.278278639747037,0.34292328357696533,0.4684009552001953,0.0008066071404351128,inf,inf,0.33211535082923044,1.338174867630005,0.3423280417919159,0.455211427476671,0.0006254408094618055,inf,inf,0.3253655751546224
6,1.2784747473067708,0.3390873074531555,0.4626895904541016,0.0009289529588487413,inf,inf,0.330225149790446,1.338805111249288,0.3423280417919159,0.48238504197862414,0.0005767398410373264,inf,inf,0.3192715538872613
7,1.2797634656230608,0.34457671642303467,0.46547036435869005,0.0010911888546413845,inf,inf,0.3374311049779256,1.3405390116903517,0.34285715222358704,0.46660855611165364,0.0006885104709201389,inf,inf,0.3245798746744792
8,1.2793878215882513,0.3453042209148407,0.46535388628641766,0.0011103841993543838,inf,inf,0.3345265335506863,1.3384603434138829,0.3481481373310089,0.48765610588921443,0.0006137424045138889,inf,inf,0.3319854312472873
9,1.2796746995713977,0.3423941731452942,0.45857115851508246,0.0009528292549981012,inf,inf,0.3250770277447171,1.3396724939346314,0.345502644777298,0.4584228091769748,0.0007715013292100694,inf,inf,0.32461683485243054
10,1.2785024030341043,0.34351852536201477,0.45033671855926516,0.0007413652208116319,inf,inf,0.3259748458862305,1.3375452054871453,0.345502644777298,0.44964006212022567,0.0006976657443576389,inf,inf,0.32648900349934895
11,1.277520925965574,0.3443121612071991,0.4405379772186279,0.0008929914898342556,inf,inf,0.33617548942565917,1.336470784081353,0.35185185074806213,0.4533731672498915,0.0007224188910590277,inf,inf,0.3219427744547526
12,1.2791689463787608,0.34259259700775146,0.4632333119710286,0.0009792327880859375,inf,inf,0.33456058502197267,1.3393709090020922,0.34867724776268005,0.4350122239854601,0.0007268269856770833,inf,inf,0.30929154290093314
13,1.2785999312996865,0.3441137671470642,0.4468084202872382,0.0009533564249674479,inf,inf,0.33134923775990804,1.338398309548696,0.345502644777298,0.4745858510335286,0.0009081946478949653,inf,inf,0.3316056145562066
14,1.2774991947743628,0.3461640179157257,0.4399208280775282,0.001038527488708496,inf,inf,0.319520370165507,1.3370997097757127,0.3391534388065338,0.43778097364637586,0.0007038116455078125,inf,inf,0.3144073486328125
15,1.2765767748157184,0.3424603044986725,0.43385292689005533,0.0008498668670654297,inf,inf,0.3276602029800415,1.3340884221924676,0.34656083583831787,0.4333076477050781,0.00018704732259114583,inf,inf,0.33613743252224393
16,1.274210891293155,0.34682539105415344,0.425061289469401,0.0008572604921129015,inf,inf,0.3335944308174981,1.3339543700218202,0.34761905670166016,0.4220161861843533,0.00041745503743489585,inf,inf,0.33465758429633247
17,1.2749811543358698,0.34279099106788635,0.4362461937798394,0.0008051527871025933,inf,inf,0.32284862730238173,1.3355676412582398,0.34497353434562683,0.45464854770236546,0.0017397986518012153,inf,inf,0.30219510396321614
18,1.27515293409427,0.34351852536201477,0.4394327322642008,0.0006973425547281901,inf,inf,0.33943628205193416,1.3341076069407993,0.34285715222358704,0.4164967854817708,0.0006833394368489583,inf,inf,0.3393569522433811
19,1.2738275301125315,0.3454365134239197,0.4413455698225233,0.000842330190870497,inf,inf,0.33538247214423283,1.3327545523643494,0.34867724776268005,0.44773746066623266,0.0007667965359157986,inf,inf,0.3318072001139323
20,1.274036687778102,0.34285715222358704,0.4433014233907064,0.0010778215196397569,inf,inf,0.33398287296295165,1.333063511053721,0.3492063581943512,0.442679680718316,0.0007734086778428819,inf,inf,0.32867681715223523
