epoch,train_loss,train_accuracy,"train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))",val_loss,val_accuracy,"val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))"
12,0.7447666228645378,0.37552911043167114,1.3245476616753473e-09,0.005558930502997504,0.003448740641276042,0.7627524064646827,0.39523810148239136,4.4292873806423615e-06,0.0062957339816623265,0.014762179056803385
13,0.7457114526795017,0.3658068776130676,4.932615492078993e-05,0.01290314065085517,0.010332723458607992,0.7613391737143199,0.391005277633667,0.0,0.008700942993164063,0.01289759741889106
14,0.7400219048476882,0.3748677372932434,0.0001296361287434896,0.01053316593170166,0.01365006897184584,0.7563454892900255,0.4000000059604645,0.00014591217041015625,0.017835553487141928,0.015804862976074217
15,0.736583092270626,0.38154762983322144,1.0914272732204861e-05,0.017636089854770238,0.013297956519656711,0.7560267395443386,0.40634921193122864,0.0,0.008668496873643664,0.02205081515842014
16,0.7331320533735884,0.3771164119243622,6.475978427463107e-05,0.011829082171122234,0.017067791355980768,0.7510399911138746,0.4015873074531555,0.0,0.00976954566107856,0.03342948489718967
17,0.7335010137822893,0.3830026388168335,0.0004058288203345405,0.01810141603151957,0.023768013715744017,0.753122447265519,0.38465607166290283,1.8331739637586806e-06,0.05870584911770291,0.08534439934624566
18,0.7305694327586227,0.37738096714019775,0.0005067931281195747,0.013206634256574843,0.03620595932006836,0.7500749329725901,0.39523810148239136,0.0,0.02400247785780165,0.030596563551161023
19,0.7319398188342651,0.37738096714019775,0.0010399732324812146,0.020640226867463855,0.038083548016018334,0.7453211658530765,0.39259257912635803,0.0,0.07549226548936631,0.06381962034437391
20,0.7253047138038609,0.39060845971107483,0.0017655266655815971,0.008419390519460042,0.02141001754336887,0.7437857915957768,0.4010581970214844,0.0,0.020901468065049913,0.08576598697238498
21,0.7271362298064762,0.37671956419944763,0.0029873549938201904,0.016551844941245186,0.039981949329376223,0.7409753408696916,0.3878306746482849,0.0,0.01781027052137587,0.1290732807583279
22,0.7239018482259578,0.3808862566947937,0.0004457341300116645,0.0283471769756741,0.051695603794521754,0.7413905686802335,0.39047619700431824,0.0,0.04263580110337999,0.07477500703599718
23,0.7265788769349456,0.38353174924850464,0.0003252479765150282,0.03180854055616591,0.06380569007661607,0.7390926099485822,0.3899470865726471,0.0007530106438530816,0.04453468322753906,0.06294605467054579
24,0.7236661057919264,0.38465607166290283,0.0018198370933532714,0.030918271674050226,0.07138873471154107,0.744666748576694,0.3957671821117401,0.0,0.011169264051649306,0.020867051018608942
25,0.7228347266920738,0.3810185194015503,0.006025802426868015,0.03141683869891697,0.06457462045881483,0.738730228609509,0.3978835940361023,2.3735894097222223e-06,0.026474338107638887,0.03239294687906901
26,0.7222598438461622,0.386044979095459,0.0018504732184939914,0.03263627754317389,0.06483615239461263,0.7361267136202918,0.3878306746482849,0.007184251149495443,0.054900201161702473,0.08058549033270943
27,0.7175945879684554,0.38154762983322144,0.0027698165840572783,0.03690234621365865,0.0656259576479594,0.7362738907337188,0.4000000059604645,0.0,0.028408008151584202,0.08111316892835829
28,0.717646819146143,0.3819444477558136,0.0031492729981740315,0.0377293672826555,0.06898049381044176,0.7334123800198237,0.39629629254341125,0.04824919170803494,0.0071360482109917535,0.15119082132975262
29,0.719095562853747,0.38359788060188293,0.009596556425094604,0.04431633551915486,0.09488629500071208,0.7330582539240519,0.4000000059604645,0.00041142569647894964,0.07252962324354384,0.09807656606038412
30,0.7188431498698062,0.38267195224761963,0.021762692597177294,0.04406411714024014,0.06554453637864854,0.7379959911108017,0.39523810148239136,0.05589044358995226,0.08538182046678332,0.1887676027086046
31,0.7173830692345897,0.3801587224006653,0.005464956164360046,0.03801127738422817,0.08333644734488593,0.7329450418551763,0.39047619700431824,0.0,0.007754717932807075,0.09080856111314561
32,0.7159772883583274,0.38835978507995605,0.012476374705632528,0.04080517523818546,0.09118818839391073,0.7314112368557188,0.39629629254341125,0.03744937578837077,0.038639587826199,0.17550330691867405
33,0.7140520406162574,0.3880952298641205,0.01504838698440128,0.03955511550108592,0.09019935925801595,0.7312454518344668,0.39841270446777344,0.0,0.027337010701497397,0.05146831936306424
34,0.7103303222399618,0.39232805371284485,0.01289420160982344,0.05399983591503567,0.11501200861401029,0.7334288310673501,0.391005277633667,0.08577289846208361,0.07427667511834038,0.22367482715182835
35,0.7149298765386144,0.38842591643333435,0.010719187392128838,0.03552808231777615,0.09459085596932305,0.7307218256923887,0.40423280000686646,0.0004885249667697483,0.019763755798339843,0.034144020080566405
36,0.7119579318600396,0.38842591643333435,0.021942550937334698,0.058008794652091134,0.08714544177055358,0.7372012591196431,0.39153438806533813,0.04398366080390082,0.09823807610405816,0.22828156153361004
37,0.7120041205133829,0.39153438806533813,0.020043236679501003,0.05580615467495388,0.10353430940045251,0.729837018582556,0.3978835940361023,0.04431898328993056,0.021431361304389107,0.11295765770806207
38,0.7116088691477974,0.3896164000034332,0.013798783222834269,0.04036891990237766,0.09397564596600003,0.7285636799203025,0.3957671821117401,0.0002654923333062066,0.031338511572943796,0.07772490183512369
39,0.7127768725881146,0.38465607166290283,0.020350356896718342,0.05126097963915931,0.13093209928936428,0.7264107171032164,0.39735448360443115,0.020706905259026423,0.08429077996148003,0.15628356403774685
40,0.712475956345184,0.39047619700431824,0.020745602912373012,0.046659024556477864,0.0955728120274014,0.7279463092486064,0.40740740299224854,0.0045525550842285155,0.04207591480678982,0.14264694849650064
41,0.7064986798498366,0.3977513313293457,0.017352791792816586,0.04187135100364685,0.11026662919256422,0.7319962739944458,0.386772483587265,0.0917955133650038,0.12875408596462673,0.2279610209994846
42,0.7115362636331055,0.393584668636322,0.0262262052959866,0.04832292397816976,0.12125322951210869,0.727032081451681,0.4026454985141754,0.005967526965671115,0.023956955803765192,0.11413375536600749
43,0.707122083991352,0.391865074634552,0.02440509465005663,0.051639636192056866,0.11941804620954725,0.7238370163573159,0.4026454985141754,0.024963837199740938,0.07922712432013618,0.15353246264987522
44,0.7093524377172192,0.3929232656955719,0.02315207024415334,0.04457796679602729,0.14470536179012722,0.724111787809266,0.386772483587265,0.041611394617292616,0.09045920107099745,0.2066808435651991
