epoch,train_loss,train_accuracy,"train_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","train_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))",val_loss,val_accuracy,"val_NotSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=6))","val_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=5))"
34,0.7276757262647152,0.3869709074497223,0.004662315713034736,0.0020088477267159355,0.00426219039493137,0.0,0.7483972354067696,0.40317460894584656,0.00017943912082248265,0.0,3.120634290907118e-05,0.0
35,0.7485807583977778,0.3782407343387604,0.0007161604033576117,0.004978597826427884,0.0018415355020099215,0.0,0.7430891431040234,0.4058201014995575,0.013777245415581597,0.000983640882703993,0.00022346708509657118,0.0
36,0.7429165019757218,0.37830686569213867,0.004196984238094754,0.005075279871622721,0.0028877658976448907,0.0,0.7489511956771214,0.3888888955116272,0.00013838873969184028,0.0001590728759765625,0.016443538665771484,0.0
37,0.7243191765828265,0.3839285671710968,0.0018067081769307454,0.009706411759058635,0.004845417870415582,0.0,0.7456058598226971,0.386772483587265,8.210076226128472e-05,0.0030529975891113283,0.010084311167399088,0.0
38,0.7339663545290629,0.37857142090797424,0.0008582095305124919,0.004179698891109891,0.012799233860439725,0.0,0.7562647233406703,0.3730158805847168,0.00020398033989800347,8.453792995876736e-05,0.0008342742919921875,0.0
39,0.7192405602584283,0.3889550268650055,0.0016190343432956273,0.00388371745745341,0.0007079760233561198,0.0,0.7414626571867201,0.3941798806190491,0.0016860114203559027,0.010762850443522135,0.0001110076904296875,0.0
40,0.7438921932131052,0.37757936120033264,0.005925575892130534,0.0010438117716047499,0.0014657510651482476,0.0,0.7541496631171968,0.380952388048172,0.0005206637912326389,0.0026719835069444445,0.0,0.0
41,0.7219814715700017,0.38822752237319946,0.005755814578798082,0.0025262021356158787,0.0026223705874549017,0.0,0.7426276163922416,0.3941798806190491,0.0002974722120496962,0.0,0.0,0.0
42,0.7460760430743297,0.37658730149269104,0.0010959466298421225,0.008370076285468207,0.0038763437006208634,0.0,0.7441760278410382,0.3957671821117401,0.00017649332682291666,0.0,0.00020804935031467015,0.0
43,0.7274829512255059,0.3839285671710968,0.0034907503260506526,0.00042170286178588867,0.004554117719332377,0.0,0.7440987428029379,0.3947089910507202,0.0002993901570638021,0.01565249760945638,0.014710860782199436,0.0
