epoch,train_loss,train_accuracy,"train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","train_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","train_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))",val_loss,val_accuracy,"val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=6))","val_CoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=5, b=4))","val_RespondedExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=4))","val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))"
1,1.243776183658176,0.345502644777298,inf,0.012572299109564887,0.0,1.1009284946653577,1.2586452855004204,0.3751322627067566,inf,0.009784613715277777,0.0,1.0532843271891277
2,1.2048202065957918,0.36276453733444214,inf,0.008685965008205837,0.0,1.1049867418077257,1.2436973982387118,0.3751322627067566,inf,0.0067208184136284725,0.0,1.0802679273817275
3,1.1936870977282523,0.36236771941185,inf,0.00864600075615777,0.0,1.0836489862865872,1.2376983364423115,0.3751322627067566,inf,0.009758377075195312,0.0,1.17752079433865
4,1.1862648917569054,0.3619047701358795,inf,0.007795405387878418,0.0,1.1114152034123739,1.2303678724500868,0.37566137313842773,inf,0.007366095648871528,0.0,1.0584130181206597
5,1.182930968867408,0.3629629611968994,inf,0.008639536963568794,0.0,1.1335356977250841,1.2253773278660245,0.3751322627067566,inf,0.008258946736653646,0.0,1.0511825985378689
6,1.177818805972735,0.35985448956489563,inf,0.008717269367641873,0.0,1.1125315560234919,1.2208009428448148,0.3740740716457367,inf,0.005847930908203125,0.0,1.0977117326524524
7,1.1753759657343228,0.3619047701358795,inf,0.007824556032816569,0.0,1.1466833882861667,1.219060144159529,0.3751322627067566,inf,0.005273267957899306,0.0,1.1399167802598742
8,1.172674468987518,0.3628306984901428,inf,0.007751729753282335,0.0,1.1270877838134765,1.21564019785987,0.3751322627067566,inf,0.009036933051215277,0.0,1.129467052883572
9,1.1716293753849136,0.3619709014892578,inf,0.009177361594306098,0.0,1.1053424411349826,1.2161395443810357,0.3751322627067566,inf,0.0068023681640625,0.0,1.203807661268446
10,1.170651173260477,0.36071428656578064,inf,0.007726592487759061,0.0,1.1146643002827963,1.216313894589742,0.3751322627067566,inf,0.004871410793728299,0.0,1.1703260209825304
11,1.1707153788871236,0.3628968298435211,inf,0.008501866128709581,0.0,1.1233407391442194,1.2130229976442126,0.3740740716457367,inf,0.0073388417561848955,0.0,1.176030985514323
12,1.1688568191395865,0.3621693253517151,inf,0.007513991991678874,0.0,1.1460425032509698,1.2145151257514955,0.3751322627067566,inf,0.00835418701171875,0.0,1.125691180759006
13,1.172362345457077,0.3609127104282379,inf,0.007988709873623318,0.0,1.165685280164083,1.2185349742571512,0.3740740716457367,inf,0.01070980495876736,0.0,1.0729254404703776
14,1.1715489677257007,0.3659391403198242,inf,0.010030041800604926,0.0,1.1501438750161066,1.2153751810391744,0.3751322627067566,inf,0.0103507571750217,0.0,1.0054993099636502
15,1.1690015498134825,0.36349207162857056,inf,0.008218982484605578,0.0,1.1560551007588704,1.2154215388827854,0.37566137313842773,inf,0.01166674296061198,0.0,1.1925897386338975
16,1.1695829588505957,0.3650132417678833,inf,0.006586803330315484,0.0,1.1285173972447713,1.214317356215583,0.3740740716457367,inf,0.012011888292100694,0.0,1.10885009765625
17,1.1683259079853694,0.3632936477661133,inf,0.009072542190551758,0.0,1.168431626425849,1.2131939159499274,0.37354496121406555,inf,0.009555265638563367,0.0,1.165436765882704
18,1.1677422798342174,0.3619047701358795,inf,0.01011304325527615,0.0,1.1429019822014703,1.2108263519075182,0.3761904835700989,inf,0.012513690524631076,0.0,1.164483642578125
19,1.1650786264075172,0.36375662684440613,inf,0.008924425972832575,0.0,1.1506942325168186,1.2080708622932435,0.3751322627067566,inf,0.0068882836235894095,0.0,1.1680194854736328
20,1.1612966501050526,0.3622354567050934,inf,0.011389083332485624,0.0,1.1901728418138293,1.2047489722569784,0.3730158805847168,inf,0.017550150553385418,0.0,1.1681720309787327
21,1.1585675698187616,0.3613095283508301,inf,0.008436298370361328,0.0,1.1117379400465224,1.2003797199991015,0.3772486746311188,inf,0.013884480794270833,0.0,1.0706895616319445
22,1.156353159248829,0.3648809492588043,inf,0.008713311619228788,0.0,1.1468998114267985,1.201170155737135,0.3693121671676636,inf,0.007451036241319445,0.0,1.1473317040337456
23,1.1571449427141083,0.3642195761203766,inf,0.00878125826517741,0.0,1.162768734825982,1.1998480598131815,0.3740740716457367,inf,0.006733830769856771,0.0,1.0726134406195746
24,1.1565763571196133,0.3681216835975647,inf,0.008695363998413086,0.0,1.1702094687355888,1.1992738445599873,0.37566137313842773,inf,0.01090897454155816,0.0,1.1073756747775607
25,1.1571596279740333,0.37367725372314453,inf,0.008940974871317545,0.0,1.1831129391988118,1.2003155681822035,0.39047619700431824,inf,0.007140986124674479,0.0,1.1604827880859374
26,1.1563434132271342,0.3721560835838318,inf,0.00899693701002333,0.0,1.1581676854027643,1.2022335913446214,0.4037036895751953,inf,0.00936266581217448,0.0,1.1736720191107857
27,1.1565658181905747,0.380952388048172,inf,0.010573448075188532,0.0,1.1627732541826037,1.2005223433176677,0.4047619104385376,inf,0.014696375528971354,0.0,1.1624515533447266
28,1.1524910792708396,0.38161376118659973,inf,0.010530847973293728,0.0,1.1221270031399198,1.1940840972794426,0.3989417850971222,inf,0.01109301249186198,0.0,1.229819361368815
29,1.1509926840662956,0.3886904716491699,inf,0.00725353823767768,0.0,1.1359567138883802,1.1910362389352587,0.3751322627067566,inf,0.008800125122070313,0.0,1.1465702056884766
30,1.1479951742622587,0.38941797614097595,inf,0.00848993460337321,0.0,1.1368614514668782,1.1920677370495267,0.3920634984970093,inf,0.00875044928656684,0.0,1.1097681681315104
31,1.152597890794277,0.3906745910644531,inf,0.008961717287699381,0.0,1.1976611720191108,1.1961122075716655,0.4126984179019928,inf,0.007809617784288195,0.0,1.0988386789957683
32,1.1499189602004156,0.3898148238658905,inf,0.008027211825052897,0.0,1.1462085273530749,1.1912823663817511,0.39947089552879333,inf,0.008724424574110243,0.0,1.130199940999349
33,1.1453151313794985,0.3900793790817261,inf,0.009220986896091037,0.0,1.1346269713507757,1.1889950897958543,0.39153438806533813,inf,0.007583491007486979,0.0,1.2239991929796008
34,1.1470797674523459,0.3889550268650055,inf,0.010308453771803115,0.0,1.1884339570999145,1.1881463276015387,0.40052908658981323,inf,0.00817459954155816,0.0,1.2490627712673612
35,1.1440938812163142,0.3938491940498352,inf,0.008764839172363282,0.0,1.1585541036393907,1.1846763637330797,0.4105820059776306,inf,0.0080055660671658,0.0,1.1746370527479384
36,1.1422769914070765,0.39146825671195984,inf,0.008905273013644749,0.0,1.1661865684721204,1.1873723083072238,0.3978835940361023,inf,0.006826019287109375,0.0,1.0983553144666884
37,1.1457441280285516,0.3949735462665558,inf,0.008273794915941027,0.0,1.2076325681474473,1.1893585602442422,0.41322749853134155,inf,0.0060075124104817705,0.0,1.1935162014431424
38,1.1466268761290443,0.39722222089767456,inf,0.009472205903795031,0.0,1.1643403477138943,1.1890534506903754,0.3920634984970093,inf,0.008180957370334202,0.0,1.0385100470648871
39,1.1448164782590335,0.3909391462802887,inf,0.009825523694356282,0.0,1.1572853538725112,1.1877350436316596,0.4037036895751953,inf,0.007540384928385417,0.0,1.0955367194281684
40,1.146424151957035,0.39318782091140747,inf,0.008441374037000867,0.0,1.1935622718599108,1.1875651439030965,0.4000000059604645,inf,0.006509102715386285,0.0,1.159295908610026
41,1.1446873808900515,0.3980158865451813,inf,0.008786739243401422,0.0,1.1838129387961493,1.1885739233758714,0.4037036895751953,inf,0.00891677008734809,0.0,1.143718549940321
42,1.1460896243651708,0.3910714387893677,inf,0.01010411845313178,0.0,1.1758096827401054,1.186863625049591,0.4095238149166107,inf,0.007838058471679687,0.0,1.1470272488064237
43,1.1458842360311083,0.39054232835769653,inf,0.01007985273996989,0.0,1.1750323904885187,1.187150443924798,0.3941798806190491,inf,0.012031979031032987,0.0,1.2032174852159288
44,1.1435646096865335,0.39246031641960144,inf,0.008702606625027127,0.0,1.14490647315979,1.1842597868707445,0.41640210151672363,inf,0.010198296440972223,0.0,1.1688639746771918
45,1.141935433447361,0.392724871635437,inf,0.00843235386742486,0.0,1.1442845106124877,1.1831239938735962,0.4026454985141754,inf,0.007195960150824653,0.0,1.2317611694335937
46,1.1420519252618153,0.39424604177474976,inf,0.010637606514824762,0.0,1.1970120906829833,1.1866047064463296,0.4174603223800659,inf,0.005224694146050347,0.0,1.1520157284206813
47,1.1441050632132423,0.3960317373275757,inf,0.00954940848880344,0.0,1.204967188835144,1.1891803410318162,0.4116401970386505,inf,0.009409756130642362,0.0,1.1459752400716146
48,1.144886059562365,0.3937169313430786,inf,0.008909198972913954,0.0,1.1968732515970866,1.1875105844603644,0.4000000059604645,inf,0.011616346571180556,0.0,1.125506125556098
49,1.1456560866700278,0.39338624477386475,inf,0.0089869048860338,0.0,1.1907979859246147,1.1908120539453295,0.41534391045570374,inf,0.011974377102322048,0.0,1.2413641187879774
50,1.1447489672236972,0.39742064476013184,inf,0.009878166516621907,0.0,1.160069998105367,1.1882927033636306,0.3968254029750824,inf,0.007416576809353299,0.0,1.1651517656114367
51,1.145228689081139,0.39722222089767456,inf,0.012349377738104926,0.0,1.1642353667153253,1.1883517079883152,0.39841270446777344,inf,0.0080818600124783,0.0,1.127134280734592
52,1.1448421847489145,0.38921958208084106,inf,0.01159611807929145,0.0,1.1967465665605332,1.184894519382053,0.3936507999897003,inf,0.016995196872287326,0.0,1.162373309665256
53,1.1430773448612954,0.3937169313430786,inf,0.011082675721910264,0.0,1.1935723940531413,1.1858841909302607,0.41534391045570374,inf,0.008282979329427084,0.0,1.182274627685547
54,1.1414288860228328,0.3945767283439636,inf,0.009261327319675022,0.0,1.1621066808700562,1.1832980434099833,0.3936507999897003,inf,0.011325878567165798,0.0,1.1434600830078125
55,1.1415635115570493,0.39933863282203674,inf,0.012908355394999186,0.0,1.1951458295186361,1.1839131196339925,0.39629629254341125,inf,0.01101777818467882,0.0,1.1386587778727213
